collection||Hisn al-Muslim
hadith|50|<text>Sajada wajhiya lilladhī khalaqahu, wa shaqqa sam`ahu wa baṣarahu biḥawlihi wa quwwatihi. Fatabārakallāhu 'aḥsanul-khāliqīn.\n\nI have prostrated my face to the One Who created it, and gave it hearing and sight by His might and His power. Glory is to Allah, the Best of creators.\n\nReference:\n\nAt-Tirmidhi 2/474, Ahmad 6/30, and Al-Hakim</text>
hadith|51|<text>Allāhummak’tub lī bihā `indaka ajra, waḍa` `annī bihā wizra, waj`alhā lī `indaka dhukhra, wa taqabbal’hā minnī kamā taqabbal’tahā min `abdika Dāwūd.\n\nO Allah, write it as a reward for me, and release me from a burden for it, and make it a treasure for me with You. Accept it from me as You accepted it from your servant Dawud.\n\nReference:\n\nAt-Tirmidhi 2/473, and Al-Hakim who graded it authentic and Ath-Thahabi agreed 1/219.</text>
chapter||The Tashahhud
hadith|52|<text>Attaḥiyyātu lillāhi waṣṣalawātu, waṭṭayyibāt, assalāmu `alayka 'ayyuhan-Nabiyyu wa raḥmatullāhi wa barakātuh, assalāmu `alaynā wa `alā ‘ibādillāhiṣ-ṣāliḥīn. 'Ash-hadu 'an lā 'ilāha 'illallāh wa 'ash-hadu 'anna Muḥammadan `abduhu wa rasūluh.\n\nAll greetings of humility are for Allah, and all prayers and goodness. Peace be upon you, O Prophet, and the mercy of Allah and His blessings. Peace be upon us and upon the righteous slaves of Allah. I bear witness that there is none worthy of worship but Allah, and I bear witness that Muhammad is His slave and His Messenger.\n\nReference:\n\nAl-Bukhari, Muslim 1/301. See also Al-Asqalani, Fathul-Bal 1/13</text>
chapter||Prayers upon the Prophet (ﷺ) ﷺ after the tashahhud
hadith|53|<text>Allāhumma ṣalli `alā Muḥammadinwa `alā ’āli Muḥammadin, kamā ṣallayta `alā 'Ibrāhīma wa `alā ’āli 'Ibrāhīma, 'innaka ḥamīdum-majīd. Allāhumma bārik `alā Muḥammadin wa `alā ’āli Muḥammadin, kamā bārakta `alā 'Ibrāhīma wa `alā 'āli 'Ibrāhīma, 'innaka ḥamīdum-majīd.\n\nO Allah, bestow Your favor on Muhammad and on the family of Muhammad as You have bestowed Your favor on Ibrahim and on the family of Ibrahim, You are Praiseworthy, Most Glorious. O Allah, bless Muhammad and the family of Muhammad as You have blessed Ibrahim and the family of Ibrahim, You are Praiseworthy, Most Glorious.\n\nReference:\n\nAl-Bukhari, cf. Al-Asqalani, Fathul-Bari 6/408.</text>
hadith|54|<text>Allāhumma ṣalli `alā Muḥammadin wa `alā 'azwājihi wa dhurriyyatihi, kamā ṣallayta `alā 'āli 'Ibrāhīma. Wa bārik `alā Muḥammadin wa `alā 'azwājihi wa dhurriyyatihi, kamā bārakta `alā 'āli 'Ibrāhīma. 'Innaka ḥamīdum-majīd.\n\nO Allah, bestow Your favor on Muhammad and upon his wives and progeny as You have bestowed Your favor upon the family of Ibrahim. And bless Muhammad and his wives and progeny as You have blessed the family of Ibrahim, You are full of praise, Most Glorious.\n\nReference:\n\nAl-Bukhari, from Al-Asqalani, Fathul-Bari 6/ 407, Muslim 1/306.</text>
chapter||After the last tashahhud and before salam
hadith|55|<text>Allāhumma ‘innī ‘a`ūdhu bika min `adhābi ‘l-qabri, wa min `adhābi jahannam, wa min fitnati ‘l-maḥyā wa ‘l-mamāti, wa min sharri fitnati ‘l-masīḥid-dajjāl.\n\nO Allah, I seek refuge in You from the punishment of the grave, and from the punishment of Hell-fire, and from the trials of life and death, and from the evil of the trial of the False Messiah.\n\nReference:\n\nAl-Bukhari 2/102, Muslim 1/412, and this is Muslim's wording.</text>
hadith|56|<text>Allāhumma 'innī ‘a`ūdhu bika min `adhābi ‘l-qabr, wa ‘a`ūdhu bika min fitnati ‘l-masīḥid-dajjāl, wa ‘a`ūdhu bika min fitnati ‘l-maḥyā wa ‘l-mamāt. Allāhumma ‘innī ‘a`ūdhu bika mina ‘l-m’athami wa ‘l-maghram.\n\nO Allah, I seek refuge in You from the punishment of the grave, and I seek refuge in You from the trial of the False Messiah, and I seek refuge in You from the trials of life and death. O Allah, I seek refuge in You from sin and from debt.\n\nReference:\n\nAl-Bukhari 1/202, Muslim 1/412.</text>
hadith|57|<text>Allāhumma ‘innī ẓalamtu nafsī ẓulman kathīran, wa lā yaghfiru-dhdhunūba illā 'anta, faghfir lī maghfiratam’min `indika warḥamnī innaka 'anta ‘l-Ghafūr ur-Rahīm.\n\nO Allah, I have greatly wronged myself, and no one forgives sins but You. So, grant me forgiveness and have mercy on me. Surely, you are Forgiving, Merciful.\n\nReference:\n\nAl-Bukhari 8/168, Muslim 4/2078.</text>
hadith|58|<text>Allāhummagh’fir lī mā qaddamtu, wa mā ‘akhkhartu, wa mā ‘asrartu, wa mā ‘a`lantu, wa mā ‘asraftu, wa mā 'anta ‘a`lamu bihi minnī. ‘anta ‘l-Muqaddimu, wa 'anta ‘l-Mu‘akhkhiru lā 'ilāha 'illā 'anta.\n\nO Allah, forgive me what I have sent before me and what I have left behind me, what I have concealed and what I have done openly, what I have done in excess, and what You are better aware of than I. You are the One Who sends forth and You are the One Who delays. There is none worthy of worship but You.\n\nReference:\n\nMuslim 1/534.</text>
hadith|59|<text>Allāhumma ‘a`innī `alā dhikrika, wa shukrika, wa ḥusni `ibādatik.\n\nO Allah, help me to remember You, to give You thanks, and to perform Your worship in the best manner.\n\nReference:\n\nAbu Dawud 2/86, An-Nasa'i 3/53. See also Al-Albani Sahih Abu Dawud 1 /284.</text>
hadith|60|<text>Allāhumma 'innī ‘a`udhu bika mina ‘l-bukhl, wa ‘a`udhu bika mina ‘l-jubn, wa ‘a`udhu bika min ‘an ‘uradda ilā ‘ardhali ‘l-`umur, wa ‘a`udhu bika min fitnatid-dunyā wa `adhābi ‘l-qabr.\n\nO Allah, I seek Your protection from miserliness, I seek Your protection from cowardice, and I seek Your protection from being returned to feeble old age. I seek Your protection from the trials of this world and from the torment of the grave.\n\nReference:\n\nAl-Bukhari, cf. Al-Asqalani, Fathul-Bari 6/35</text>
hadith|61|<text>Allāhumma innī as'aluka ‘l-jannah wa a`ūdhu bika minan-nār.\n\nO Allah, I ask You for Paradise, and I seek Your protection from the Fire.\n\nReference:\n\nAbu Dawud. See also Al-Albani, Sahih Ibn Majah 2/328.</text>
hadith|62|<text>Allāhumma bi `ilmika ‘l-ghayb, wa qudratika `ala ‘l-khalq, aḥyinī mā `alimta ‘l-ḥayāta khayran lī, wa tawaffanī idhā `alimta ‘l-wafāta khayran lī, Allāhumma innī as'aluka khash’yataka fil-ghaybi wash-shahādah, wa as'aluka kalimata ‘l-ḥaqqi fir-riḍā wa ‘l-ghaḍab, wa as'aluka ‘l-qaṣda fil-ghinā wa ‘l-faqr, wa as'aluka na`īman lā yanfad, wa as'aluka qurrata `aynin lā tanqati`, wa as'alukar-riḍā ba`dal-qaḍā', wa as'aluka barda ‘l-`ayshi ba`da ‘l-mawt, wa as'aluka ladh-dhatan-naẓari ilā wajhik, wash-shawqa ilā liqā'ik, fī ghayri ḍarrā'a muḍirrah, wa lā fitnatin muḍillah, Allāhumma zayyinnā bi zīnati ‘l-'īmān, waj`alnā hudātan muhtadīn.\n\nO Allah, by Your Knowledge of the unseen and by Your Power over creation, let me live if You know that life is good for me, and let me die if You know that death is good for me. O Allah, I ask You to grant me fear of You in private and in public. I ask you for the word of truth in times of contentment and anger. I ask You for moderation in wealth and in poverty. I ask you for blessings never ceasing and the coolness of my eye (i.e. pleasure) that never ends. I ask You for pleasure after Your Judgment and I ask You for a life of coolness after death. I ask You for the delight of gazing upon Your Face, and the joy of meeting You, without any harm and misleading trials befalling me. O Allah, dress us with the beauty of Faith and make us guides who are upon (correct) guidance.\n\nReference:\n\nAn-Nasa'i 3/54, 55, Ahmad 4/364. See also Al-Albani, Sahih An-Nasa'i 1/281.</text>
hadith|63|<text>Allāhumma innī as'aluka yā Allāh bi'annaka ‘l-Wāḥidu ‘l-Aḥaduṣ-ṣamad, alladhī lam yalid wa lam yūlad, wa lam yakun lahu kufuwan aḥad, an taghfir lī dhunūbī, innaka anta ‘l-Ghafūrur-Raḥīm.\n\nO Allah, I ask You. O Allah, You are the One, the Only, Self-Sufficient Master, Who was not begotten and begets not, and none is equal to Him. Forgive me my sins, surely you are Forgiving, Merciful.\n\nReference:\n\nAn-Nasa'i 3/52, Ahmad 4/338. See also Al-Albani, Sahih An-Nasa'i 1/280 and Sifat Salatun-Nabi, pg. 204.</text>
hadith|64|<text>Allāhumma innī as'aluka bi'anna laka ‘l-ḥamd, lā ilāha illā ant, waḥdaka lā sharīka lak, al-Mannān, yā Badī`as-samāwāti wa ‘l-arḍ yā dha ‘l-Jalāli wa ‘l-'Ikrām, yā ḥayyu yā Qayyūm, innī as'aluka ‘l-jannah, wa a`ūdhu bika minan-nār.\n\nO Allah, I ask You, as You are the Owner of praise, there is none worthy of worship but You alone, You have no partner. You are the Giver of all good. O Creator of the heavens and the earth, Owner of majesty and honor. O Living and Everlasting One, I ask you for Paradise, and I seek refuge in You from the fire.\n\nReference:\n\nAbu Dawud, An-Nasa'i, Ibn Majah, At-Tirmidhi. See also Al-Albani, Sahih Ibn Majah 2/329.</text>
hadith|65|<text>Allāhumma innī as'aluka bi'annī ash-hadu annaka ant-Allāh lā 'ilāha 'illā ant, Al-Aḥaduṣ-ṣamad alladhī lam yalid wa lam yūlad wa lam yakun lahu kufuwan aḥad.\n\nO Allah, I ask You, by the fact that I bear witness that You are Allah. There is none worthy of worship but You, the Only God, Independent of creation, Who was not begotten and begets not, and none is equal to Him.\n\nReference:\n\nAbu Dawud 2/62, Ibn Majah 2/1267, At-Tirmidhi 5/515, Ahmad 5/360. See also Al-Albani, Sahih Ibn Majah 2/329 and Sahih At-Tirmidhi 3/163.</text>
chapter||After salam
hadith|66|<text>Astaghfirullāh\n\n(three times) Allāhumma antas-salām, wa minkas-salām, tabārakta yā dhal-Jalāli wal-'Ikrām.\n\nI seek the forgiveness of Allah (three times). O Allah, You are Peace and from You comes peace. Blessed are You, O Owner of majesty and honor.\n\nReference:\n\nMuslim 1/414.</text>
hadith|67|<text>Lā 'ilāha 'illallāh, waḥdahu lā sharīka lah, lahu ‘l-mulku wa lahu ‘l-ḥamd, wa huwa `alā kulli shay'in qadīr, Allāhumma lā māni`a limā 'a`tayt, wa lā mu`tiya limā mana`t, wa lā yanfa`u dhal-jaddi minkal-jadd.\n\nNone has the right to be worshipped but Allah alone, He has no partner, His is the dominion and His is the praise, and He is Able to do all things. O Allah, there is none who can withhold what You give, and none may give what You have withheld, and the might of the mighty person cannot benefit him against You.\n\nReference:\n\nAl-Bukhari 1/255, Muslim 1/414.</text>
hadith|68|<text>Lā 'ilāha 'illallāh, waḥdahu lā sharīka lah, lahul-mulku, wa lahul-ḥamd, wa huwa `alā kulli shay'in qadīr. Lā ḥawla wa lā quwwata 'illā billāh, lā 'ilāha 'illallāh, wa lā na`budu 'illā 'iyyāh, lahun-ni`matu wa lahul-faḍl, wa lahuth-thanā'ul-ḥasan, lā 'ilāha 'illallāh, mukhliṣīna lahud-dīn, wa law karihal-kāfirūn.\n\nNone has the right to be worshipped but Allah alone, He has no partner, His is the dominion and His is the praise and He is Able to do all things. There is no power and no might except by Allah. None has the right to be worshipped but Allah, and we do not worship any other besides Him. His is grace, and His is bounty, and to Him belongs the most excellent praise. None has the right to be worshipped but Allah. (We are) sincere in making our religious devotion to Him, even though the disbelievers may dislike it.\n\nReference:\n\nMuslim 1/415.</text>
hadith|69|<text>Subḥānallāh, walḥamdu lillāh, wallāhu 'akbar,\n\n(each said thirty-three times) Lā 'ilāha 'illallāh waḥdahu lā sharīka lahu, lahul-mulku wa lahul-ḥamd wa huwā`lā kulli shay'in qadīr.\n\nGlory is to Allah, and praise is to Allah, and Allah is the Most Great. (each said thirty-three times) None has the right to be worshiped but Allah alone, He has no partner, His is the dominion and His is the praise and He is Able to do all things.\n\nReference:\n\nMuslim 1/418, Whoever says this after every prayer will be forgiven his sins even though they be as the foam of the sea.</text>
hadith|70|<text>Bismillāhir-Raḥmānir-Raḥīm. Qul huwallāhu aḥad. Allāhuṣ-ṣamad. Lam yalid wa lam yūlad. Wa lam yakun lahu kufuwan aḥad. Bismillāhir-Raḥmānir-Raḥīm. Qul a`ūdhu birabbil-falaq. Min sharri mā khalaq. Wa min sharri ghāsiqin idhā waqab. Wa min sharrin-naffāthāti fil-`uqad. Wa min sharri ḥāsidin idhā ḥasad. Bismillāhir-Raḥmānir-Raḥīm. Qul a`ūdhu birabbin-nās. Malikin-nās. 'Ilāhin-nās. Min sharri ‘l-waswāsil-khannās. Alladhī yuwaswisu fī ṣudūrin-nās. Minal-jinnati wannās.\n\n(Surahs 112 al-Ikhlas, 113 al-Falaq, and 114 an-Nas) These Surahs should be recited in Arabic after each prayer. After the Maghrib and Fajr prayers, they should be recited three times each. With the Name of Allah, the Most Gracious, the Most Merciful. Say: He is Allah (the) One. The Self-Sufficient Master, Whom all creatures need, He begets not nor was He begotten, and there is none equal to Him. With the Name of Allah, the Most Gracious, the Most Merciful. Say: I seek refuge with (Allah) the Lord of the daybreak, from the evil of what He has created, and from the evil of the darkening (night) as it comes with its darkness, and from the evil of those who practice witchcraft when they blow in the knots, and from the evil of the envier when he envies. With the Name of Allah, the Most Gracious, the Most Merciful. Say: I seek refuge with (Allah) the Lord of mankind, the King of mankind, the God of mankind, from the evil of the whisperer who withdraws, who whispers in the breasts of mankind, of jinns and men.\n\nReference:\n\nAbu Dawud 2/86, An-Nasa'i 3/68. See also Al-Albani, Sahih At-Tirmidhi 2/8.</text>
hadith|71|<text>Allāhu lā ilāha illā huwa ‘l-Ḥayyul-Qayyūm, lā ta'khudhuhu sinatun wa lā nawm, lahu mā fis-samāwāti wa mā fil-ardh, man dhal-ladhī yashfa`u `indahu illā bi'idhnih, ya`lamu mā bayna 'aydīhim wa mā khalfahum, wa lā yuḥītūna bishay'im-min `ilmihi illā bimā shā'a, wasi `a kursiyyuhus-samāwāti wal-ardh, wa lā ya'ūduhu hifẓuhumā, wa huwal-`Aliyyu ‘l-`Aẓīm.\n\nAllah! There is none worthy of worship but He, the Ever-Living, the One Who sustains and protects all that exists. Neither slumber nor sleep overtakes Him. To Him belongs whatever is in the heavens and whatever is on the earth. Who is he that can intercede with Him except with His Permission? He knows what happens to them in this world, and what will happen to them in the Hereafter. And they will never compass anything of His Knowledge except that which He wills. His Throne extends over the heavens and the earth, and He feels no fatigue in guarding and preserving them. And He is the Most High, the Most Great. (Recite in Arabic after each prayer.)\n\nReference:\n\nAn-Nasa'i, 'Amalul-Yawm wal-Laylah (Hadith no. 100), also Ibn As-Sunni (no. 121). See also Al-Albani, Sahihul-Jami' As-Saghir 5/339 and Silsilatul-Ahadith As-Sahihah 2/697 (no. 972).</text>
hadith|72|<text>Lā ilāha illallāh waḥdahu lā sharīka lah, lahu‘l-mulku wa lahu‘l-ḥamd yuḥyī wa yumīt wa huwa `alā kulli shay'in qadīr.\n\n(Recite ten times in Arabic after the Maghrib and Fajr prayers.) None has the right to be worshipped but Allah alone, Who has no partner. His is the dominion and His is the praise. He brings life and He causes death, and He is Able to do all things.\n\nReference:\n\nAt-Tirmidhi 5/515, Ahmad 4/227. See its checking in Ibn Al-Qayyim Al-Jawziyyah's Zddul-Ma'ad 1/300.</text>
hadith|73|<text>Allāhumma innī as'aluka `ilman nāfi`an, wa rizqan ṭayyiban, wa `amalam-mutaqabbala.\n\n[to be said after giving salam for the Fajr prayer.] "O Allah, I ask You for knowledge which is beneficial, and sustenance which is good, and deeds which are acceptable."\n\nReference:\n\nIbn Majah and others. See Sahih Ibn Majah 1/152 and Majma' Az-Zawa'id 10/111</text>
chapter||For seeking guidance in forming a decision or choosing the proper course
hadith|74|<text>Jabir bin Abdullah (RA) said: The Prophet (ﷺ) used to teach us to seek Allah's Counsel in all matters, as he used to teach us a Surah from the Qur'an. He would say: When anyone of you has an important matter to decide, let him pray two Rak'ahs other than the obligatory prayer, and then say: Allāhumma innī astakhīruka bi `ilmik, wa astaqdiruka biqudratik, wa as'aluka min faḍlika ‘l-`Aẓīm, fa'innaka taqdiru wa lā aqdir, wa ta`lamu wa lā a`lam, wa anta `allāmu ‘l-ghuyūb, Allāhumma in kunta ta`lamu anna hādha ‘l-amra - [then mention the thing to be decided] Khayrun lī fī dīnī wa ma`āshī wa `āqibati amrī - [or say] `ājilihi wa ājilih - faqdurhu lī wa yassirhu lī thumma bārik lī fīh, wa in kunta ta`lamu anna hādha ‘l-amra sharrun lī fī dīnī wa ma`āshī wa `āqibati 'amrī - [or say] `ājilihi wa 'ājilihi - faṣrifhu `annī waṣrifnī `anh, waqdur liya ‘l-khayra ḥaythu kān, thumma arḍinī bih.\n\n"O Allah, I seek the counsel of Your Knowledge, and I seek the help of Your Omnipotence, and I beseech You for Your Magnificent Grace. Surely, You are Capable and I am not. You know and I know not, and You are the Knower of the unseen. O Allah, if You know that this matter [then mention the thing to be decided] is good for me in my religion and in my life and for my welfare in the life to come, - [or say: in this life and the afterlife] - then ordain it for me and make it easy for me, then bless me in it. And if You know that this matter is bad for me in my religion and in my life and for my welfare in the life to come, - [or say: in this life and the afterlife] - then distance it from me, and distance me from it, and ordain for me what is good wherever it may be, and help me to be content with it."\n\nWhoever seeks the counsel of the Creator will not regret it and whoever seeks the advice of the believers will feel confident about his decisions, for Allah has said in the Qur'an: "And consult them in the affair. Then when you have taken a decision, put your trust in Allah." Reference:\n\nAl-Bukhari 7/162. and Aal-'Imran 3:159.</text>
chapter||In the morning and evening
hadith|75a|<text>Alḥamdulillahi waḥdah waṣ-ṣalatu was-salam `alā man lā nabiyya ba`dah.\n\nAll praise is due to Allah alone, and peace and blessings be upon him after whom there is no other Prophet.\n\nReference:\n\nAnas (RA) said that he heard the Prophet (ﷺ) say: "That I sit with people remembering Almighty Allah from the morning (Fajr) prayer until sunrise is more beloved to me than freeing four slaves from among the Children of Isma'il. That I sit with people remembering Allah from the afternoon ('Asr) prayer, until the sun sets, is more beloved to me than freeing four slaves from among the Children of Isma'il." This was reported by Abu Dawud (no. 3667). Al-Albani graded it good in Sahih Abu Dawud 2/698.</text>
hadith|75|<text>(A`ūdhu billāhi min ash-shaytāni 'r-rajīm) Allāhu lā ilāha illā huwa ‘l-Ḥayyul-Qayyūm, lā ta'khudhuhu sinatun wa lā nawm, lahu mā fis-samāwāti wa māfil-arḍ, man dhal-ladhī yashfa`u `indahu illā bi'idhnih, ya`lamu mā bayna aydīhim wa mā khalfahum, wa lā yuḥīṭūna bishay'im-min `ilmihi illā bimā shā', wasi`a kursiyyuhus-samāwāti wal-arḍ, wa lā ya'ūduhu hifẓuhumā, wa huwal-`Aliyyu‘l-`Aẓīm.\n\n(Ayat al-Kursi; Al-Qur'an 2:255)\n\nAllah! There is none worthy of worship but He, the Ever-Living, the One Who sustains and protects all that exists. Neither slumber nor sleep overtakes Him. To Him belongs whatever is in the heavens and whatever is on the earth. Who is he that can intercede with Him except with His Permission? He knows what happens to them in this world, and what will happen to them in the Hereafter. And they will never encompass anything of His Knowledge except that which He wills. His Throne extends over the heavens and the earth, and He feels no fatigue in guarding and preserving them. And He is the Most High, the Most Great.\n\nReference:\n\nWhoever says this when he rises in the morning will be protected from jinns until he retires in the evening, and whoever says it when retiring in the evening will be protected from them until he rises in the morning. It was reported by Al-Hakim 1 / 562, Al-Albani graded it as authentic in Sahihut-Targhib wat-Tarhib 1/273, and traces it to An-Nasa'i and At-Tabarani. He says that At-Tabarani's chain of transmission is reliable (Jayyid).</text>
hadith|76|<text>Bismillāhir-Raḥmānir-Raḥīm. Qul huwallāhu aḥad. Allāhuṣ-ṣamad. Lam yalid wa lam yūlad. Wa lam yakun lahu kufuwan aḥad. Bismillāhir-Raḥmānir-Raḥīm. Qul a`ūdhu birabbil-falaq. Min sharri mā khalaq. Wa min sharri ghāsiqin idhā waqab. Wa min sharrin-naffāthāti fil-`uqad. Wa min sharri ḥāsidin idhā ḥasad. Bismillāhir-Raḥmānir-Raḥīm. Qul a`ūdhu birabbin-nās. Malikin-nās. 'Ilāhin-nās. Min sharri ‘l-waswāsil-khannās. Alladhī yuwaswisu fī ṣudūrin-nās. Minal-jinnati wannās.\n\n(Recite these three times each in Arabic). With the Name of Allah, the Most Gracious, the Most Merciful. Say: He is Allah (the) One. The Self-Sufficient Master, Whom all creatures need, He begets not nor was He begotten, and there is none equal to Him. With the Name of Allah, the Most Gracious, the Most Merciful. Say: I seek refuge with (Allah) the Lord of the daybreak, from the evil of what He has created, and from the evil of the darkening (night) as it comes with its darkness, and from the evil of those who practice witchcraft when they blow in the knots, and from the evil of the envier when he envies. With the Name of Allah, the Most Gracious, the Most Merciful. Say: I seek refuge with (Allah) the Lord of mankind, the King of mankind, the God of mankind, from the evil of the whisperer who withdraws, who whispers in the breasts of mankind, of jinns and men.\n\nReference:\n\nAl-Ikhlas 112:1-4, Al-Falaq 113:1-5, An-Nas 114:1-6. Whoever recites these three times in the morning and in the evening, they will suffice him (as a protection) against everything. The Hadith was reported by Abu Dawud 4/322, and At-Tirmidhi 5/567. See Al-Albani's Sahih At-Tirmidhi 3/182.</text>
hadith|77|<text>Aṣbaḥnā wa aṣbaḥal-mulku lillāh, walḥamdu lillāh, lā ilāha illallāhu waḥdahu lā sharīka lah, lahul-mulku wa lahul-ḥamd, wa huwa `alā kulli shay'in Qadīr. Rabbi as'aluka khayra mā fī hādha ‘l-yawmi wa khayra mā ba`dahu wa a`ūdhu bika min sharri mā fī hātha ‘l-yawmi wa sharri mā ba`dahu, Rabbi a`ūdhu bika minal-kasali, wa sū'il-kibar, Rabbi a`ūdhu bika min `adhābin fin-nāri wa `adhābin fil-qabr.\n\nWe have entered a new day 1 and with it all dominion is Allah's. Praise is to Allah. None has the right to be worshipped but Allah alone, Who has no partner. To Allah belongs the dominion, and to Him is the praise and He is Able to do all things. My Lord, I ask You for the goodness of this day and of the days that come after it, and I seek refuge in You from the evil of this day and of the days that come after it.2 My Lord, I seek refuge in You from laziness and helpless old age. My Lord, I seek refuge in You from the punishment of Hell-fire, and from the punishment of the grave.3\n\nReference:\n\n1 When you say this in the evening you should say Amsaynā wa amsal-mulku lillāh: "We have ended another day and with it, all dominion is Allah's. 2 When you say this in the evening you should say: Rabbi as'aluka khayra mā fī hāthihil-laylati, wa khayra mā ba`dahā, wa a`ūthu bika min sharri mā fī hāthihil-laylati wa sharri mā ba`dahā: "I ask You for the good things of this night and of the nights that come after it and I seek refuge in You from the evil of this night and of the nights that come after it." 3 Muslim 4/2088.</text>
hadith|78|<text>Allāhumma bika aṣbaḥnā, wa bika amsaynā, wa bika naḥyā, wa bika namūt, wa ilaykan-nushūr. When you say this in the evening you should say: Allāhumma bika amsaynā wa bika aṣbaḥnā, wa bika naḥyā, wa bika namūt, wa ilaykal-maṣīr\n\nO Allah, by You we enter the morning and by You we enter the evening, by You we live and by You we die, and to You is the Final Return. O Allah, You bring us the end of the day as You bring us its beginning, You bring us life and you bring us death, and to You is our fate.\n\nReference:\n\nSahih At-Tirmidhi 3/142.'</text>
hadith|79|<text>Allāhumma anta Rabbī lā ilāha illā ant, khalaqtanī wa anā `abduk, wa anā `alā `ahdika wa wa`dika mastaṭa`t, a`ūdhu bika min sharri mā ṣana`t, abū'u laka bi ni`matika `alay, wa abū'u bidhanbī faghfir lī fa'innahu lā yaghfirudh-dhunūba illā ant.\n\nO Allah, You are my Lord, there is none worthy of worship but You. You created me and I am your slave. I keep Your covenant, and my pledge to You so far as I am able. I seek refuge in You from the evil of what I have done. I admit to Your blessings upon me, and I admit to my misdeeds. Forgive me, for there is none who may forgive sins but You.\n\nReference:\n\nWhoever recites this with conviction in the evening and dies during that night shall enter Paradise, and whoever recites it with conviction in the morning and dies during that day shall enter Paradise, Al-Bukhari 7/150. Other reports are in An-Nasa'i and At-Tirmidhi.</text>
hadith|80|<text>Allāhumma innī aṣbaḥtu ush-hiduka wa ush-hidu ḥamalata `arshik, wa malā'ikataka wajamī`a khalqik, annaka antallāhu lā ilāha illā ant, waḥdaka lā sharīka lak, wa anna Muḥammadan `abduka wa rasūluk.\n\nO Allah, I have entered a new morning 1 and call upon You and upon the bearers of Your Throne, upon Your angels and all creation to bear witness that surely You are Allah, there is none worthy of worship but You alone, You have no partners, and that Muhammad is Your slave and Your Messenger. (Recite four times in Arabic.) 2\n\nReference:\n\n1 When you say this in the evening you should say, Allāhumma innī amsaytu. . . .: "O Allah, I have ended another day..." 2 "Allah will spare whoever says this four times in the morning or evening from the fire of Hell." Abu Dawud 4/317. It was also reported by Al-Bukhari in Al-'Adab Al-Mufrad, An-Nasa'i in 'Amalul-Yawm wal-Laylah and Ibn As-Sunni. Nasa'i's and Abu Dawud's chains of transmission are good (Hasan), Ibn Baz, p. 23.</text>
hadith|81|<text>Allāhumma mā aṣbaha bī min ni`matin aw bi aḥadin min khalqik, fa minka waḥdaka lā sharīka lak, falaka ‘l-ḥamdu wa lakash-shukr.\n\nO Allah, whatever blessing has been received by me or anyone of Your creation 1 is from You alone, You have no partner. All praise is for you and thanks is to You. 2\n\nReference:\n\n1 When you say this in the evening, you should say: Allāhumma mā 'amsā bī...: "O Allah, as I... enter this evening..." 2 Whoever recites this in the morning, has completed his obligation to thank Allah for that day; and whoever says it in the evening, has completed his obligation for that night. Abu Dawud 4/318, An-Nasa'i 'Amalul-Yawm wal-Laylah (no. 7), Ibn As-Sunni (no. 41), Ibn Hibban (no. 2361). Its chain of transmission is good (Hasan), Ibn Baz, p. 24.</text>
hadith|82|<text>Allāhumma `āfinī fī badanī, Allāhumma `āfinī fī sam`ī, Allāhumma `āfinī fī baṣarī, lā ilāha illā ant. Allāhumma innī a`ūdhu bika mina ‘l-kufri, wa ‘l-faqr, wa a`ūdhu bika min `adhābi ‘l-qabr, lā ilāha illā ant.\n\nO Allah, make me healthy in my body. O Allah, preserve for me my hearing. O Allah, preserve for me my sight. There is none worthy of worship but You. O Allah, I seek refuge in You from disbelief and poverty, and I seek refuge in You from the punishment of the grave. There is none worthy of worship but You (Recite three times in Arabic.)\n\nReference:\n\nAbu Dawud 4/324, Ahmad 5/42, An-Nasa'i, 'Amalul-Yawm wal-Laylah (no. 22), Ibn As-Sunni (no. 69), Al-Bukhari Al-'Adab Al-Mufrad. Its chain of transmission is good (Hasan), Ibn Baz, p. 26.</text>
hadith|83|<text>Ḥasbiyallāhu lā ilāha illā huwa `alayhi tawakkalt, wa huwa Rabbu ‘l-`Arshi ‘l-'Aẓīm.\n\nAllah is sufficient for me. There is none worthy of worship but Him. I have placed my trust in Him, He is Lord of the Majestic Throne. (Recite seven times in Arabic.)\n\nReference:\n\nAllah will grant whoever recites this seven times in the morning or evening whatever he desires from this world or the next, Ibn As-Sunni (no. 71), Abu Dawud 4/321. Both reports are attributed directly to the Prophet (ﷺ) j§ (Marfu1). The chain of transmission is sound (Sahih). Ibn As-Sunni.</text>
hadith|84|<text>Allāhumma innī as'aluka 'l-`afwa wal-`āfiyah fid-dunyā wal-ākhirah, Allāhumma innī as'aluka 'l-`afwa wal-`āfiyah fī dīnī wa dunyāya, wa ahlī, wa mālī, Allāhummastur `awrātī, wa āmin raw`ātī, Allāhummaḥfaẓnī min bayni yadayya, wa min khalfī, wa `an yamīnī, wa `an shimālī, wa min fawqī, wa a`ūdhu bi`aẓamatika an 'ughtāla min taḥtī.\n\nO Allah, I seek Your forgiveness and Your protection in this world and the next. O Allah, I seek Your forgiveness and Your protection in my religion, in my worldly affairs, in my family and in my wealth. O Allah, conceal my secrets and preserve me from anguish. O Allah, guard me from what is in front of me and behind me, from my left, and from my right, and from above me. I seek refuge in Your Greatness from being struck down from beneath me.\n\nReference:\n\nSahih Ibn Majah 2/332 and Abu Dawud.</text>
