collection||Sahih Muslim
hadith|506a|
hadith|506b|۔ ( ابن ابی فدیک کے بجائے ) ابو بکر حنفی نے ضحاک بن عثمان سے اسی ( مذکورہ ) سند کےساتھ روایت کی کہ رسو ل اللہﷺ نے فرمایا : ... آگے سابقہ حدیث کے مانند ہے
hadith|507a|
hadith|507b|سفیان نے ابو نضر سالم سے اور انہوں نے بسر بن سعید سے روایت کی کہ زید بن خالد جہنی ‌رضی ‌اللہ ‌عنہ ‌ ‌ نے ( انہیں ) ابو جہیم انصاری ‌رضی ‌اللہ ‌عنہ ‌ ‌ کے پاس بھیجا ( تاکہ پوچھے ) کہ آپ نے نبی اکرمﷺ کو کیا فرماتے سنا .... پھر ( سفیان نے ) مالک کی روایت کے ہم معنیٰ حدیث بیان کی ۔
chapter||The Praying Person Standing Close To The Sutrah
hadith|508|حضرت سہل بن سعد ساعدی ‌رضی ‌اللہ ‌عنہ ‌ ‌ سے روایت ہے ، انہوں نے کہا : رسول اللہﷺ کے سجدے کی جگہ اور دیوار کی درمیان بکری گزرنے کے برابر فاصلہ تھا ۔
hadith|509a|
hadith|509b|۔ مکی ( بن ابراہیم ) نے کہا : ہمیں یزید بن ابی عبید نے خبر دی ، انہوں نے کہا : حضرت سلمہ ( بن اکوع ) ‌رضی ‌اللہ ‌عنہ ‌ ‌ اس ستون کے پاس نماز پڑھنے کی جستجو کرتے جو مصحف کے پاس تھا ۔ میں نے ان سے کہا : اے ابو مسلم! میں دیکھتا ہوں کہ آپ اس ستون کے پاس نماز پڑھنے کا اہتمام کرتے ہیں ۔ انہوں نے کہا : میں نے نبی اکرمﷺ کو اس کے قریب نماز پڑھنے کا اہتمام کرتے دیکھا ہے
chapter||The Height Of That Which Serves As A Sutrah For The One Who Is Praying
hadith|510a|
hadith|510b|سلیمان بن مغیرہ ، شعبہ ، جریر ، سلم بن ابو ذیال اور عاصم احول سب نے حمید بن ہلال سے یونس کی سند کے ساتھ اس کی حدیث کی مانند حدیث بیان کی ہے ۔
hadith|511|حضرت ابو ہریرہ ‌رضی ‌اللہ ‌عنہ ‌ ‌ سے روایت ہے ، انہوں نے کہا کہ رسول اللہﷺ نے فرمایا : ’’ عورت ، گدھا اور کتا نماز قطع کر دیتے ہیں اور پالان کی پچھلی لکڑی کے برابر کوئی چیز اسے بچاتی ہے ۔ ‘ ‘
chapter||Lying In Front Of One Who Is Praying
hadith|512a|
hadith|512b|۔ ہشام نے اپنے والد عروہ سے اور انہوں نے حضرت عائشہ رضی اللہ عنہا سے روایت کی ، انہوں نے کہا : نبی اکرمﷺ رات کو اپنی پوری نماز پڑھتے اور میں آپ کے اور قبلے کے درمیان لیٹی ہوتی تھی اور جب آپ وتر پڑھنا چاہتے ، مجھے جگا دیتے تو میں بھی وتر پڑھ لیتی
hadith|512c|ابو بکر بن حفص نے عروہ سے روایت کی ، انہوں نے کہا : حضرت عائشہ رضی اللہ عنہا نے پوچھا : کون سی چیز نماز قطع کر دیتی ہے؟ تو ہم نے کہا : عورت اور گدھا ۔ اس پر انہوں نے کہا : عورت برا چوپایہ ہے! میں نے اپنے آپ کو دیکھا ہے کہ میں رسول اللہ ﷺ کے سامنے چوڑائی رخ جنازے کی طرح لیٹی ہوتی تھی جبکہ آپ نماز پڑھ رہے تھے ۔
hadith|512d|اعمش نے ہمیں حدیث سنائی ، کہا : مجھے ابراہیم نے حدیث بیان کی ، انہوں نے اسود سے اور اسود نے عائشہ رضی اللہ عنہا سے روایت کی ۔ اعمش نے ( مزید ) کہا : مجھے مسلم بن صبیح نے مسروق سے حدیث بیان کی اور انہوں نے حضرت عائشہ رضی اللہ عنہا سے روایت کی ، ان کے سامنے ان چیزوں کا تذکرہ کیا گیا جو نماز قطع کرتی ہیں ( یعنی ) کتا ، گدھا اور عورت ۔ تو عائشہ رضی اللہ عنہا نے فرمایا : تم نے ہمیں گدھوں اور کتوں کے مشابہ بنا دیا ہے! اللہ کی قسم! میں نے رسول اللہ ﷺ کو اس حال میں نماز پڑھتے دیکھا کہ میں چار پائی پر آپ کے اور قبلے کے درمیان لیٹی ہوتی تھی ، مجھے ضرورت پیش آتی تو میں بیٹھ کر رسول اللہﷺ کو تکلیف دینا پسند نہ کرتی ، اس لیے میں اس ( چار پائی یا بستر ) کے پایوں ( والی جگہ کی طرف ) سے کھسک جاتی ۔
hadith|512e|منصور نے ابراہیم ( نخعی ) سے ، انہوں نے اسود سے اور انہوں نے حضرت عائشہ رضی اللہ عنہا سے روایت کی ، انہوں نے فرمایا : تم نے ہمیں کتوں اورگدھوں کے برابر کر دیا ہے ، حالانکہ میں نے اپنے آپ کو ( اس طرح ) دیکھا ہے کہ میں چار پائی پر لیٹی ہوتی تھی ، رسول اللہﷺ تشریف لاتے اور چارپائی کے وسط میں کھڑے ہو کر نماز پڑھتے ، میں آپ کے سامنے ہونا پسند نہ کرتی ، اس لیے میں چار پائی کے پایوں کی طرف سے کھسکتی یہاں تک کہ اپنے لحاف سے نکل جاتی ۔
hadith|512f|ابو سلمہ بن عبد الرحمن نے حضرت عائشہ رضی اللہ عنہا سے روایت کی ، انہوں نے کہا : میں رسول اللہﷺ کے سامنے سو جاتی اور میرے پاؤں آپ کے قبلے ( والے حصے ) میں ہوتے ، جب آپ سجدہ کرتے تو ( پاؤں پر ہاتھ لگا کر ) مجھے اشارہ کر دیتے تو میں اپنے دونوں پاؤں سکیٹر لیتی اور جب آپ کھڑے ہو جاتے تو میں ان کو پھیلا لیتی ۔ انہوں ( عائشہ رضی اللہ عنہا ) نے کہا : گھر ان دنوں ایسے تھے کہ ان میں چراغ نہیں ہوتے تھے ۔
hadith|513|۔ نبی اکرمﷺ کی زوجہ حضرت میمونہ رضی اللہ عنہا سے روایت ہے ، انہوں نے کہا : رسول اللہﷺ نماز پڑھتے اور میں حیض کی حالت میں آپ کے سامنے ہوتی ، بسا اوقات آپ سجدہ کرتے تو آپ کا کپڑا مجھ سے لگ رہا ہوتا
hadith|514|حضرت عائشہ رضی اللہ عنہا سے روایت ہے کہ رسول اللہ ﷺ رات کو نماز پڑھتے اور میں حیض کی حالت میں آپ کے پہلو کی جانب ہوتی ۔ مجھ پر چادر ہوتی اور اس چادر کا کچھ حصہ آپ کے پہلو ( کی طرف ) سے آپ پر ( بھی ) ہوتا ۔
chapter||Praying In A Single Garment, And How It Should Be Worn
hadith|515a|
hadith|515b|۔ یونس اور عقیل بن خالد دونوں نے ابن شہاب ( زہری ) سے ، انہوں نے سعید بن مسیب اور ابو سلمہ سے ، انہوں نے حضرت ابو ہریرہ ‌رضی ‌اللہ ‌عنہ ‌ ‌ سے اور انہوں نے نبی ﷺ سے سابقہ حدیث کے مانند روایت بیان کی
hadith|515c|۔ محمد بن سیرین نے حضرت ابو ہریرہ ‌رضی ‌اللہ ‌عنہ ‌ ‌ سے روایت کی ، انہوں نے کہا : ایک آدمی نے نبی ﷺ کو پکار کر پوچھا : کیا ہم میں سے کوئی شخص صرف ایک کپڑے میں نماز پڑھ سکتا ہے؟ تو آپ نے فرمایا : ’’ کیا تم میں سے ہر ایک کے پاس دو کپڑے ہیں؟ ‘ ‘
hadith|516|۔ حضرت ابو ہریرہ ‌رضی ‌اللہ ‌عنہ ‌ ‌ سے روایت ہے کہ رسول اللہﷺ نے فرمایا : ’’ تم میں سے کوئی شخص ایک کپڑے میں نماز اس طرح نہ پڑھے کہ اس کے کندھوں پر اس کا کوئی حصہ نہ ہو ۔ ‘ ‘
hadith|517a|
hadith|517b|۔ وکیع نے ہشام بن عروہ کی مذکورہ بالا سند سے حدیث سنائی ، ہاں یہ فرق ہے کہ اس نے متوشحا کہا مشتملا نہ کہا
hadith|517c|حماد بن زید نے ہشام بن عروہ سے ، انہوں نے اپنے والد سے اور انہوں نے حضرت عمر بن ابی سلمہ ‌رضی ‌اللہ ‌عنہ ‌ ‌ سے روایت کی ، کہا : میں نے رسول اللہﷺ کو ام سلمہ رضی اللہ عنہا کے گھر میں ایک کپڑے میں نماز پڑھتے دیکھا ، آپ نے اس کے دونوں کناروں کو ادل بدل کر رکھا تھا ، یعنی دائیں کنارے کو بائیں طرف اور بائیں کنارے کو دائیں طرف لے گئے تھے
hadith|517d|قتیبہ بن سعید اور عیسیٰ بن حماد نے کہا : ہمیں لیث نے یحییٰ بن سعید سے حدیث سنائی انہوں نے ابو امامہ بن سہل بن حنیف سے اور انہوں نے حضرت عمر بن ابی سلمہ ‌رضی ‌اللہ ‌عنہ ‌ ‌ سے روایت کی ، کہا : میں نے رسول اللہﷺ کو ایک کپڑے میں نماز پڑھتے دیکھا : آپ نے اس کو لپیٹا ہوا تھا اور اس کے دونوں کناروں کو مخالف سمت میں ڈالا ہوا تھا ۔ عیسیٰ بن حماد نے اپنی روایت میں یہ اضافہ کیا : اپنے کندھوں پر ڈالے ہوئے تھے ۔
hadith|518a|
hadith|518b|۔ محمد بن عبد اللہ بن نمیر نے اپنے والد سے حدیث بیان کی ، نیز محمد بن مثنیٰ نے عبد الرحمان سے حدیث بیان کی ، ان دونوں ( ابن نمیر اور عبد الرحمان ) نے سفیان سے اسی سند کے ساتھ یہی روایت بیان کی ۔ اور ابن نمیر کی حدیث میں ہے ، کہا : میں رسول اللہﷺ کے ہاں حاضر ہوا ۔
hadith|518c|عمرو نے کہا کہ ابو زبیر مکی نے مجھے حدیث سنائی کہ انہوں نے جابر بن عبد اللہ رضی اللہ عنہما کو ایک کپڑے میں نماز پڑھتے دیکھا ، وہ اس کو پٹکے کی طرح لپیٹے ہوئے تھے اور ان کے پاس ان کے کپڑےموجود تھے اور جابر ‌رضی ‌اللہ ‌عنہ ‌ ‌ نے بتایا کہ انہوں نے رسو ل اللہﷺ کو ایسے کرتے دیکھا ہے ۔
hadith|519a|
hadith|519b|۔ ابو بکر بن ابی شیبہ اور ابو کریب نے کہا : ہم سے ابو معاویہ نے بیان کیا ، نیز سوید بن سعید نے کہا : ہم سے علی بن مسہر نے روایت کی ، دونوں نے اعمش سے اسی طرح روایت کی ۔ ابو کریب کی روایت میں ہے : آپ نے اس کے دونوں کنارے اپنے کندھوں پر ڈالے ہوئے تھے ۔ اور ابو بکر اور سوید کی روایت میں ہے : آپ اس کو پٹکے کی طرح لپیٹے ہوئے تھے ۔
book||The Book of Mosques and Places of Prayer
chapter||
hadith|520a|
hadith|520b|علی بن مسہر نے کہا : ہمیں اعمش نے ابراہیم بن یزید تیمی سے حدیث سنائی ، کہا : میں مسجد کے باہر کھلی جگہ ( صحن ) میں اپنے والد کو قرآن مجید سنایا کرتا تھا ، جب میں ( آیت ) سجدہ کی تلاوت کرتا تو وہ سجدہ کر لیتے ۔ میں نے ان سے پوچھا : ابا جان! کیا آپ راستے ہی میں سجدہ کر لیتے ہیں؟ انہوں نے جواب دیا : میں نے ابو ذر ‌رضی ‌اللہ ‌عنہ ‌ ‌ کو یہ کہتے ہوئے سنا وہ بیان کر رہے تھے کہ میں نے رسول اللہﷺ سے روئے زمین پر سب سے پہلی بنائی جانے والی مسجد کے بارے میں پوچھا تو آپ ﷺ نے فرمایا : ’’ مسجد حرام ۔ ‘ ‘ میں نے عرض کی : پھر کون سی؟ آپ نے فرمایا ، ’’ مسجد اقصیٰ ۔ ‘ ‘ میں نے پوچھا : دونوں ( کی تعمیر ) کے درمیان کتنا عرصہ تھا؟ آپ نے فرمایا : ’’ چالیس سال ، پھر ساری زمین ( ہی ) تمہارے لیے مسجد ہے ، جہاں بھی تمہاری نماز کا وقت آ جائے وہیں نماز پڑھ لو ۔ ‘ ‘
hadith|521a|
hadith|521b|۔ ابو بکر بن ابی شیبہ نے ہشیم سے اسی سابقہ سند سے روایت کی کہ رسول اللہﷺ نے فمرایا : ..... پھر اسی طرح بیان کیا ۔
hadith|522a|
hadith|522b|۔ ابن ابی زائد نے ( ابو مالک ) سعد بن طارق ( اشجعی ) سے روایت کی ، کہا : مجھے ربعی بن حراش نے حضرت حذیفہ ‌رضی ‌اللہ ‌عنہ ‌ ‌ سے حدیث سنائی ، کہا : رسول اللہﷺ نے فرمایا ......... آگے سابقہ حدیث کے مانند ہے ۔
hadith|523a|
hadith|523b|۔ یونس نے ابن شہاب سے ، انہوں نے سعید بن مسیب سے اور انہوں نے حضرت ابوہریرہ ‌رضی ‌اللہ ‌عنہ ‌ ‌ سے روایت کی کہ رسول اللہﷺ نے فرمایا : ’’ مجھے جامع کلمات دے کر بھیجا گیا ہے اور رعب کے ذریعے میری نصرت کی گئی ہے ، میں نیند کے عالم میں تھا کہ زمین کے خزانوں کی کنجیاں میرے پاس لا کر میرے ہاتھوں میں رکھ دی گئیں ۔ ‘ ‘ حضرت ابو ہریرہ ‌رضی ‌اللہ ‌عنہ ‌ ‌ نے کہا : رسول اللہ ﷺ تو ( اپنے رب کے پاس ) جا چکے ہیں اور تم ان ( خزانوں ) کو کھود کر نکال رہے ہو
hadith|523c|۔ زبیدی نے ( ابن شہاب ) زہری سے روایت کی ، انہوں نے کہا : مجھے سعید بن مسیب اور ابو سلمہ بن عبد الرحمٰن نے خبر دی کہ حضرت ابو ہریرہ ‌رضی ‌اللہ ‌عنہ ‌ ‌ نے کہا : میں نے رسول اللہﷺ سے سنا ، آپ فرما رہا تھے .... ( بقیہ ) یونس کی حدیث کے مانند ہے ۔
hadith|523d|معمر نے زہری سے ، انہوں نے ابن مسیب اور ابو سلمہ ( بن عبد الرحمن ) سے ، انہوں نے حضرت ابو ہریرہ ‌رضی ‌اللہ ‌عنہ ‌ ‌ سے اور انہوں نے نبی ﷺ سے اسی طرح بیان کیا ۔
hadith|523e|۔ ابو ہریرہ ‌رضی ‌اللہ ‌عنہ ‌ ‌ کے آزاد کردہ غلام ابو یونس سے روایت ہے ۔ انہوں نے حضرت ابو ہریرہ ‌رضی ‌اللہ ‌عنہ ‌ ‌ سے حدیث سنائی ، انہوں نے رسول اللہﷺ سے روایت کی کہ آپ نے فرمایا : ’’ دشمن پر رعب طاری کر کے میرے مدد کی گئی ، مجھے جامع کلمات سے نوازا گیا اور میں نیند کے عالم میں تھا کہ زمین کے خزانوں کی کنجیاں میرے پاس لائی گئیں اور انہیں میرے ہاتھوں میں دے دیا گیا ۔ ‘ ‘
hadith|523f|ہمام بن منبہ سے روایت ہے ، کہا : یہ احادیث ہیں جو حضرت ابو ہریرہ ‌رضی ‌اللہ ‌عنہ ‌ ‌ نے رسول اللہﷺ سے ہمیں بیان کی ، انہوں نے متعدد احادیث بیان کیں ، ان میں سے یہ ( بھی ) تھی کہ رسول اللہﷺ نے فرمایا : ’’رعب کے ذریعے میری مدد کی گئی ہے اور مجھے جامع کلمات عنایت کیے گئے ہیں
chapter||The construction of the Masjid of the Prophet (ﷺ)
hadith|524a|
hadith|524b|معاذ عنبری نے کہا : ہمیں شعبہ نے حدیث سنائی ، انہوں نے کہا : مجھے ابوتیاح نے حضرت انس ‌رضی ‌اللہ ‌عنہ ‌ ‌ سے حدیث سنائی کہ رسول اللہﷺ مسجد بنانے سے پہلے بکریوں کے باڑے میں نماز پڑھ لیا کرتے تھے ۔
hadith|524c|۔ ( معاذ کے بجائے ) خالد ، یعنی ابن حارث نے روایت کی ، کہا : ہمیں شعبہ نے ابو تیاح سے حدیث سنائی ، انہوں نے کہا : میں نے حضرت انس ‌رضی ‌اللہ ‌عنہ ‌ ‌ سے سنا ، وہ فرما رہے تھے کہ رسول اللہ ﷺ .... ( آگے ) سابقہ حدیث کے مانند ہے ۔
chapter||Changing the qiblah from Al-Quds (Jerusalem) to the Ka`bah
hadith|525a|
hadith|525b|سفیان ( ثوری ) سے روایت ہے ، کہا : مجھے ابو اسحاق نے حدیث سنائی ، کہا : میں نے حضرت براء ‌رضی ‌اللہ ‌عنہ ‌ ‌ سے سنا ، وہ کہہ رہے تھے : ہم نے رسول اللہ ﷺ کے ساتھ سولہ یا سترہ ماہ بیت المقدس کی طرف رخ کر کے نماز پڑھی ، پھر ہمارا رخ کعبہ کی طرف پھیر دیا گیا ۔
hadith|526a|
hadith|526b|حضرت انس ‌رضی ‌اللہ ‌عنہ ‌ ‌ سے روایت ہے کہ رسول اللہ ﷺ بیت المقدس کی طرف منہ کر کے نماز پڑھا کرتے تھے ، پھر یہ آیت : ’’ ہم آپ کا چہرہ آسمان کی طرف پھرتا ہوا دیکھ رہے ہیں ، ہم ضرور آپ کا رخ اس قبلے کی طرف پھیر دیں گے جسے آپ پسند کرتے ہیں ، لہٰذا آپ اپنا چہرہ مسجد حرام کی طرف پھیر لیجئے ۔ ‘ ‘ بنو سلمہ کا ایک آدمی ( عباد بن بشر ‌رضی ‌اللہ ‌عنہ ‌ ‌ ) گزرا ، ( اس وقت ) لوگ ( مسجد قباء میں ) صبح کی نماز میں رکوع کر رہے تھے اور ایک رکعت اس سے پہلے پڑھ چکے تھے ، اس نے آواز دی : سنو! قبلہ تبدیل کیا جا چکا ہے ۔ چنانچہ وہ جس حالت میں تھے اسی میں ( رکوع ہی کے عالم میں ) قبلے کی طرف پھر گئے ۔
hadith|527|حضرت انس ‌رضی ‌اللہ ‌عنہ ‌ ‌ سے روایت ہے کہ رسول اللہ ﷺ بیت المقدس کی طرف منہ کر کے نماز پڑھا کرتے تھے ، پھر یہ آیت : ’’ ہم آپ کا چہرہ آسمان کی طرف پھرتا ہوا دیکھ رہے ہیں ، ہم ضرور آپ کا رخ اس قبلے کی طرف پھیر دیں گے جسے آپ پسند کرتے ہیں ، لہٰذا آپ اپنا چہرہ مسجد حرام کی طرف پھیر لیجئے ۔ ‘ ‘ بنو سلمہ کا ایک آدمی ( عباد بن بشر ‌رضی ‌اللہ ‌عنہ ‌ ‌ ) گزرا ، ( اس وقت ) لوگ ( مسجد قباء میں ) صبح کی نماز میں رکوع کر رہے تھے اور ایک رکعت اس سے پہلے پڑھ چکے تھے ، اس نے آواز دی : سنو! قبلہ تبدیل کیا جا چکا ہے ۔ چنانچہ وہ جس حالت میں تھے اسی میں ( رکوع ہی کے عالم میں ) قبلے کی طرف پھر گئے ۔
chapter||The prohibition of building masajid over graves and placing images therein; and the prohibition of taking graves as masajid
hadith|528a|
hadith|528b|۔ وکیع نے کہا : ہمیں ہشام بن عروہ نے اپنے والد عروہ کے حوالے سے حضرت عائشہ رضی اللہ عنہا سے حدیث روایت کی کہ آپ کے مرض الموت میں لوگوں نے آپ کے سامنے آپس میں بات چیت کی تو ام سلمہ اور ام حبیبہ رضی اللہ عنہما نے ایک گرجے کا ذکر کیا ..... پھر اسی کے مانند بیان کیا
hadith|528c|۔ ( یحییٰ اور وکیع کے بجائے ) ابو معاویہ نے کہا : ہمیں ہشام نے اپنے والد سے ، انہوں نے حضرت عائشہ رضی اللہ عنہا سے حدیث سنائی ، انہوں نے کہا : ازواج نبی ﷺ نے ایک کنیسے کا ذکر کیا جو انہوں نے حبشہ کی سرزمین میں دیکھا تھا ، اسے ( کنیسۂ ) ماریہ کہا جاتا تھا .... ( آگے ) ان ( پہلے راویوں ) کی حدیث کی طرح ہے ۔
hadith|529|۔ ابوبکر ابی شیبہ او رعمرو ناقد نے کہا : ہم سے ہاشم بن قاسم نے حدیث بیان کی ، انہوں نے کہا : ہمیں شیبان نے ہلال بن ابی حمید سے حدیث سنائی ، انہوں نے عروہ بن زبیر سے ، انہوں نے حضرت عائشہ رضی اللہ عنہا سے روایت کی ، انہوں نے کہا : رسول اللہ ﷺ نے اپنی اس بیماری میں جس سے آپ اٹھ نہ سکے ( جاں بر نہ ہوئے ) فرمایا : ’’ اللہ تعالیٰ یہود اور نصاریٰ پر لعنت کرے! انہوں نے اپنے انبیاء کی قبروں کو مسجدیں بنا لیا ۔ ‘ ‘ حضرت عائشہ رضی اللہ عنہا نے ) کہا : اس لیے اگر یہ اندیشہ نہ ہوتا تو آپ کی قبر کو ظاہر رکھا جاتا لیکن یہ ڈر تھا کہ اسے مسجد بنا لیا جائے گا ۔ ( اس لیے اللہ کی مشیت سے وہ حجرہ مبارکہ میں بنائی گئی ۔ ) ابن ابی شیبہ کی روایت میں فلو لا کی جگہ ولو لا ( اور اگر ) کے الفاظ ہیں اور اس سے پہلے قالت ( انہوں نے کہا ) کا لفظ نہیں کہا
hadith|530a|
hadith|530b|(سعید کے بجائے ) یزید بن اصم نے حضرت ابو ہریرہ ‌رضی ‌اللہ ‌عنہ ‌ ‌ سے روایت بیان کی کہ رسول اللہ ﷺ نے فرمایا : ’’ اللہ یہود ونصاریٰ پر لعنت کرے! انہوں نے اپنے انبیاء کی قبروں کو مسجدیں بنا لیا ۔ ‘ ‘
hadith|531|۔ عبید اللہ بن عبد اللہ ( بن مسعود ) نے خبر دی کہ حضرت عائشہ اور حضرت عبد اللہ بن عباس ‌رضی ‌اللہ ‌عنہ ‌ ‌ دونوں نے کہا کہ جب رسول اللہ ﷺ پر ( وفات کے لمحے ) طاری ہوئے تو آپ اپنی ایک چادر اپنےچہرے پر ڈالتے تھے اور جب جی گھبراتا تو اسے چہرے سے ہٹا لیتے تھے ، آپ اسی حالت میں تھے کہ آپ نے فرمایا : ’’ یہود ونصاریٰ پر اللہ کی لعنت ہو! انہوں نے اپنے انبیاء کی قبروں کو مساجد بنا لیا ۔ ‘ ‘ آپ ان جیسا عمل کرنے سے ڈرا رہے تھے ۔
hadith|532|۔ حضرت جندب ‌رضی ‌اللہ ‌عنہ ‌ ‌ نے کہا : میں نے نبیﷺ کو آپ کی وفات سے پانچ دن پہلے یہ کہتے ہوئے سنا : ’’ میں اللہ تعالیٰ کے حضور اس چیز سے براءت کا اظہار کرتا ہوں کہ تم میں سے کوئی میرا خلیل ہو کیونکہ اللہ تعالیٰ نے مجھے اپنا خلیل بنا لیا ہے ، جس طرح اس نے ابراہیم علیہ السلام ‌ ‌ کو اپنا خلیل بنایا تھا ، اگر میں اپنی امت میں سے کسی کو اپنا خلیل بناتا تو ابو بکر کو خلیل بناتا ، خبردار! تم سے پہلے لوگ اپنے انبیاء اور نیک لوگوں کی قبروں کو سجدہ گاہیں بنا لیا کرتے تھے ، خبردار! تم قبروں کو سجدہ گاہیں نہ بنانا ، میں تم کو اس سے روکتا ہوں ۔ ‘ ‘
chapter||The virtue of building masajid and encouragement to do so
hadith|533a|
hadith|533b|حضرت محمود بن لبید ‌رضی ‌اللہ ‌عنہ ‌ ‌ سے روایت ہے کہ حضرت عثمان بن عفان ‌رضی ‌اللہ ‌عنہ ‌ ‌ نے مسجد نبوی کو نئے سرے سے تعمیر کرنا چاہا تو لوگوں نے اسے پسند نہ کیا ، ان کی خواہش تھی کہ وہ اسے اس کی حالت پر رہنے دیں ، اس پر حضرت عثمان ‌رضی ‌اللہ ‌عنہ ‌ ‌ نے فرمایا : میں نے رسول اللہ ﷺ کو فرماتے ہوئے سنا : ’’ جس شخص نے اللہ کی خاطر کوئی مسجد بنائی ، اللہ اس کے لیے جنت میں اس جیسا ( گھر ) تعمیر کر ے گا ۔ ‘ ‘
chapter||The recommendation to place the hands on the knees when bowing, and the abrogation of tatbiq
hadith|534a|
hadith|534b|یہ ‌روایت ‌بھی ‌ایك ‌دوسری ‌سند ‌سے ‌اسی ‌طرح ‌مروی ‌ہے ‌سوا‎ئے ‌ان ‌الفاظ ‌كے ‌وَهُوَ رَاكِعٌ ‏.‏
hadith|534c|۔ ( اعمش ےکے بجائے ) منصور ابراھیم سے اور انھوں نے علقمہ اور اسود سے روایت کی کہ وہ دونوں حضرت عبد اللہ ( بن مسعود ‌رضی ‌اللہ ‌عنہ ‌ ‌ ) کے ہاں حاضر ہوئے تو انھوں نے پوچھا : جو تمہارے پیچھے ہیں انھوں نے نماز پڑھ لی ؟دونوں نے کہا : جی ہاں ۔ پھر وہ دونوں کے درمیان کھڑے ہوئے ‘ ان میں سےایک کو اپنی دائیں طرف اور دوسرے کو اپنی بائیں طرف ( کھڑا ) کیا پھر ہم نےرکوع کیاتو ہم اپنے ہاتھ اپنے گٹھنوں پر رکھے ‘ انھو ں نے ہمارے ہاتھوں پر ( ہلکا سا ) مارا ‘ پھر اپنے دونوں ہاتھ جوڑ لیے اور ان کو اپنی رانوں کے درمیان رکھا ‘ جب نماز پڑھ چکے تو کہا : رسول اللہ ﷺ نے اسی طرح کیا ۔
hadith|535a|
hadith|535b|ابو عوانہ نے ابو یعفور سے اور انھوں نے مصعب بن سعد سے روایت کی ‘ انھوں نے کہا : میں نےاپنے والد ( سعد بن ابی وقاص ‌رضی ‌اللہ ‌عنہ ‌ ‌ ) کے پہلو میں نماز پڑھی اور اپنے دونوں ہاتھ اپنے گٹھنوں کے درمیان رکھے تو مجھے میرے والد نے کہا : اپنی دونوں ہتھیلیاں اپنے گٹھنوں پر رکھو ۔ انھوں ( مصعب ) نے کہا : میں نے دوبارہ یہی کام کیا تو انہوں میرے ہاتھوں پر مارا اور کہا : ہمیں اس سے روک دیا گیا تھا اور حکم دیا گیا تھا کہ ہم ہتھیلیاں گٹھنوں پر ٹکائیں ۔
hadith|535c|ابو احوص اورسفیان نے ابو یعفور سے مذکورہ بالاسند کے ساتھ’’ہمیں روک دیا گیا ‘ ‘ تک حدیث بیان کی ہے ‘ ان دونوں نے اس کے بعد والا جملہ بیان نہیں کیا ۔
hadith|535d|وکیع نے اسماعیل بن ابی خالد سے ‘ انھوں نے زبیر بن عدی سے اور انھوں نے مصعب بن سعد سے روایت کی ‘ کہا : میں نے رکوع کیا اور اپنے ہاتھوں کو اس طرح کر لیا ‘ یعنی ان کو جوڑکر اپنی رانوں کے درمیان رکھ لیا تو میرے والد نے مجھ سے کہا : ہم اسی طرح کیا کرتے تھے ‘ پھر ہمیں گھنٹوں ( پرہاتھ رکھنے ) کا حکم دیا گیا ۔
chapter||The permissibility of squatting on the heels
hadith|536|حضرت طاوس بیان کرتے ہیں کہ ہم نے ابن عباس رضی اللہ عنھماسےدونوں پیروں پربیٹھنے کے بارے میں پو چھا تو انھوں نے جواب دیا : یہ سنت ہے ۔ ہم نے ان سے عرض کی : ہمارا تو خیال ہے کہ یہ انسان ( یا اگر را کی زیرکے ساتھ رجل پڑھا جائے تو پاؤں ) پرزیاتی ہے ۔ ابن عباسﷺنے کہا : ( نہیں ) بلکہ یہ تمہارے بنی ﷺکی سنت ہے ۔
chapter||The prohibition of speaking during the prayer, and the abrogation of its former permissibility
hadith|537a|
hadith|537b|اوزاعی نے یحییٰ بن ابی کثیر سے اسی سند کے ساتھ اسی کے ہم معنی حدیث بیان کی ہے ۔
hadith|538a|
hadith|538b|اعمش سے ( ابن فضیل کے بجائے ) ہریم بن سفیان نے مذکورہ بالا سند کے ساتھ اسی کے مثل حدیث بیان کی
hadith|539a|
hadith|539b|(ہشیم کے بجائے ) عبداللہ بن نمیر ، وکیع اور عیسیٰ بن یونس نے اسماعیل بن ابی خالد سے اسی سند کے ساتھ اسی طرح روایت کی ۔
hadith|540a|
