collection||Virtues of the Qur'an's Chapters and Verses
hadith|48|<qbl>It was reported from ‘Ubaydullāh ibn ‘Abdullāh that ‘Umar ibn al-Khaṭṭāb asked Abu Waqid al-Laythi what the Messenger of Allah ﷺ used to recite in the (Eid) prayers of al-Adhā and al-Fitr. He said, "He used to recite Qāf wal-qur’ānil majeed (Sūrah Qāf) and Iqtarabat al-sā’atul wanshaqqal qamar (Sūrah al-Qamar).” Reference:</qbl><text>Sahih Muslim 891a, Muwatta Malik.</text>
chapter||The Messenger of Allah ﷺ used to recite it in the morning prayer.
hadith|49|<qbl>Umm Hishām bint Ḥārithah reported:</qbl><text>"I only learned Qāf. By the Glorious Quran from praying behind the Messenger of Allah (ﷺ); he used to recite it in the morning prayer.” Reference: Sunan an-Nasa'i 949</text>
chapter||The Messenger of Allah ﷺ used to recite it on Jumu’ah.
hadith|50|<qbl>'Amra daughter of ‘Abd al-Raḥmān reported on the authority of the sister of ‘Amra:</qbl><text>“I memorized (surah) "Qāf, by the glorious Qur'an" from the mouth of the Messenger of Allah (ﷺ) on Friday as he recited it on the pulpit on every Jumu’ah (Friday).” Reference: Sahih Muslim 872a</text>
hadith|51|<qbl>The daughter of Ḥārithah bin An-Nu’mān said:</qbl><text>"I memorized 'Qaf. By the Glorious Qur'an,'" from the mouth of the Messenger of Allah (ﷺ) when he was on the minbar (pulpit) on Friday." Reference: Sunan an-Nasa'i 1411</text>
chapter||Sūrat Al-Qamar
chapter||The Messenger of Allah ﷺ used to recite it in Eid prayers
hadith|52|<qbl>It was reported from ‘Ubaydullāh ibn ‘Abdullāh that ‘Umar ibn al-Khaṭṭāb asked Abu Waqid al-Laythi what the Messenger of Allah ﷺ used to recite in the (Eid) prayers of al-Adhā and al-Fitr. He said, "He used to recite Qāf wal-qur’ānil majeed (Sūrah Qāf) and Iqtarabat al-sā’atul wanshaqqal qamar (Sūrah al-Qamar). Reference:</qbl><text>Sahih Muslim 891a, Muwatta Malik.</text>
chapter||Sūrat Ar-Raḥmān
chapter||Which of your Lord’s favors do you deny?
hadith|53|<qbl>Jābir (RA) said, “The Messenger of Allah ﷺ came out to his Companions, and recited Sūrah ar-Raḥmān from its beginning to its end for them, and they were silent. Then he said, “I recited it to the jinn on the ‘night of the Jinn’ and they had a better response to it than you did. Each time I came to Allah’s saying:</qbl><text>‘Which of your Lord’s favors do you deny.’ They said, “We do not deny any of Your favors our Lord! And to You is praise.” Reference: Jami` at-Tirmidhi 3291</text>
chapter||Sūrahs Al-Jumu’ah and Al Munāfiqūn
chapter||The Messenger of Allah ﷺ recited this sūrah in Jumu’ah (Friday) prayer
hadith|54|<qbl>Ibn Abbās reported that the Messenger of Allah ﷺ would recite, in the morning prayer of Jumu’ah (Friday), Sūrat as-Sajdah in the first rakʿah, and Sūrat al-Insān in the second rakʿah, and he used to recite in Jumu’ah prayer Sūrat al-Jumu’ah and al-Munāfiqūn.” Reference:</qbl><text>Sahih Muslim 879a</text>
hadith|55|<qbl>The Prophet (ﷺ) ﷺ said, “The best day on which the sun has risen is Friday; on it, Adam was created. on it he was made to enter Paradise, on it he was expelled from it. And the last hour will take place on no day other than Friday.” Reference:</qbl><text>Sahih Muslim 854b</text>
chapter||Sūrat Al-Mulk
chapter||Protection in the grave
hadith|56|<qbl>ʿAbdullāh Ibn Masʿūd (RA) reports that the Prophet (ﷺ) ﷺ said:</qbl><text>“Sūrat Tabārak (Sūrat al-Mulk) prevents the punishment of the grave.” Reference: Ṣaḥīḥ al-Jāmi’ no. 1140, Ibn Mardawayh.</text>
chapter||This sūrah intercedes for its companion until he’s forgiven and enters paradise
hadith|57|<qbl>Abu Hurayrah reported that the Prophet (ﷺ) ﷺ said:</qbl><text>“There is a sūrah in the Qur'ān of thirty verses; it intercedes for a man until he is forgiven, and it is Sūrat Tabārak (Blessed Be He in Whose Hand is the Dominion).” Reference: Jami` at-Tirmidhi 2891</text>
hadith|58|<qbl>Anas (RA) reported that the Prophet (ﷺ) ﷺ said:</qbl><text>“There is a sūrah in the Qur'ān not more than thirty verses, it argues on behalf of its companion until it enters him into paradise; and it is (Sūrah) Tabārak.” Reference: Al-Ṭabarānī in al-Ṣaghīr 1/176, al-Awsat 1/211, and Ibn Mardawayh 6/246, and it is ḥasan li-ghayrihi. Ṣaḥīḥ al-Jāmi’ no. 3644.</text>
chapter||The Messenger of Allah ﷺ would not sleep until he recited this sūrah
hadith|59|<qbl>Jābir ibn Abdullāh reports that the Messenger of Allah ﷺ would not sleep until He had recited Sūrah as-Sajdah (32) and Sūrah al-Mulk (67). Reference:</qbl><text>Jami` at-Tirmidhi 2892, Al-Adab al-Mufrad 1209, Sunan ad-Dārimī 3316.</text>
chapter||Sūrat Al-Insān
chapter||The Messenger of Allah ﷺ would recite this sūrah in the fajr prayer of Jumu’ah
hadith|60|<qbl>Abu Hurayrah (RA) reported that the Messenger of Allah ﷺ would recite, in the morning prayer of Jumu’ah (Friday), Sūrat as-Sajdah (32) in the first rakʿah, and Sūrat al-Insān (76) in the second rakʿah. Reference:</qbl><text>Sahih Muslim 880b</text>
chapter||Sūrahs At-Takwīr, Al-Infitār, al-Inshiqāq
chapter||These suwar have vivid descriptions of the Day of Resurrection
hadith|61|<qbl>‘Abdullāh b. ‘Umar (RA) reported that the Messenger of Allah ﷺ said, “Whoever wishes to look at the Day of Resurrection, as if he is seeing it with this eye, then let him recite, “When the sun is wrapped up” (Sūrat al-Takwīr) and “When the heaven breaks apart.” (Sūrah al-Infiṭār) and “When the heaven has split” (Sūrat al-Inshiqāq). Reference:</qbl><text>Jami` at-Tirmidhi 3333</text>
chapter||Sūrat Al-A’lā
chapter||The Messenger ﷺ recited this sūrah in the witr prayer
hadith|62|<qbl>Ubayy (RA) reported:</qbl><text>"In the first rakʿah of witr (prayer), the Messenger of Allah ﷺ used to recite: “Sabbiḥ isma rabbikal-aʿlā (Sūrat al-Aʿlā), in the second, Qul yā ayyuhal kāfirūn (Sūrat al-Kāfirūn), and in the third (rakʿah), Qul huwa Allāhu aḥad (Sūrat al-Ikhlāṣ).” Reference: Sunan an-Nasa'i 1700</text>
chapter||The Messenger of Allah ﷺ recited it in Jumu’ah prayer
hadith|63|<qbl>Samurah bin Jundub reported:</qbl><text>The Messenger of Allah (ﷺ) used to recite in the Friday prayer: Sabbiḥ isma rabbikal-aʿlā (Sūrat al-Aʿlā), and Hal attaka hadeethul ghāshiyah (Sūrat al-Ghāshiyah). Reference: Sunan Abi Dawud 1125, Sunan Ibn Majah 1120.</text>
chapter||The Messenger of Allah ﷺ recited it in Jumu’ah prayer and Eid prayer
hadith|64|<qbl>It was narrated that An-Nu'mān bin Bashir said:</qbl><text>"The Messenger of Allah (ﷺ) used to recite 'Glorify the name of your Lord, the Most High' (Al-A’lā) and 'Has there come to you the narration of the overwhelming (i.e. the Day of Resurrection)?' (Al-Ghāshiyah) in the Jumu'ah prayer, and sometimes 'Eid and Jumu'ah would fall on the same day, and he would recite them in both 'Eid and Jumu'ah prayer." Reference: Sunan an-Nasa'i 1424</text>
chapter||Sūrat Al-Ghāshiyah
chapter||The Messenger ﷺ recited it in Jumu’ah prayer
hadith|65|<qbl>Samurah bin Jundub reported:</qbl><text>The Messenger of Allah (ﷺ) used to recite in the Friday prayer: Sabbiḥ isma rabbikal-aʿlā (Sūrat al-Aʿlā), and Hal attaka hadeethul ghāshiyah (Sūrat al-Ghāshiyah). Reference: Sunan Abi Dawud 1125, Sunan Ibn Majah 1120.</text>
chapter||The Messenger of Allah ﷺ recited it in Jumu’ah prayer and Eid prayer
hadith|66|<qbl>It was narrated that An-Nu'mān bin Bashir said:</qbl><text>"The Messenger of Allah (ﷺ) used to recite 'Glorify the name of your Lord, the Most High' (Al-A’lā) and 'Has there come to you the narration of the overwhelming (i.e. the Day of Resurrection)?' (Al-Ghāshiyah) in the Jumu'ah prayer, and sometimes 'Eid and Jumu'ah would fall on the same day, and he would recite them in both 'Eid and Jumu'ah prayer." Reference: Sunan an-Nasa'i 1424.</text>
chapter||Sūrat Az-Zalzalah
chapter||The Messenger would pray two rakʿahs after witr with this sūrah
hadith|67|<qbl>The Messenger of Allah ﷺ would pray two rakʿahs after witr while sitting, reciting in the two rakʿahs “Idhā zulzilat al-ardhu…” (Sūrah al-Zalzalah) and “Qul Ya Ayyuhal-Kafirun” (Sūrat al-Kāfirūn). Reference:</qbl><text>Zad al-Ma`ad 1/322\n\n<i><b>Is Sūrat al-Zalzalah equivalent to one-fourth of the Qur’an?</b></i>\nThe reports about Sūrat Al-Zalzalah being equivalent to one-fourth of the Qur’an have some weakness in them, although they are strengthened by the different variations as well as the multiple mursal reports (which are weak standalone). Ibn Khuzaymah categorized one particular attributed to Anas (RA) as saḥiḥ and al-Tirmidhī classified one narration as ḥasan, while others relied on the report of Ibn Abbās.</text>
chapter||Sūrat Al-‘Asr
chapter||Recitation upon parting from one another
hadith|68|<qbl>Abu Madīnah al-Dārimī said:</qbl><text>“When two Companions of the Prophet (ﷺ) ﷺ would meet, they would not part until they had read Sūrah al-‘Aṣr (103), and then they would give salām (and leave).” Reference: Abū Dāwūd in Al-Zuhd, no. 417; Al-Ṭabarānī ’s al-Mu'jam al-Awsat, 5/215; Sunan al-Bayhaqī, 6/501.</text>
chapter||Sūrat Al-Kāfirūn
chapter||Disavowal from Shirk (polytheism)
hadith|69|<qbl>Farwah bin Nawfal narrated from his father that he went to the Prophet (ﷺ) and said:</qbl><text>“O Messenger of Allah, teach me something that I may say when I go to my bed.” So he said: “Recite Qul yā ayyuhal kāfirūn (Sūrat al-Kāfirūn), for verily it is a disavowal from shirk. Reference: Jami` at-Tirmidhi 3403. In one report, the Prophet (ﷺ) ﷺ said: Recite Qul yā ayyuhal kāfirūn (Sūrat al-Kāfirūn) and then sleep upon completion [of its recitation], for it is a disavowal from shirk. Reference: Sunan Abi Dawud 5055.</text>
chapter||It is equivalent to one-fourth of the Qur'ān
hadith|70|<qbl>Ibn ʿAbbās reported that the Prophet (ﷺ) ﷺ said:</qbl><text>“Qul huwa Allāhu aḥad (Sūrat al-Ikhlāṣ) is equivalent to one-third of the Qur'ān, and Qul yā ayyuhal kāfirūn (Sūrat al-Kāfirūn) is equivalent to one-fourth of the Qur'ān.” Reference: Al-Silsilah al-Ṣaḥīḥah 586.</text>
chapter||The Messenger of Allah ﷺ recited this sūrah in the two rakʿahs before fajr prayer and the two rakʿahs after maghrib prayer
hadith|71|<qbl>Abu Hurayrah reported that the Messenger of Allah ﷺ recited in the two (optional) rakʿahs of fajr:</qbl><text>Qul yā ayyuhal kāfirūn (Sūrat al-Kāfirūn), and Qul huwa Allāhu aḥad (Sūrat al-Ikhlāṣ). Reference: Sahih Muslim 726.</text>
hadith|72|<qbl>Abdullah bin Masʿūd narrated:</qbl><text>"I cannot count how many times I heard Allah's Messenger (ﷺ) reciting in the two rakʿahs after Maghrib and the two rakʿahs before Salat al-Fajr: Qul yā ayyuhal kāfirūn (Sūrat al-Kāfirūn), and Qul huwa Allāhu aḥad (Sūrat al-Ikhlāṣ).” Reference: Jami` at-Tirmidhi 431.</text>
hadith|73|<qbl>Abu Hurayrah also reported that the Messenger of Allah ﷺ recited in the two rakʿahs before fajr prayer:</qbl><text>Qul yā ayyuhal kāfiroon and Qul huwa Allāhu aḥad. Reference: Sunan an-Nasa'i 945.</text>
chapter||The Messenger ﷺ recited it in the prayer after completing ṭawāf (circumambulation of the Kaʿbah)
hadith|74|<qbl>Jābir reported:</qbl><text>“During the two rakʿahs of ṭawāf, the Messenger of Allah ﷺ recited the two suwar: Qul yā ayyuhal kāfirūn (Sūrat al-Kāfirūn), and Qul huwa Allāhu aḥad (Sūrat al-Ikhlāṣ).” Reference: Jami` at-Tirmidhi 869.</text>
chapter||The Messenger ﷺ recited this sūrah in the witr prayer
hadith|75|<qbl>Ubayy reported:</qbl><text>"In the first rakʿah of witr (prayer), the Messenger of Allah ﷺ used to recite: “Sabbiḥ isma rabbikal-aʿlā (Sūrat al-Aʿlā), in the second, Qul yā ayyuhal kāfirūn (Sūrat al-Kāfirūn), and in the third (rakʿah), Qul huwa Allāhu aḥad (Sūrat al-Ikhlāṣ).” Reference: Sunan an-Nasa'i 1699.</text>
chapter||Sūrat Al-Ikhlāṣ
chapter||This sūrah is equivalent to one-third of the Qur'ān
hadith|76|<qbl>The Prophet (ﷺ) ﷺ asked:</qbl><text>“Is any one of you unable to recite one-third of the Qur'ān in one night? They said: How could anyone read one-third of the Qur'ān (in one night)? He said: Qul huwa Allāhu aḥad (Sūrat al-Ikhlāṣ) is equivalent to one-third of the Qur'ān.” Reference: Sahih Muslim 811a.</text>
hadith|77|<qbl>Narrated Abu Sa’id Al-Khudrī, “A man heard another man reciting (Sūrah Al-Ikhlāṣ) ‘Say He is Allah, (the) One.’ repeatedly. The next morning, he came to Allah’s Messenger ﷺ and informed him about it as if he thought that it was not enough to recite. On that Allah’s Messenger ﷺ said, “By Him in Whose Hand my life is, this Sūrah is equal to one-third of the Qur’an!” Reference:</qbl><text>Sahih al-Bukhari 5013.</text>
hadith|78|<qbl>This hadith has been narrated by Qatada with the same chain of transmitters in these words:</qbl><text>He (the Messenger of Allah) said: Allah divided the Qur'an into three parts, and he made:" Say: He, Allah is One." one part out of the (three) parts of the Qur'an.” Reference: Sahih Muslim 811b.</text>
hadith|79|<qbl>It is reported on the authority of Abu Hurayrah that the Messenger of Allah (ﷺ) said:</qbl><text>Gather, for I am going to recite one-third of the Qur'an before you. And those who could get together gathered there. Then the Messenger of Allah (ﷺ) came out and recited:" Say: He, Allah, is One." He then entered (his house). Some of us said to the others: Perhaps there has been some news from the heaven on account of which he has gone Inside (the house). The Messenger of Allah (ﷺ) again came out and said: I told you that I was going to recite one-third of the Qur'in; keep in mind, this (Sūrah Ikhlāṣ) is equivalent to one-third of the Qur'an. Reference: Sahih Muslim 812a.</text>
chapter||The love of this sūrah leads to paradise
hadith|80|<qbl>Anas mentioned that a man said to the Prophet (ﷺ) ﷺ, ‘I really love this sūrah’. The Prophet (ﷺ) replied, ‘And your love for it will enable you to enter paradise’. Reference:</qbl><text>Jami` at-Tirmidhi 2901.</text>
hadith|81|<qbl>Abu Hurayrah reported:</qbl><text>"I went out with the Messenger of Allah and heard a man reciting Qul Huwa Allahu Ahad [Sūrah Al-Ikhlāṣ] so the Messenger of Allah (ﷺ) said: 'It is obligatory.' I said: 'What is obligatory?' He said: 'Paradise (is obligatory as a reward for the man).'" Reference: Jami` at-Tirmidhi 2897.</text>
hadith|82|<qbl>'A'ishah reported:</qbl><text>The Messenger of Allah (ﷺ) sent a man in charge of an expedition and he would recite for his Companions during their prayer, ending (recitation) with:" Say, He is God, One." When they returned mention was made of it to the Messenger of Allah (ﷺ). He (the Prophet) told them to ask him why he had done like that. So they asked him and he said: Verily, it is an attribute of the Compassionate One, and (for this reason) I love to recite it. The Messenger of Allah (ﷺ) thereupon said: “Inform him that Allah loves him.” Reference: Sahih Muslim 813.</text>
chapter||The Messenger ﷺ recited it in the prayer after completing ṭawāf (circumambulation of the Kaʿbah)
hadith|83|<qbl>Jābir reported:</qbl><text>“During the two rakʿahs of ṭawāf, the Messenger of Allah ﷺ recited the two suwar: Qul yā ayyuhal kāfirūn (Sūrat al-Kāfirūn), and Qul huwa Allāhu aḥad (Sūrat al-Ikhlāṣ).” Reference: Jami` at-Tirmidhi 869.</text>
chapter||The Messenger ﷺ recited this sūrah in the witr prayer
hadith|84|<qbl>Ubayy reported:</qbl><text>"In the first rakʿah of witr (prayer), the Messenger of Allah ﷺ used to recite: “Sabbiḥ isma rabbikal-aʿlā (Sūrat al-Aʿlā), in the second, Qul yā ayyuhal kāfirūn (Sūrat al-Kāfirūn), and in the third (rakʿah), Qul huwa Allāhu aḥad (Sūrat al-Ikhlāṣ).” Reference: Sunan an-Nasa'i 1700.</text>
chapter||The Messenger of Allah ﷺ recited this sūrah in the two rakʿahs before fajr prayer and the two rakʿahs after maghrib prayer
hadith|85|<qbl>Abu Hurayrah reported that the Messenger of Allah ﷺ recited in the two (optional) rakʿahs of fajr:</qbl><text>Qul yā ayyuhal kāfirūn (Sūrat al-Kāfirūn), and Qul huwa Allāhu aḥad (Sūrat al-Ikhlāṣ). Reference: Sahih Muslim 726.</text>
chapter||The Messenger ﷺ recited the three chapters before sleeping
hadith|86|<qbl>It was narrated from ʿĀ’ishah that when the Prophet (ﷺ) ﷺ went to bed every night, he would hold his hands together and blow into them, and recite into them (by cupping his hands together) the last three chapters of the Qur'ān. Then he would wipe them over whatever he could of his body, starting with his head and face and the front of his body, and he would do that three times. Reference:</qbl><text>Sahih al-Bukhari 5017.</text>
chapter||The Messenger ﷺ commanded their recitation in the morning and evening
hadith|87|<qbl>Mu’ādh bin `Abdullah bin Khubayb narrated from his father, who said:</qbl><text>“We went out on a rainy and extremely dark night, looking for the Messenger of Allah (ﷺ), so that he could lead us in Salat.” He said: “So I met him and he (ﷺ) said: ‘Speak’ but I did not say anything. Then he (ﷺ) said: ‘Speak.’ But I did not say anything. He (ﷺ) said: ‘Speak.’ So I said: ‘What should I say?’ He (ﷺ) said: ‘Say: “Say: He is Allah, the One (Sūrat al-Ikhlāṣ)” and Al-Mu`awwidhatayn (Al-Falaq, an-Nās), in the evening, and in the morning, three times, and they will suffice you against everything.’” Reference: Jami` at-Tirmidhi 3575.</text>
chapter||Sūrahs Al-Falaq and Al-Nās (al-Mu’awwidhatān)
chapter||The Messenger ﷺ would recite these suwar for healing from sickness
hadith|88|<qbl>A’isha (RA) reported that whenever the Prophet (ﷺ) ﷺ became sick, he would recite the Mu’awwidhāt (Sūrat Al-Falaq and Sūrat An-Nās) and then blow his breath over his body. When he became seriously ill, I used to recite (these two suwar) and rub his hands over his body hoping for its blessings. Reference:</qbl><text>Sahih al-Bukhari 5016.</text>
chapter||The Messenger ﷺ commanded their recitation after prayer
hadith|89|<qbl>Uqbah ibn Amir reported:</qbl><text>“The Messenger of Allah (ﷺ) commanded me to recite the Mu'awwidhaat after every prayer.” Reference: Sunan Abi Dawud 1523, Sunan an-Nasa'i 1336.</text>
chapter||The likes of which had never been seen
hadith|90|<qbl>Uqbah bin Amir reported:</qbl><text>The Messenger of Allah ﷺ said to me: There have been sent down to me verses the like of which had never been seen before. (They are): "Qul a’oodhu birabbil Falaq (Surat al-Falaq)”, and “Qul a’oodhu birabbin-naas (Surat al-Nās).” Reference: Sahih Muslim 814a.</text>
hadith|91|<qbl>‘Uqbah Ibn ‘Amir reported:</qbl><text>"I followed the Messenger of Allah (ﷺ) when he was riding, and I placed my hand on his foot and said : O Messenger of Allah, teach me Sūrah Hud and Sūrah Yusuf. He said: 'You will never recite anything greater (for refuge) before Allah than: "Qul a’oodhu birabbil falaq (Surat al-Falaq)”, and “Qul a’oodhu birabbin-naas (Surat al-Nās).” Reference: Sunan an-Nasa'i 953, also collected in Sunan Al-Dārimī, no. 3343.</text>
chapter||The Messenger ﷺ utilized them for protection
hadith|92|<qbl>Abu Sa’īd reported:</qbl><text>“The Messenger of Allah ﷺ used to seek refuge from the jinn as well as from the evil eye until al-mu’awwidhataan (Sūrah al Falaq and Al-Nās) were revealed. When they were sent down, he utilized them and left other things.” Reference: Jami` at-Tirmidhi 2058.</text>
hadith|93|<qbl>Abu 'Abdullah narrated that Ibn 'Aabis Al-Juhani told him that:</qbl><text>The Messenger of Allah ﷺ said: "O Ibn 'Aabis, shall I not tell you of the best thing with which those who seek refuge with Allah may do so?" He said: "Yes, O Messenger of Allah." He said: "Say: I seek refuge with (Allah) the Lord of the daybreak.", "Say: I seek refuge with (Allah) the Lord of mankind." - these two Surahs." Reference: Sunan an-Nasa'i 5432.</text>
