collection||المستدرك على الصحيحين
hadith|2809|أخبرنا أبو عبد الله محمد بن عبد الله الصفار حدثنا إسماعيل بن إسحاق القاضي حدثنا سليمان بن حرب حدثنا حماد بن زيد عن أيوب عن أبي قلابة عن أبي أسماء الرحبي عن ثوبان رضي الله عنه قال قال رسول الله صلى الله عليه وسلم * أيما امرأة سألت زوجها الطلاق من غير بأس حرم الله عليها أن تريح رائحة الجنة هذا حديث صحيح على شرط الشيخين ولم يخرجاه
hadith|2810|أخبرنا أبو العباس محمد بن أحمد المحبوبي بمرو حدثنا سعيد بن مسعود حدثنا عبيد الله بن موسى أنبأ إسرائيل عن سماك عن عكرمة عن بن عباس رضي الله عنهما قال * أسلمت امرأة على عهد رسول الله صلى الله عليه وسلم فتزوجت فجاء زوجها إلى رسول الله صلى الله عليه وسلم فقال أني قد أسلمت معها وعلمت بإسلامي معها فنزعها رسول الله صلى الله عليه وسلم من زوجها الآخر وردها إلى زوجها الأول هذا حديث صحيح الإسناد ولم يخرجاه وهو من النوع الذي أقول أن البخاري احتج بعكرمة ومسلم بسماك
hadith|2811|أخبرنا عبد الله بن الحسين القاضي حدثنا الحارث بن أسامة حدثنا يزيد بن هارون عن محمد بن إسحاق عن داود بن الحصين عن عكرمة عن بن عباس رضي الله عنهما قال * رد النبي صلى الله عليه وسلم ابنته زينب على زوجها أبي العاص بن الربيع بالنكاح الأول ولم يحدث شيئا
hadith|2812|أخبرني أحمد أبو بكر بن محمد بن حمدان الصيرفي بمرو حدثنا أبو إسماعيل محمد بن إسماعيل حدثنا سعيد بن أبي مريم أنبأ يحيى بن أيوب حدثني بن الهاد حدثني عمرو بن عبد الله بن عروة بن الزبير عن عروة بن الزبير عن عائشة زوج النبي صلى الله عليه وسلم * أن رسول الله صلى الله عليه وسلم لما قدم المدينة خرجت ابنته زينب من مكة مع كنانة أو بن كنانة فخرجوا في أثرها فأدركها هبار بن الأسود فلم يزل يطعن بعيرها برمحه حتى صرعها وألقت ما في بطنها وأهريقت دما فاشتجر فيها بنو هاشم وبنو أمية فقالت بنو أمية نحن أحق بها وكانت تحت بن عمهم أبي العاص فكانت عند هند بنت عتبة بن ربيعة فكانت تقول لها هند هذا بسبب أبيك فقال رسول الله صلى الله عليه وسلم لزيد بن حارثة ألا تنطلق تجيئني بزينب قال بلى يا رسول الله قال فخذ خاتمي فأعطاه إياه فانطلق زيد وبرك بعيره فلم يزل يتلطف حتى لقي راعيا فقال لمن ترعى فقال لأبي العاص فقال فلمن هذه الأغنام قال لزينب بنت محمد فسار معه شيئا ثم قال له هل لك أن أعطيك شيئا تعطيه إياها ولا تذكره لأحد قال نعم فأعطاه الخاتم فانطلق الراعي فأدخل غنمه وأعطاها الخاتم فعرفته فقالت من أعطاك هذا قال رجل قالت فأين تركته قال بمكان كذا وكذا قال فسكتت حتى إذا كان الليل خرجت إليه فلما جاءته قال لها اركبي بين يدي على بعيره قالت لا ولكن أركب أنت بين يدي فركب وركبت وراءه حتى أتت فكان رسول الله صلى الله عليه وسلم يقول هي أفضل بناتي أصيبت في فبلغ ذلك علي بن الحسين فانطلق إلى عروة فقال ما حديث بلغني عنك تحدثه تنتقص فيه حق فاطمة فقال والله ما أحب أن لي ما بين المشرق والمغرب وإني أنتقص فاطمة حقا هو لها وأما بعد فلك أن لا أحدث به أبدا قال عروة وإنما كان هذا قبل نزول آية ادعوهم لآبائهم هو أقسط عند الله هذا حديث صحيح على شرط الشيخين ولم يخرجاه
hadith|2813|أخبرنا أبو بكر أحمد بن كامل بن خلف القاضي حدثنا أحمد بن الوليد النحام حدثنا الحسين بن محمد المروزي حدثنا جرير بن حازم عن أيوب عن عكرمة عن بن عباس رضي الله عنهما قال * لما قذف هلال بن أمية امرأته قيل له والله ليجلدنك رسول الله صلى الله عليه وسلم ثمانين جلدة قال الله أعدل من ذلك أن يضربني ثمانين جلدة وقد علم أني رأيت حتى استيقنت وسمعت حتى استثبت لا والله لا يضربني أبدا فنزلت آية الملاعنة فدعا بهما رسول الله صلى الله عليه وسلم حين نزلت الآية فقال الله يعلم أن أحدكما كاذب فهل منكما تائب فقال هلال والله أني لصادق فقال احلف بالله الذي لا إله إلا هو أني لصادق يقول ذلك أربع مرات فإن كنت كاذبا فعلي لعنة الله فقال رسول الله صلى الله عليه وسلم قفوه عند الخامسة فإنها موجبة فحلفت ثم قالت أربعا والله الذي لا إله إلا هو إنه لمن الكاذبين وإن كان صادقا فعليها غضب الله فقال رسول الله صلى الله عليه وسلم قفوها عند الخامسة فإنها موجبة فرددت وهمت بالاعتراف ثم قالت لا أفضح قومي فقال رسول الله صلى الله عليه وسلم إن جاءت به أكحل أدعج سابغ الإليتين ألف الفخذين حدلج الساقين فهو للذي رميت به وإن جاءت به أصفر قصفا سبطا فهو لهلال بن أمية فجاءت به على الصفة البغي قال أيوب وقال محمد بن سيرين كان الرجل الذي بلغها هلال بن أمية شريك بن سحماء وكان أخا البراء بن مالك أخي أنس بن مالك لأمه وكانت أمه سوداء وكان شريك يأوي إلى منزل هلال ويكون عنده هذا حديث صحيح على شرط البخاري ولم يخرجاه بهذه السياقة إنما أخرجا حديث هشام بن حسان عن عكرمة مختصرا
hadith|2814|حدثنا أبو العباس محمد بن يعقوب أنبأ الربيع بن سليمان أنبأ الشافعي أنبأ عبد العزيز بن محمد عن يزيد بن الهاد عن عبد الله بن يونس أنه سمع المقبري يحدث قال حدثني أبو هريرة رضي الله عنه أنه سمع النبي صلى الله عليه وسلم يقول * لما نزلت آية الملاعنة قال النبي صلى الله عليه وسلم أيما امرأة أدخلت على قوم من ليس منهم فليست من الله في شيء ولن يدخلها الله جنته وأيما رجل جحد ولده وهو ينظر إليه احتجب الله منه وفضحه على رؤوس الخلائق من الأولين والآخرين هذا حديث صحيح على شرط مسلم ولم يخرجاه
hadith|2815|أخبرنا أبو الفضل الحسن بن يعقوب بن يوسف العدل حدثنا يحيى بن أبي طالب أنبأ يزيد بن هارون أنبأ محمد بن إسحاق عن محمد بن عمرو بن عطاء عن سليمان بن يسار عن سلمة بن صخر الأنصاري رضي الله عنه قال * كنت امرأ قد أوتيت من جماع النساء ما لم يؤت غيري فلما دخل رمضان ظاهرت من امرأتي مخافة أن أصيب منها شيئا في بعض الليل وأتتابع من ذلك ولا أستطيع أن أنزع حتى يدركني الصبح فبينما هي ذات ليلة تخدمني إذا انكشف لي منها شيء فوثبت عليها فلما أصبحت غدوت على قومي فأخبرتهم خبري فقلت انطلقوا معي إلى رسول الله صلى الله عليه وسلم فقالوا لا والله لا نذهب معك نخاف أن ينزل فينا قرآن ويقول فينا رسول الله صلى الله عليه وسلم مقالة يبقى علينا عارها فاذهب أنت فاصنع ما بدا لك فأتيت رسول الله صلى الله عليه وسلم فأخبرته خبري فقال أنت ذاك فقلت أنا ذاك فاقض في حكم الله فإني صابر محتسب قال أعتق رقبة فضربت صفحة عنق رقبتي بيدي فقلت والذي بعثك بالحق ما أصبحت أملك غيرها قال صم شهرين متتابعين فقلت يا رسول الله وهل أصابني ما أصابني إلا في الصيام قال فأطعم ستين مسكينا قلت يا رسول الله والذي بعثك بالحق لقد بتنا ليلتنا هذه وحشا ما نجد عشاء قال انطلق إلى صاحب الصدقة صدقة بني زريق فليدفعها إليك فأطعم منها وسقا ستين مسكينا واستعن بسائرها على عيالك فأتيت قومي فقلت وجدت عندكم الضيق هذا حديث صحيح على شرط مسلم ولم يخرجاه وله شاهد من حديث يحيى بن أبي كثير عن أبي سلمة بن عبد الرحمن غير أنه قال سلمان بن صخر
hadith|2816|حدثناه أبو بكر بن إسحاق الفقيه أنبأ هشام بن علي حدثنا عبد الله بن رجاء حدثنا حرب بن شداد عن يحيى بن أبي كثير عن أبي سلمة بن عبد الرحمن ومحمد بن عبد الرحمن بن ثوبان * أن سلمان بن صخر الأنصاري رضي الله عنه جعل امرأته عليه كظهر أمه ثم ذكر الحديث بنحو منه هذا إسناد صحيح على شرط الشيخين ولم يخرجاه
hadith|2817|أخبرنا أبو أحمد بكر بن محمد الصيرفي بمرو حدثنا عبد الصمد بن الفضل البلخي حدثنا حفص بن عمر العدني حدثنا الحكم بن أبان عن عكرمة عن بن عباس رضي الله عنهما * أن رجلا أتى النبي صلى الله عليه وسلم وقد ظاهر من امرأته فوقع عليها فقال يا رسول الله أني ظاهرت من امرأتي فوقعت عليها من قبل أن أكفر قال وما حملك على ذلك يرحمك الله قال رأيت خلخالها في ضوء القمر قال فلا تقربها حتى تفعل ما أمر الله تعالى شاهده حديث إسماعيل بن مسلم عن عمرو بن دينار ولم يحتج الشيخان بإسماعيل ولا بالحكم بن أبان إلا أن الحكم بن أبان صدوق
hadith|2818|حدثنا أبو الوليد الفقيه أنبأ الحسن بن سفيان حدثنا عمار بن خالد ومحمد بن معاوية قالا حدثنا علي بن هشام حدثنا إسماعيل بن مسلم عن عمرو بن دينار عن طاوس عن بن عباس رضي الله عنهما * أن رجلا ظاهر من امرأته فرأى خلخالها في ضوء القمر فأعجبه فوقع عليها فأتى النبي صلى الله عليه وسلم فذكر ذلك له فقال قال الله عز وجل من قبل أن يتماسا فقال قد كان ذلك فقال رسول الله صلى الله عليه وسلم أمسك حتى تكفر
hadith|2819|حدثنا أبو العباس محمد بن يعقوب ثنا محمد بن سنان القزاز حدثنا أبو بكر الحنفي حدثنا بن أبي ذئب حدثنا عطاء حدثني جابر رضي الله عنه قال سمعت النبي صلى الله عليه وسلم يقول * لا طلاق لمن لم يملك ولا عتاق لمن لم يملك هذا حديث صحيح على شرط الشيخين ولم يخرجاه وشاهده الحديث المشهور في الباب عن عمرو بن شعيب عن أبيه عن جده
hadith|2820|حدثناه علي بن حمشاد العدل حدثنا إسماعيل بن إسحاق القاضي حدثنا مسلم بن إبراهيم حدثنا حسين المعلم عن عمرو بن شعيب عن أبيه عن جده وحدثنا علي حدثنا علي بن عبد العزيز حدثنا عمرو بن عون حدثنا هشيم حدثنا عامر الأحول عن عمرو بن شعيب عن أبيه عن جده رضي الله عنه قال قال رسول الله صلى الله عليه وسلم * لا طلاق قبل النكاح وفي حديث هشيم لا نذر لابن آدم فيما لا يملك ولا طلاق فيما لا يملك ولا عتاق فيما لا يملك
hadith|2821|أخبرني أبو العباس محمد بن أحمد المحبوبي بمرو حدثنا الفضل بن عبد الجبار حدثنا علي بن الحسين عن شقيق أنبأ الحسين بن واقد وأبو حمزة جميعا عن يزيد النحوي عن عكرمة عن بن عباس رضي الله عنهما قال * ما قالها بن مسعود وإن يكن قالها فزلة من عالم في الرجل يقول إن تزوجت فلانة فهي طالق قال الله عز وجل يا أيها الذين آمنوا إذا نكحتم المؤمنات ثم طلقتموهن ولم يقل إذا طلقتم المؤمنات ثم نكحتموهن هذا حديث صحيح الإسناد ولم يخرجاه
hadith|2822|حدثنا أبو النضر محمد بن محمد بن يوسف الفقيه حدثنا أبو بكر محمد بن محمد سليمان الواسطي حدثنا أبو عاصم حدثنا بن جريج عن مظاهر بن أسلم عن القاسم عن عائشة رضي الله عنها عن النبي صلى الله عليه وسلم قال * طلاق الأمة تطليقتان وقرؤها حيضتان قال أبو عاصم فذكرته لمظاهر بن أسلم فقلت حدثني كما حدثت بن جريج فحدثني مظاهر عن القاسم عن عائشة رضي الله عنها عن النبي صلى الله عليه وسلم قال طلاق الأمة تطليقتان وقرؤها حيضتان مثل ما حدثه مظاهر بن أسلم شيخ من أهل البصرة لم يذكره أحد من متقدمي مشايخنا بجرح فإذا الحديث صحيح ولم يخرجاه وقد روي عن بن عباس رضي الله عنهما حديث يعارضه
hadith|2823|أخبرناه الشيخ أبو بكر بن إسحاق أنبأ أبو المثنى حدثنا مسدد حدثنا يحيى بن سعيد حدثنا علي بن المبارك حدثني يحيى بن أبي كثير أن عمر بن معتب أخبره أن أبا حسن مولى بني نوفل أخبره * أنه استفتى بن عباس في مملوك كانت تحته مملوكة فطلقها تطليقتين ثم اعتقا بعد ذلك هل يصلح له أن يخطبها قال نعم قضى بذلك رسول الله صلى الله عليه وسلم
hadith|2824|أخبرنا أبو عبد الله محمد بن عبد الله الأصبهاني حدثنا إسماعيل بن إسحاق القاضي حدثنا سليمان بن حرب حدثنا حماد بن زيد قال قلت لأيوب هل تعلم أحدا يقول بقول الحسن في أمرك بيدك أنه ثلاث فقال لا إلا شيء حدثنا به قتادة عن كثير مولى عبد الرحمن بن سمرة عن أبي سلمة عن أبي هريرة رضي الله عنه عن النبي صلى الله عليه وسلم * بنحوه قال أيوب فقدم علينا كثير فسأله فقال ما حدثت بهذا قط فذكرته لقتادة فقال بلى ولكن قد نسي هذا حديث غريب صحيح من حديث أيوب السختياني وقد ذكرت في باب النكاح بغير ولي أسامي جماعة من ثقات المحدثين من الصحابة والتابعين وأتباعهم حدثوا بالحديث ثم نسوه
hadith|2825|أخبرني عبد الصمد بن علي البزاز ببغداد حدثنا جعفر بن محمد بن أبي عثمان الطيالسي حدثنا علي بن بحر بن بري حدثنا هشام بن يوسف عن معمر عن عمرو بن مسلم عن عكرمة عن بن عباس رضي الله عنهما * أن امرأة ثابت بن قيس اختلعت منه فجعل النبي صلى الله عليه وسلم عدتها حيضة هذا حديث صحيح الإسناد غير أن عبد الرزاق أرسله عن معمر
hadith|2826|حدثناه أبو بكر بن إسحاق أنبأ أحمد بن سلمة حدثنا إسحاق بن إبراهيم أنبأ عبد الرزاق عن معمر عن عمرو بن مسلم عن عكرمة * أن امرأة ثابت بن قيس اختلعت منه فجعل النبي صلى الله عليه وسلم عدتها حيضة
hadith|2827|حدثنا أبو العباس محمد بن يعقوب حدثنا العباس محمد بن حاتم حدثنا عبيد الله بن عبد المجيد الحنفي حدثنا عبيد الله بن عبد الرحمن بن موهب عن القاسم عن عائشة رضي الله عنها * أنها أرادت أن تعتق مملوكين زوج فسألت النبي صلى الله عليه وسلم فأمرها أن تبدأ بالرجل قبل المرأة هذا حديث صحيح على شرط الشيخين ولم يخرجاه
hadith|2828|أخبرنا أبو بكر بن إسحاق أنبأ الحسن بن علي بن زياد حدثنا إبراهيم بن موسى حدثنا عيسى بن يونس حدثنا عبد الحميد بن جعفر حدثني أبي حدثني رافع بن سنان رضي الله عنه * أنه أسلم وأبت امرأته أن تسلم فأتت النبي صلى الله عليه وسلم فقالت ابنتي فطيم وقال رافع ابنتي فقال النبي صلى الله عليه وسلم لرافع أقعد ناحية وقال لامرأته أقعدي ناحية فقال وأقعد الصبية بينهما ثم قال ادعواها فمالت الصبية إلى أمها فقال النبي صلى الله عليه وسلم اللهم اهدها فمالت إلى أبيها فأخذها هذا حديث صحيح الإسناد ولم يخرجاه
hadith|2829|حدثنا أبو بكر أحمد بن إسحاق الفقيه أنبأ أبو المثنى حدثنا مسدد حدثنا يحيى القطان عن الأجلح عن الشعبي عن عبد الله بن الخليل عن زيد بن أرقم رضي الله عنه قال * كنت جالسا عند النبي صلى الله عليه وسلم إذ جاءه رجل من أهل اليمن فقال إن ثلاثة من أهل اليمن أتوا عليا رضي الله عنه يختصمون إليه في ولد وقعوا على امرأة في طهر واحد فقال للاثنين منهما طيبا بالولد لهذا فقالا لا ثم قال للإثنين طيبا بالولد لهذا فقالا لا ثم قال للاثنين طيبا بالولد لهذا فقالا لا ثم قال أنتم شركاء متشاكسون أني مقرع بينكم فمن قرع فله الولد وعليه لصاحبيه ثلثا الدية فأقرع بينهم فجعله لمن قرع فضحك رسول الله صلى الله عليه وسلم حتى بدت أضراسه أو قال نواجذه قد اتفق الشيخان على ترك الاحتجاج بالأجلح بن عبد الله الكندي وإنما نقما عليه حديثا واحدا لعبد الله بن بريدة وقد تابعه على ذلك الحديث ثلاثة من الثقات فهذا الحديث إذا صحيح ولم يخرجاه
hadith|2830|أخبرني أحمد بن محمد العنزي حدثنا عثمان بن سعيد الدارمي حدثنا محمود بن خالد الدمشقي حدثنا الوليد بن مسلم حدثني أبو عمرو الأوزاعي حدثني عمرو بن شعيب عن أبيه عن جده عبد الله بن عمرو رضي الله عنه * أن امرأة قالت يا رسول الله ابني هذا كان بطني له وعاء وثديي له سقاء وحجري له حواء وأن أباه طلقني وأراد أن ينتزعه عني قال لها رسول الله صلى الله عليه وسلم أنت أحق به ما لم تنكحي هذا حديث صحيح الإسناد ولم يخرجاه
hadith|2831|أخبرنا أحمد بن جعفر القطيعي حدثنا عبد الله بن أحمد بن حنبل حدثني أبي حدثنا يحيى بن سعيد عن بن جريج أخبرني أبو الزبير عن جابر رضي الله عنه قال * طلقت خالتي ثلاثا فخرجت تجذ نخلا لها فلقيها رجل فنهاها فأتت النبي صلى الله عليه وسلم فذكرت ذلك له فقال النبي صلى الله عليه وسلم اخرجي فجذي لعلك أن تصدقي منه أو تفعلي خيرا هذا حديث صحيح على شرط مسلم ولم يخرجاه
hadith|2832|أخبرنا الحسين بن الحسن بن أيوب حدثنا أبو حاتم محمد بن إدريس حدثنا أبو النعمان محمد بن الفضل وسليمان بن حرب قالا حدثنا حماد بن زيد حدثنا إسحاق بن سعد بن كعب بن عجرة حدثتني زينب بنت كعب عن فريعة بنت مالك * أن زوجها خرج في طلب أعلاج له فقتل بطرف القدوم قال حماد وهو موضع ماء قالت فأتيت النبي صلى الله عليه وسلم فذكرت ذلك له من حالي وذكرت له النقلة إلى إخوتي قالت فرخص لي فلما جاوزت ناداني فقال أمكثي في بيتك حتى يبلغ الكتاب أجله
hadith|2833|حدثناه أبو عبد الله محمد بن يعقوب الشيباني حدثنا إبراهيم بن عبد الله السعدي أنبأ يزيد بن هارون أنبأ يحيى بن سعيد أن سعد بن إسحاق بن كعب بن عجرة أخبره أن عمته زينب بنت كعب بن عجرة أخبرته أنها سمعت فريعة بنت مالك أخت أبي سعيد الخدري قالت * خرج زوجي في طلب أعبد له فأدركهم بطرف القدوم فقتلوه فأتاني نعيه وأنا في دار شاسعة من دور أهلي فأتيت رسول الله صلى الله عليه وسلم فقلت أنه أتاني نعي زوجي وأنا في دار شاسعة من دور أهلي ولم يدع لي نفقة ولا مالا وليس المسكن لي ولو تحولت إلى إخوتي وأهلي كان أرفق بي في بعض شأني فقال تحولي فلما خرجت إلى المسجد أو الحجرة دعاني أو أمر بي فدعيت له فقال أمكثي في البيت الذي أتاك فيه نعي زوجك حتى يبلغ الكتاب أجله فاعتدت فيه أربعة أشهر وعشرا قالت فأرسل عثمان بن عفان إلي فأتيته فحدثته فأخذ به هذا حديث صحيح الإسناد من الوجهين جميعا ولم يخرجاه رواه مالك بن أنس في الموطأ عن سعد بن إسحاق بن كعب بن عجرة قال محمد بن يحيى الذهلي هذا حديث صحيح محفوظ وهما اثنان سعد بن إسحاق كعب وهو أشهرهما وإسحاق بن سعد بن كعب وقد روى عنهما جميعا يحيى بن سعيد الأنصاري فقد ارتفعت عنهما جميعا الجهالة
hadith|2834|أخبرني أبو جعفر أحمد بن أحمد الفقيه ببخارى من أصل كتابه حدثنا أبو علي صالح بن محمد بن حبيب الحافظ حدثنا علي بن حكيم الأودي حدثنا شريك عن إبراهيم بن مهاجر عن مصعب بن عامر عن عائشة رضي الله عنها أنها قالت * طلقت امرأة فمكثت ثلاثا وعشرين ليلة فوضعت حملها ثم أتت النبي صلى الله عليه وسلم فذكرت ذلك له فقال لها تزوجي هذا حديث صحيح على شرط مسلم ولم يخرجاه
hadith|2835|حدثنا الحاكم أبو عبد الله محمد بن عبد الله الحافظ إملاء في ذي القعدة سنة ثمان وتسعين وثلاث مائة أنبأ أبو جعفر محمد بن محمد بن عبد الله البغدادي قال حدثنا هاشم بن يونس العصار بمصر حدثنا علي بن معبد حدثنا أبو المليح الرقي حدثني عبد الملك بن أبي القاسم عن أم كلثوم بنت عقبة * أنها كانت تحت الزبير بن العوام فكرهته وكان شديدا على النساء فقالت للزبير يا أبا عبد الله روحني بتطليقة قالت وذلك حين وجدت الطلق قال وما ينفعك أن أطلقك تطليقة واحدة ثم أراجعك قالت أني أجدني أستروح إلى ذلك قال فطلقها تطليقة واحدة ثم خرج فقالت لجاريتها أغلقي الأبواب قال فوضعت جارية فقال فأتى الزبير فبشر بها فقال مكرت بي ابنة أبي معيط ثم خرج إلى رسول الله صلى الله عليه وسلم فذكر ذلك له فأبانها منه هذا حديث غريب صحيح الإسناد وأبو المليح وإن لم يخرجاه فغير متهم بالوضع فإنه إمام أهل الجزيرة في عصره وأم كلثوم هي ابنة عقبة بن أبي معيط وهي التي يروي عنها ابنها حميد بن عبد الرحمن عن رسول الله صلى الله عليه وسلم ليس بالكذاب الذي يصلح بين الناس
hadith|2836|حدثني علي بن عيسى بن إبراهيم الحيري حدثنا محمد بن عمرو بن النضر الجرشي حدثنا عبد الله بن أبي سلمة حدثني عبد الأعلى بن عبد الأعلى حدثنا سعيد عن مطر عن رجاء بن حيوة عن قبيصة بن أبي ذؤيب عن عمرو بن العاص رضي الله عنه قال * لا تلبسوا علينا سنة نبينا محمد صلى الله عليه وسلم في أم الولد إذا توفي عنها سيدها عدتها أربعة أشهر وعشرا هذا حديث صحيح على شرط الشيخين ولم يخرجاه
hadith|2837|حدثنا أبو العباس محمد بن يعقوب حدثنا الربيع بن سليمان حدثنا بشر بن بكر التنيسي حدثنا عبد الرحمن بن يزيد بن جابر عن سليم بن عامر الكلاعي حدثني أبو أمامة الباهلي رضي الله عنه قال سمعت رسول الله صلى الله عليه وسلم يقول * بينا أنا نائم إذ أتاني رجلان فأخذا بضبعي فأتيا بي جبلا وعرا فقالا لي اصعد فقلت أني لا أطيق فقالا إنا سنسهله لك فصعدت حتى كنت في سواء الجبل إذا أنا بأصوات شديدة قلت ما هذه الأصوات قالوا هذا هو عواء أهل النار ثم انطلق بي فإذا بقوم معلقين بعراقيبهم مشققة أشداقهم تسيل أشداقهم دما فقلت ما هؤلاء قال هؤلاء الذين يفطرون قبل تحلة صومهم ثم انطلقا بي فإذا بقوم أشد شيء انتفاخا وأنتنه ريحا وأسوأه منظرا فقلت من هؤلاء قال هؤلاء الزانون والزواني ثم انطلق بي فإذا أنا بنساء تنهش ثديهن الحيات فقلت ما بال هؤلاء فقال هؤلاء اللواتي يمنعن أولادهن ألبانهن ثم انطلق بي فإذا بغلمان يلعبون بين نهرين فقلت من هؤلاء قال هؤلاء ذراري المؤمنين ثم شرف لي شرف فإذا أنا بثلاثة نفر يشربون من خمر لهم قلت من هؤلاء قال هؤلاء جعفر بن أبي طالب وزيد بن حارثة وعبد الله بن رواحة ثم شرف لي شرف آخر فإذا أنا بثلاثة نفر قلت من هؤلاء قال إبراهيم وموسى وعيسى عليهم السلام ينتظرونك هذا حديث صحيح على شرط مسلم ولم يخرجاه وقد احتج البخاري بجميع رواته غير سليم بن عامر وقد احتج به مسلم
hadith|2838|أخبرنا أبو الفضل الحسن بن يعقوب بن يوسف العدل حدثنا يحيى بن أبي طالب حدثنا زيد بن الحباب حدثني أبو ثابت زيد بن إسحاق بن إسماعيل بن محمد بن ثابت بن قيس بن شماس حدثني إسماعيل بن محمد بن ثابت بن قيس بن شماس عن أبيه محمد * أن أباه ثابت بن قيس فارق جميلة بنت عبد الله بن أبي وهي حاملة بمحمد فلما ولدته حلفت أن لا تلبنه من لبنها فدعا به رسول الله صلى الله عليه وسلم فبزق في فيه وحنكه بتمرة عجوة وسماه محمدا وقال اختلف به فإن الله رازقه فأتيته اليوم الأول والثاني والثالث فإذا امرأة من العرب تسأل عن ثابت بن قيس فقلت ما تريدين منه أنا ثابت فقالت أريت في منامي هذه كأني أرضع ابنا له يقال له محمد فقال فأنا ثابت وهذا ابني محمد قال وإذ درعها يتعصر من لبنها هذا حديث صحيح الإسناد ولم يخرجاه
hadith|2839|أخبرني أبو سعيد أحمد بن يعقوب الثقفي حدثنا الحسن بن المثنى العنبري حدثنا مسعود حدثنا شبل بن عباد عن بن أبي نجيح قال قال عطاء قال بن عباس رضي الله عنه * نسخت هذه الآية عدتها عند أهلها فتعتد حيث شاءت وهو قوله تعالى غير إخراج قال عطاء إن شاءت أعتدت عند أهلها وسكنت في وصيتها وإن شاءت خرجت لقول الله تعالى فلا جناح عليكم فيما فعلن قال عطاء ثم جاء الميراث فنسخ السكنى فتعتد حيث شاءت هذا حديث صحيح على شرط البخاري ولم يخرجاه
hadith|2840|أخبرنا أبو بكر إسماعيل بن محمد الفقيه بالري حدثنا محمد بن الفرج الأزرق حدثنا حجاج بن محمد قال وأخبرني بن جريج حدثنا أبو الزبير أنه سمع جابر بن عبد الله يقول * جاء مسكين لبعض الأنصار فقال إن سيدي يكرهني على البغاء فنزل في ذلك ولا تكرهوا فتياتكم على البغاء هذا حديث صحيح على شرط مسلم ولم يخرجاه هذا آخر كتاب الطلاق وأول كتاب العتق
book||25 كتاب العتق
hadith|2841|حدثنا أبو العباس محمد بن يعقوب حدثنا أبو بكرة بكار بن قتيبة القاضي بمصر ثنا أبوداود الطيالسي حدثنا هشام بن عبد الله عن قتادة عن الحسن عن قيس الجذامي عن عقبة بن عامر قال قال رسول الله صلى الله عليه وسلم * من أعتق رقبة فك الله بكل عضو من أعضائه عضوا من أعضائه من النار هذا حديث صحيح الإسناد ولم يخرجاه وله شاهد عن أبي موسى الأشعري وواثلة بن الأسقع أما حديث أبي موسى
hadith|2842|فحدثناه علي بن حمشاد العدل عن إبراهيم بن الحسين بن ديزيل حدثنا آدم بن أبي إياس العسقلاني وعبد الله بن الزبير الحميدي وإبراهيم بن بشار الرمادي قالوا حدثنا سفيان بن عيينة حدثني شيخ من أهل الكوفة يقال له شعبة قال كنا عند أبي بردة بن أبي موسى ومعه بنوه فقال ألا أحدثكم بحديث حدثني به أبي قالوا بلى يا أبت فحدثنا قال حدثني أبي أنه سمع رسول الله صلى الله عليه وسلم يقول * من أعتق رقبة أو عبدا كانت فكاكه من النار عضوا بعضو وأما حديث واثلة
hadith|2843|فحدثناه أبو العباس محمد بن يعقوب حدثنا أبو عتبة أحمد بن الفرج حدثنا ضمرة بن ربيعة حدثنا إبراهيم بن أبي عبلة عن العريف بن الديلمي قال * أتينا واثلة بن الأسقع رضي الله عنه فقلنا حدثنا حديثا سمعته من رسول الله صلى الله عليه وسلم ليس فيه زيادة ولا نقصان فغضب وقال إن مصحف أحدكم معلق في بيته وهو يزيد وينقص قال فقلنا ليس هذا أردنا أردنا أن تحدثنا حديثا سمعته من رسول الله صلى الله عليه وسلم قال أتينا رسول الله صلى الله عليه وسلم في صاحب لنا قد أوجب يعني النار فقال أعتقوا عنه يعتق الله بكل عضو منه عضوا منه من النار عريف هذا لقب لعبد الله بن الديلمي
hadith|2844|حدثنا بصحة ما ذكرته أبو إسحاق إبراهيم بن فراس الفقيه حدثنا بكر بن سهيل الدمياطي حدثنا عبد الله بن يوسف التنيسي حدثنا عبد الله بن سالم حدثني إبراهيم بن أبي عبلة قال * كنت جالسا بأريحاء فمر بي واثلة بن الأسقع متوكئا على عبد الله بن الديلمي فأجلسه ثم جاء إلي فقال عجب ما حدثني هذا الشيخ يعني واثلة قلت ما حدثك فقال حدثني كنت جالسا مع رسول الله صلى الله عليه وسلم في غزوة تبوك فأتاه نفر من بني سليم فقالوا يا رسول الله إن صاحبنا قد أوجب قال رسول الله صلى الله عليه وسلم أعتقوا عنه يعتق الله بكل عضو منها عضوا منه من النار فصار حديث واثلة بهذه الروايات صحيحا على شرط الشيخين وقد أخرج مسلم من حديث أبي هريرة لفظه في عتق امرئ مسلم امرأ مسلما
hadith|2845|حدثنا أبو العباس محمد بن يعقوب حدثنا بحر بن نصر بن سابق الخولاني حدثنا أيوب بن سويد حدثنا إبراهيم بن أبي عبلة عن عبد الأعلى بن الديلمي عن واثلة بن الأسقع سمع رسول الله صلى الله عليه وسلم يقول * من أعتق مسلما كان فكاكه من النار بكل عضو من هذا عضوا من هذا عبد الأعلى هذا أيضا هو عبد الله بن الديلمي بلا شك فيه كما قلناه في عريف
