collection||Sahih al Bukhari
chapter||No animal may be milked without the permission of its owner
hadith|2435|Сообщается от ‘Абдуллаха ибн ‘Умара, да будет доволен Аллах им и его отцом, что Посланник Аллаха ﷺ сказал: «Пусть никто из вас не доит скотину другого без разрешения (владельца). Разве кому-нибудь из вас понравится, если кто-то придёт в место, в котором он хранит свои запасы, сломает хранилище и унесёт оттуда его продукты? Вымя их животных хранит для них запасы еды, поэтому пусть никто из вас не доит скотину другого без разрешения (владельца)!»
chapter||If the owner of lost property comes back after a year
hadith|2436|Сообщается со слов Зейда ибн Халида аль-Джухани, да будет доволен им Аллах, что как-то раз один человек спросил Посланника Аллаха ﷺ о (том, что следует делать с) найденным, он ответил: «Объявляй о находке (людям) в течение года, затем узнай, как выглядит то, в чём находилось найденное и то, чем было перевязано найденное, затем можешь пользоваться ею, и если придёт её хозяин, то отдай ему её». Он спросил: «О Посланник Аллаха, а (что делать с) заблудившимися овцами?» Пророк ﷺ ответил: «Возьми их себе, ведь либо они достанутся тебе, либо твоему брату, либо волку». Этот человек спросил: «О Посланник Аллаха, а что делать с заблудившимися верблюдами?» Тогда Посланник Аллаха ﷺ разгневался так, что его лицо покраснело, и он ответил: «Что тебе до них? Ведь у них есть копыта и вода, (достаточная до тех пор), пока хозяин не найдёт их»
chapter||Should one pick up a fallen thing?
hadith|2437|Сообщается, что Сувайд ибн Гъафаля сказал: «Я участвовал в военном походе вместе с Сальманом ибн Раби‘а и Зейдом ибн Суханом и нашёл плеть. Они сказали мне: “Брось её!” Я сказал: “Нет, если найдётся владелец, я отдам её ему, а в противном случае сам буду пользоваться ей”. Вернувшись мы совершили хадж и, проезжая через Медину, я спросил об этом Убайя ибн Ка‘ба, да будет доволен им Аллах, и он сказал: “Однажды при жизни Пророка ﷺ я нашёл кошелёк с сотней динаров и принёс его к Пророку ﷺ, который сказал: “Объявляй об этом в течение года”. И я объявлял об этом целый год, [но не нашёл никого, кто узнал бы его], а потом снова принёс его к Пророку ﷺ. Он сказал мне: “Объявляй об этом год”. И я объявлял об этом год, [но так и не нашёл никого, кто узнал бы его], после чего принёс его к Пророку ﷺ, и он сказал мне: “Объявляй об этом год”. И я объявлял об этом год, а потом пришёл к Пророку ﷺ в четвёртый раз, и он сказал мне: “Узнай число монет, завязку от кошелька и сам кошелёк, и если его хозяин придёт, (верни ему кошелёк,) а если нет, то можешь пользоваться этими деньгами”». Шу‘ба сказал: «Я встретил Саляму (передатчик этого хадиса) в Мекке, и он сказал: “И я не знаю, сколько раз он сказал: “Объявляй об этом” — три или же один”»
hadith|2437b|
chapter||Whoever announced the Luqata in public
hadith|2438|Сообщается со слов Зейда ибн Халида, да будет доволен им Аллах, что как-то раз один бедуин спросил Пророка ﷺ о (том, что следует делать с) найденным, он ответил: «Объявляй о находке (людям) в течение года, и если придёт тот, кто (правильно) опишет то, в чём находилось найденное и то, чем оно было перевязано, то верни ему её, а если нет, то можешь расходовать из этого». Затем он спросил его о заблудившихся верблюдах, тогда лицо Пророка ﷺ покраснело (от гнева), и он ответил: «Что тебе до них? Ведь у них есть вода и копыта. Они приходят к воде и объедают листья с деревьев, оставь их пока хозяин не найдёт их». Тогда он спросил о заблудившихся овцах. Пророк ﷺ ответил: «Они достанутся тебе, или твоему брату, или волку»
chapter||باب
hadith|2439|Сообщается, что Абу Бакр, да будет доволен Аллах им и его отцом, сказал: «Я отправился и по дороге увидел пастуха, который гнал своих овец. Я спросил его: “Кому ты принадлежишь?” Он ответил: “Одному человеку из курайшитов”. Он назвал его имя, и я узнал его. Я спросил: “У твоих овец есть молоко?” Он сказал: “Да”. Я спросил: “Ты подоишь их для меня?” Он ответил: “Да”. Я приказал ему, и он связал ноги одной из овец. Затем я велел ему очистить вымя (соски) от пыли, затем я велел ему стряхнуть пыль с ладоней. Он стряхнул пыль с ладоней, ударив одну о другую, и надоил немного молока. У меня был с собой бурдюк, в котором была вода для Посланника Аллаха ﷺ, я прикрыл его горлышко куском ткани. И я налил воду из этого бурдюка в молоко, чтобы оно остыло. Придя к Пророку ﷺ, я сказал: “Пей, о Посланник Аллаха!” И он пил его до тех пор, пока я не был доволен»
book||Oppressions
chapter||Retaliation (on the Day of Judgement)
chapter_intro||وَالْغَصْبِ وَقَوْلِ اللَّهِ تَعَالَى وَلَا تَحْسَبَنَّ اللَّهَ غَافِلًا عَمَّا يَعْمَلُ الظَّالِمُونَ إِنَّمَا يُؤَخِّرُهُمْ لِيَوْمٍ تَشْخَصُ فِيهِ الْأَبْصَارُ مُهْطِعِينَ مُقْنِعِي رُءُوسِهِمْ رَافِعِي الْمُقْنِعُ وَالْمُقْمِحُ وَاحِدٌ وَقَالَ مُجَاهِدٌ مُهْطِعِينَ مُدِيمِي النَّظَرِ وَيُقَالُ مُسْرِعِينَ لَا يَرْتَدُّ إِلَيْهِمْ طَرْفُهُمْ وَأَفْئِدَتُهُمْ هَوَاءٌ يَعْنِي جُوفًا لَا عُقُولَ لَهُمْ وَأَنْذِرْ النَّاسَ يَوْمَ يَأْتِيهِمْ الْعَذَابُ فَيَقُولُ الَّذِينَ ظَلَمُوا رَبَّنَا أَخِّرْنَا إِلَى أَجَلٍ قَرِيبٍ نُجِبْ دَعْوَتَكَ وَنَتَّبِعْ الرُّسُلَ أَوَلَمْ تَكُونُوا أَقْسَمْتُمْ مِنْ قَبْلُ مَا لَكُمْ مِنْ زَوَالٍ وَسَكَنْتُمْ فِي مَسَاكِنِ الَّذِينَ ظَلَمُوا أَنْفُسَهُمْ وَتَبَيَّنَ لَكُمْ كَيْفَ فَعَلْنَا بِهِمْ وَضَرَبْنَا لَكُمْ الْأَمْثَالَ وَقَدْ مَكَرُوا مَكْرَهُمْ وَعِنْدَ اللَّهِ مَكْرُهُمْ وَإِنْ كَانَ مَكْرُهُمْ لِتَزُولَ مِنْهُ الْجِبَالُ فَلَا تَحْسِبَنَّ اللَّهَ مُخْلِفَ وَعْدِهِ رُسُلَهُ إِنَّ اللَّهَ عَزِيزٌ ذُو انْتِقَامٍ
hadith|2440|Передают со слов Абу Са‘ида аль-Худри, да будет доволен им Аллах, что Посланник Аллаха ﷺ сказал: «Когда верующие спасутся от огня, они будут остановлены на мосту между раем и адом, где (люди) взыщут друг с друга за те несправедливости, которым (они подвергались) в этом мире; когда же они будут очищены и избавлены (от грехов), им позволят войти в рай, и клянусь Тем, в Чьей длани душа Мухаммада, каждый из них найдёт своё жилище в раю легче, чем он находил свой дом в мире этом!»
chapter||The Statement of Allah Taa'la: "... No doubt! The curse of Allah is on the Zalimun."
hadith|2441|Передают со слов Ибн ‘Умар, да будет доволен Аллах ими обоими, что он слышал, как Посланник Аллаха ﷺ сказал:\n— Поистине, Аллах приблизит к Себе верующего, и окажет ему Свою милость, и укроет его, и (станет) спрашивать: «Признаёшь ли ты(, что совершил) такой-то грех? Признаёшь ли ты(, что совершил) такой-то грех?» — а он будет говорить: «Да, о Господь мой!» Когда же (Аллах) заставит его признать (все) его грехи, и (верующий) посчитает, что он уже погиб, (Аллах) скажет: «Я покрыл (твои грехи) в земной жизни и Я прощу их тебе сегодня!» — а потом ему будет вручена книга (с записями) его добрых дел. Что же касается неверного и лицемеров, то свидетели (их дел) скажут: «“Это те, которые возводили ложь на своего Господа!” Поистине, проклятие Аллаха (лежит) на несправедливых!»
chapter||A Muslim should not oppress another Muslim
hadith|2442|Передают со слов Ибн ‘Умара, да будет доволен Аллах ими обоими, что Посланник Аллаха ﷺ сказал: «Мусульманин мусульманину брат, и он (не должен) ни притеснять, ни предавать его. Тому, кто (поможет) своему брату в нужде его, Аллах (поможет) в его собственной нужде, того, кто избавит мусульманина от печали, Аллах избавит от одной из печалей Дня воскресения, а (грехи) того, кто покроет (грехи) мусульманина, Аллах покроет в День воскресения»
chapter||Help your brother
hadith|2443|Сообщается от Анаса ибн Малика, да будет доволен им Аллах, что Посланник Аллаха ﷺ сказал: «Помогай брату своему (независимо от того), притеснителем он является или притесняемым!»
hadith|2444|Передают со слов Анаса, да будет доволен им Аллах, что (однажды) Посланник Аллаха ﷺ сказал: «Помогай своему брату (независимо от того,) притеснителем он является или притесняемым». (Люди) сказали: «О Посланник Аллаха(, будет правильно, если) мы станем помогать притесняемому, но как же мы (можем) помочь притеснителю?!» (Пророк ﷺ) сказал: «Хватая его за руки»
chapter||To help the oppressed
hadith|2445|Сообщается, что аль-Бара ибн ‘Азиб, да будет доволен им Аллах, сказал: «Пророк ﷺ велел нам делать семь (вещей) и запретил нам семь (других)». Затем он упомянул следующее: «(Он велел) навещать больного, провожать погребальные носилки, произносить благопожелание чихнувшему, отвечать на приветствие, помогать притесняемому, принимать приглашения, способствовать выполнению клятвы того, кто её даёт»
hadith|2446|Сообщается от Абу Мусы, да будет доволен им Аллах, что Пророк ﷺ сказал: «Верующий по отношению к другому верующему подобны строению, отдельные части которого укрепляют друг друга». (Сказав это,) он переплёл между собой пальцы рук
chapter||To retaliate upon an oppressor
chapter_intro||لِقَوْلِهِ جَلَّ ذِكْرُهُ: {لاَ يُحِبُّ اللَّهُ الْجَهْرَ بِالسُّوءِ مِنَ الْقَوْلِ إِلاَّ مَنْ ظُلِمَ وَكَانَ اللَّهُ سَمِيعًا عَلِيمًا}. {وَالَّذِينَ إِذَا أَصَابَهُمُ الْبَغْيُ هُمْ يَنْتَصِرُونَ}. قَالَ إِبْرَاهِيمُ كَانُوا يَكْرَهُونَ أَنْ يُسْتَذَلُّوا، فَإِذَا قَدَرُوا عَفَوْا.
chapter||Forgiveness granted by the oppressed person
chapter_intro||لِقَوْلِهِ تَعَالَى: {إِنْ تُبْدُوا خَيْرًا أَوْ تُخْفُوهُ أَوْ تَعْفُوا عَنْ سُوءٍ فَإِنَّ اللَّهَ كَانَ عَفُوًّا قَدِيرًا}، {وَجَزَاءُ سَيِّئَةٍ سَيِّئَةٌ مِثْلُهَا فَمَنْ عَفَا وَأَصْلَحَ فَأَجْرُهُ عَلَى اللَّهِ إِنَّهُ لاَ يُحِبُّ الظَّالِمِينَ وَلَمَنِ انْتَصَرَ بَعْدَ ظُلْمِهِ فَأُولَئِكَ مَا عَلَيْهِمْ مِنْ سَبِيلٍ إِنَّمَا السَّبِيلُ عَلَى الَّذِينَ يَظْلِمُونَ النَّاسَ وَيَبْغُونَ فِي الأَرْضِ بِغَيْرِ الْحَقِّ أُولَئِكَ لَهُمْ عَذَابٌ أَلِيمٌ وَلَمَنْ صَبَرَ وَغَفَرَ إِنَّ ذَلِكَ لَمِنْ عَزْمِ الأُمُورِ}، {وَتَرَى الظَّالِمِينَ لَمَّا رَأَوُا الْعَذَابَ يَقُولُونَ هَلْ إِلَى مَرَدٍّ مِنْ سَبِيلٍ}.
chapter||Az-Zulm (oppression) will be a darkness
hadith|2447|Передают со слов Ибн ‘Умара, да будет доволен Аллах ими обоими, что Пророк ﷺ сказал: «В День воскресения притеснение (обернётся густым) мраком»
chapter||The curse of the oppressed
hadith|2448|Сообщается от Ибн ‘Аббаса, да будет доволен Аллах им и его отцом, что, отправляя Му‘аза в Йемен, Пророк ﷺ сказал ему: «Остерегайся мольбы притеснённого, ибо между ней и Аллахом нет преграды»
chapter||If the oppressed on forgives the oppressor
hadith|2449|Передают со слов Абу Хурайры, да будет доволен им Аллах, что Посланник Аллаха ﷺ сказал: «Пусть допустивший (такую) несправедливость по отношению к своему брату, которая затронула его честь или что-нибудь ещё, освободится от этого сегодня, прежде чем исчезнут динары и дирхемы, (ибо тогда,) если будут у него (в запасе) благие дела, их заберут у него в соответствии (с тяжестью нанесённой) им обиды, а если добрых дел у него не окажется, будет взято (что-нибудь) из дурных дел обиженного и возложено на него»
chapter||If the oppressed person forgives the oppressor, he has no right to back out
hadith|2450|Сообщается, что ‘Аиша, да будет доволен ею Аллах, сказала относительно аята: «“Если женщина опасается, что муж будет проявлять к ней неприязнь или отворачиваться от неё…” (сура “ан-Ниса”, аят 128) — мужчина перестал испытывать потребность в своей жене и хочет развести её, и она говорит: “Я отказываюсь от своих прав”. По этому поводу был ниспослан этот аят»
chapter||If a person allows another to have his right
hadith|2451|Сообщается от Сахля ибн Са‘да ас-Са‘идия, да будет доволен им Аллах, что (однажды) Посланнику Аллаха ﷺ принесли чашу, и он отпил из неё. (В это время) справа от него сидел мальчик, а слева от него (сидели) старцы, и Пророк ﷺ сказал (этому мальчику): “Позволишь ли ты мне передать это старцам?” Мальчик ответил: “Нет, клянусь Аллахом, о Посланник Аллаха! Я никому не уступлю того, что досталось мне от тебя!” — и Посланник Аллаха ﷺ передал (чашу) ему в руки»
chapter||The sin of him who usurps the land of others
hadith|2452|Сообщается, что Са‘ид бин Зейд, да будет доволен им Аллах, сказал: «Я слышал, как Посланник Аллаха ﷺ сказал: “(В День воскресения) вокруг шеи присвоившего себе часть (чужой) земли обовьётся (собранное) с семи земель”»
hadith|2453|Сообщается, что Абу Саляма рассказал, что у него был спор с людьми (из-за земли). Когда он рассказал об этом ‘Аише, да будет доволен ею Аллах, она сказала: «О Абу Саляма! Избегай (того, чтобы брать незаконно чужую) землю, ведь Пророк ﷺ сказал: «(В День воскресения) вокруг шеи того, кто несправедливо присвоит себе хотя бы пядь земли, обернут все семь земель»
hadith|2454|Передают со слов Салима, что его отец (‘Абдуллах ибн ‘Умар), да будет доволен им Аллах, сказал: «Пророк ﷺ сказал: “Тот, кто захватит часть (чужой) земли без права на это, в День воскрешения будет ввергнут в (глубины) семи земель”»
chapter||If somebody allows another to do something
hadith|2455|Сообщается, что Джабаля, да помилует его Аллах Всевышний, сказал: «(Однажды, когда) мы с некоторыми жителями Ирака находились в Медине, выдался голодный год, и Ибн аз-Зубайр снабжал нас финиками, что же касается Ибн ‘Умара, да будет доволен Аллах ими обоими, то, проходя мимо нас, он говорил: “Поистине, Посланник Аллаха ﷺ запрещал брать по два финика сразу, если только (любой) из вас не спросит на это разрешения у своего брата”»
hadith|2456|Сообщается, что Абу Мас‘уд сказал: «Однажды один человек из ансаров, которого звали Абу Шу‘айб, сказал своему рабу-мяснику: “Приготовь мне еды, которой будет достаточно для пятерых, ведь я хочу пригласить Пророка ﷺ и ещё четыре человека”. Абу Шу‘айб увидел признаки голода на его лице Пророка ﷺ и пригласил его, но за ними последовал ещё один человек, которого он не приглашал. Пророк ﷺ сказал (Абу Шу‘айбу): “Этот человек последовал за нами, ты позволишь ему (войти)?” (Абу Шу‘айб) ответил: “Да”»
chapter||The Statement of Allah Taa'la: "Yet he is the most quarrelsome of the opponents..."
hadith|2457|Передают со слов ‘Аиши, да будет доволен ею Аллах, что Пророк ﷺ сказал: «Поистине, самым ненавистным из людей для Аллаха является непримиримый в спорах»
chapter||The sin of a man who quarrels unjustly
hadith|2458|Передают со слов жены Пророка ﷺ Умм Саламы, да будет доволен ею Аллах, что однажды Посланник Аллаха ﷺ услышал (шум) спора у дверей своей комнаты, вышел к (спорившим) и сказал: «Поистине, я — только человек, а (люди) приходят ко мне (со своими) спорами. И может оказаться так, что кто-нибудь из вас будет более красноречив, чем другой, и я посчитаю, что он сказал правду, и вынесу решение в его пользу на основании этого. Однако если я (по ошибке) решу отдать ему то, что по праву принадлежит (другому) мусульманину, это будет не чем иным, как частью (пламени) ада, так пусть он (сам) возьмёт это или откажется от этого»
chapter||The person who behaves impudently
hadith|2459|Передают со слов Абдуллаха бин Амра бин аль-Аса, да будет доволен Аллах ими обоими, что Пророк ﷺ сказал: \n— Отличающийся четырьмя (качествами) является лицемером (в полном смысле этого слова), а тот, кому присуще хотя бы одно из этих качеств, будет обладать одним из качеств лицемерия до тех пор, пока не избавится от него. (Подобные качества присущи тому,) кто лжёт, когда рассказывает (о чём-либо), предаёт, когда ему доверяются, поступает вероломно, заключив договор, и действует незаконно в случае возникновения расхождений с кем-либо
chapter||The retaliation of the oppressed person
chapter_intro||وَقَالَ ابْنُ سِيرِينَ يُقَاصُّهُ وَقَرَأَ: {وَإِنْ عَاقَبْتُمْ فَعَاقِبُوا بِمِثْلِ مَا عُوقِبْتُمْ بِهِ}.
hadith|2460|Сообщается, что ‘Аиша, да будет доволен ею Аллах, сказала: «Как-то раз пришла Хинд бинт ‘Утба ибн Раби‘а и сказала: “О Посланник Аллаха! Поистине, Абу Суфйан — человек скупой, так будет ли грехом, если я стану кормить нашу семью из того, что принадлежит ему?” Он сказал ей: “Нет греха на тебе в том, что ты будешь кормить их сообразно обычаю”»
hadith|2461|Сообщается, что ‘Укба бин ‘Амир, да будет доволен им Аллах, сказал: «(Однажды) мы сказали (Пророку ﷺ): “О Посланник Аллаха, ты посылаешь нас, а мы останавливаемся у людей, не оказывающих нам (гостеприимства). Что ты об этом скажешь?” (В ответ) Посланник Аллаха ﷺ сказал: “Если остановитесь у кого-либо и будет велено (принимать вас), как положено (принимать гостя), то примите это, если же они этого не сделают, сами берите с них то, что полагается гостю”»
chapter||About sheds
chapter_intro||وَجَلَسَ النَّبِيُّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ وَأَصْحَابُهُ فِي سَقِيفَةِ بَنِي سَاعِدَةَ.
hadith|2462|Сообщается, что ‘Умар, да будет доволен им Аллах, сказал: «Когда Аллах умертвил Своего Пророка ﷺ, ансары собрались под навесом племени бану са‘ида. Я сказал Абу Бакру: “Пойдём с нами”. И мы пришли к ним (то есть к ансарам) под навес племени бану са‘ида»
chapter||Not to prevent a neighbour from fixing a peg
hadith|2463|Передают со слов Абу Хурайры, да будет доволен им Аллах, что Посланник Аллаха ﷺ сказал: «Не препятствуйте своему соседу забить доску на его стену [то есть пристроить ­что-нибудь со своей стороны к уже готовому общему забору или стене]». Затем Абу Хурайра сказал: «Что с вами? Я вижу, что вы отворачиваетесь [от этой Сунны или вам не нравится этот хадис]? Клянусь Аллахом, я брошу её [Сунну или, по мнению других, доску, которую они запрещали забить] между вашими плечами»
chapter||Spilling wine on the way
hadith|2464|Сообщается, что Анас, да будет доволен им Аллах, сказал: «Я поил людей (вином) в доме Абу Тальхи. В то время их вином был “аль-фадых” (вино из недозрелых фиников). Тут Посланник Аллаха ﷺ приказал глашатаю провозгласить: “Поистине, вино было запрещено!” Тогда Абу Тальха сказал мне: “Выйди и вылей его!” Я вышел и вылил его (вино), и оно потекло по улочкам Медины. Тогда некоторые люди сказали: “А ведь были люди, которые были убиты, когда оно находилось в их животах”. Тогда Аллах ниспослал аят: “На тех, которые уверовали и совершают праведные деяния, нет греха за то, чем они питались…” (сура “аль-Маида”, аят 93)»
chapter||Open courtyards of houses and sitting on the ways
chapter_intro||وَقَالَتْ عَائِشَةُ فَابْتَنَى أَبُو بَكْرٍ مَسْجِدًا بِفِنَاءِ دَارِهِ، يُصَلِّي فِيهِ، وَيَقْرَأُ الْقُرْآنَ فَيَتَقَصَّفُ عَلَيْهِ نِسَاءُ الْمُشْرِكِينَ وَأَبْنَاؤُهُمْ، يَعْجَبُونَ مِنْهُ، وَالنَّبِيُّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ يَوْمَئِذٍ بِمَكَّةَ.
hadith|2465|Передают со слов Абу Са‘ида аль-Худри, да будет доволен им Аллах, что (однажды) Пророк ﷺ сказал: «Ни в коем случае не следует вам сидеть на дорогах!» Люди сказали: «Но мы обязательно должны (делать это), ведь только там мы (можем) собраться и побеседовать (друг с другом)!» Тогда Пророк ﷺ сказал: «Если уж вам непременно нужно собираться (там, то по крайней мере) воздавайте дороге должное!» (Люди) спросили: «А что значит воздавать должное дороге?» Он ответил: «(Это значит) потуплять взоры, (никому) не причинять вреда, отвечать на приветствия, побуждать к одобряемому и удерживать от порицаемого»
chapter||The digging of wells on the ways
hadith|2466|Сообщается от Абу Хурайры, да будет доволен им Аллах, что Пророк ﷺ сказал: «Как-то раз одного человека, шедшего (своей дорогой), стала мучить сильная жажда, и он обнаружил (по пути) колодец. Он спустился в него и напился оттуда, а когда выбрался наружу, увидел перед собой собаку, которая высунула язык и облизывала от жажды влажную землю. (При виде этого) человек сказал себе: “Эта собака испытывает такую же жажду, которую испытывал я”. После чего он спустился в колодец, наполнил водой свой кожаный носок и напоил собаку. Аллах отблагодарил его (за это) и простил ему (грехи)». (Люди) спросили: «О Посланник Аллаха, разве нам полагается награда и за животных?» — на что он ответил: «Награда полагается за каждого обладателя сырой печени (за всё живое)»
chapter||To remove harmful things from the roads
chapter_intro||وَقَالَ هَمَّامٌ عَنْ أَبِي هُرَيْرَةَ رَضِيَ اللَّهُ عَنْهُ عَنِ النَّبِيِّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ: «يُمِيطُ الأَذَى عَنِ الطَّرِيقِ صَدَقَةٌ».
chapter||Looking or not looking upon other houses
hadith|2467|Сообщается, что Усама, да будет доволен им Аллах, сказал: «(Однажды) Пророк ﷺ, поднявшийся на одну из башен Медины, сказал: “Видите ли вы то, что вижу я? Поистине, я вижу, что места смут и бедствий среди ваших домов будут столь же (многочисленны), как и следы от капель (дождя)!”»
hadith|2468|Сообщается, что ‘Абдуллах ибн ‘Аббас, да будет доволен Аллах им и его отцом, сказал: «Я очень хотел спросить ‘Умара о тех двух жёнах Пророка ﷺ, которым Аллах сказал (в Коране): “Если вы обе раскаетесь перед Аллахом, то ведь ваши сердца уже уклонились в сторону” (сура “ат-Тахрим”, аят 4). Я совершил хадж вместе с ним, и (на обратном пути) он отошёл в сторону, и я отошёл вместе с ним, взяв с собой бурдюк (с водой). Справив нужду, он вернулся, я полил ему на руки (воду) из бурдюка, и он совершил омовение. Я сказал: “О повелитель правоверных, кто были теми двумя жёнами Пророка ﷺ, которым Великий и Могучий Аллах сказал: “Если вы обе раскаетесь перед Аллахом, то ведь ваши сердца уже уклонились в сторону”?” Он ответил: “Удивляюсь тебе, о Ибн ‘Аббас! Это ‘Аиша и Хафса”. Затем он (‘Умар) начал свой рассказ, сказав: “(Одно время) мы с моим соседом из числа ансаров, который принадлежал к (роду) бану умайа ибн зейд, жившим в верхней части Медины, по очереди спускались к Пророку ﷺ, сменяя друг друга через день. Когда была моя очередь, я приносил ему вести обо всём, что произошло за день, обо всех приказах и прочих событиях. Когда наступала его очередь, он делал то же самое. Мы, курайшиты обычно имели власть над женщинами, но когда мы прибыли к ансарам, то обнаружил, что их женщины имеют над ними власть, и наши женщины стали перенимать поведение женщин ансаров. Так однажды я прикрикнул на свою жену, а она начала пререкаться со мной. Мне не понравилось это, но она сказала: “Почему тебе не нравится то, что я пререкаюсь с тобой? Клянусь Аллахом, жёны Пророка ﷺ тоже пререкаются с ним, а некоторые из них не разговаривают с ним с утра до вечера”. Меня испугали её слова, и я сказал: “Ту, которая поступает так, ожидает великое разочарование!” Затем я оделся, зашёл к Хафсе и сказал: “О Хафса, кто-то из вас гневит Посланника Аллаха ﷺ с утра до вечера?” Она ответила: “Да”. Я сказал: “Да потерпит она неудачу и убыток! Разве она не боится, что Аллах не разгневается на неё из-за того, что она вызвала гнев Его посланника ﷺ, и тогда она погибнет!? Не проси много у Посланника Аллаха ﷺ, не перечь ему ни в чём, не избегай его, и если тебе что-нибудь хочется, то попроси об этом меня. И пусть тебя не обольщает твоя соседка, ведь она красивее тебя и более любима Посланнику Аллаху ﷺ, чем ты”, — имея ввиду ‘Аишу. В те дни мы часто поговаривали о том, что племя гассан готовится, чтобы напасть на нас. Однажды мой сосед, как обычно отправился к Пророку ﷺ. Вернувшись вечером, он громко постучал в мою дверь и спросил: “Он спит?” Я испугался и вышел к нему, а он воскликнул: “Случилось нечто важное!” Я спросил: “Что это? Племя гассан прибыло?” Он ответил: “Нет, серьёзнее этого, Посланник Аллаха ﷺ развёл своих жён”. Я сказал: “Потерпела Хафса неудачу и убыток. Я предполагал, что это произойдёт”. Я оделся и совершил утреннюю молитву вместе с Пророком ﷺ. После этого он вошёл в свою приподнятую (от земли) комнату (машруба), и уединился в ней. Войдя к Хафсе, я увидел, что она плачет, и спросил её: “Почему ты плачешь? Разве я тебя не предупреждал? Посланник Аллаха ﷺ дал вам (всем) развод?” Она ответила: “Я не знаю, вон он в своей комнате”. Затем я вышел и, подойдя к минбару, увидел вокруг него группу людей, и некоторые из них плакали. Я немного посидел с ними, затем меня одолело то, что меня терзало, и я отправился в комнату, которой находился Пророк ﷺ. Я сказал его чернокожему слуге: “Спроси, можно ли ‘Умару войти?” Он зашёл, поговорил с Пророком ﷺ, затем вышел и сказал: “Я сказал ему о тебе, но он ничего не ответил”. Я ушёл, сел с группой людей, которые сидели у минбара. Затем меня снова одолело то, что меня терзало, я пришёл, но ответил то же самое. Я снова сел с группой людей, которые сидели у минбара, меня снова одолело то, что меня терзало, я пришёл к слуге и сказал: “Спроси, можно ли ‘Умару войти?” И он ответил то же самое, и когда я уже развернулся, чтобы уйти, слуга позвал меня, сказав: “Посланник Аллаха ﷺ разрешил тебе войти”. Зайдя я обнаружил его лежащим на циновке, на которой ничего не было постелено. Циновка оставила следы на его теле, и он лежал, облокотившись на кожаную подушку, набитую пальмовыми волокнами. Я поприветствовал его, и стоя спросил: “Развёл ли ты своих жён?” Он поднял на меня взор и ответил: “Нет”. Тогда я, всё ещё стоя, сказал, пытаясь поднять ему настроение: “О Посланник Аллаха, вспомни, мы, курайшиты, обычно имели власть над женщинами, но когда мы прибыли к людям, женщины которых имеют власть над ними…”. И рассказал свою историю. Пророк ﷺ улыбнулся. Затем я сказал: “Если бы ты только видел, как я зашёл к Хафсе и сказал: “Пусть тебя не обольщает твоя соседка, ведь она красивее тебя и более любима Пророку ﷺ, чем ты (имея ввиду ‘Аишу)”. Он снова улыбнулся. Увидев, что он улыбается, я сел и окинул взглядом его дом, и клянусь Аллахом, я не увидел ничего, что могло бы остановить на себе взор, кроме трёх недублёных шкур. Я сказал: “Попроси у Аллаха, чтобы Он увеличил богатства твоей общины! Ведь персы и римляне обладают богатствами, и им был дан этот мир, хотя они не поклоняются Аллаху!” Он лежал, облокотившись, (но услышав мои слова, сел) и сказал: “Неужели ты сомневаешься, о Ибн аль-Хаттаб?! Этим людям блага были даны в этом мире”. Я сказал: “О Посланник Аллаха, попроси для меня прощения!” Пророк ﷺ уединился из-за того разговора, который Хафса передала ‘Аише, и он был настолько разгневан на них, что сказал: “Я не буду заходить к ним в течение месяца!”, — и Аллах упрекнул его за это. Когда же прошло двадцать девять дней, он первым делом зашёл к ‘Аише. ‘Аиша сказала ему: “Ты поклялся, что не войдёшь к нам в течение месяца, а сегодня двадцать девятый день, я считала эти дни”. Пророк ﷺ сказал: “Этот месяц состоит из двадцати девяти дней”. И тот месяц действительно продолжался двадцать девять дней. ‘Аиша сказала: “Когда был ниспослан аят о предоставлении выбора, я была первая, с кого он начал, сказав: “Я хочу кое-что сказать тебе, но не торопись с ответом, пока не посоветуешься со своими родителями”. Я знала, что мои родители никогда не посоветуют мне оставить его. Затем Пророк ﷺ сказал: “Поистине Аллах сказал: “О Пророк! Скажи своим женам…” (сура “аль-Ахзаб”, аят 28) до слов: “…Великую…”» (аят 29). Я сказала: “Неужели об этом мне нужно советоваться с родителями? Я выбираю Аллаха, Его посланника и Последнюю Обитель”. Затем он предложил сделать выбор остальным жёнам, и все они сказали то же, что и ‘Аиша»
