collection||Sahih al Bukhari
hadith|1240|Telah menceritakan kepada kami [Muhammad] telah menceritakan kepada kami ['Amru bin Abu Salamah] dari [Al Awza'iy] berkata, telah mengabarkan kepada saya [Ibnu Syihab] berkata, telah mengabarkan kepada saya [Sa'id bin Al Musayyab] bahwa [Abu Hurairah radliallahu 'anhu] berkata; Aku mendengar Rasulullah shallallahu 'alaihi wasallam bersabda: "Hak muslim atas muslim lainnya ada lima, yaitu; menjawab salam, menjenguk yang sakit, mengiringi jenazah, memenuhi undangan dan mendoakan orang yang bersin". Hadits ini diriwayatkan pula oleh ['Abdur Razaq] berkata, telah mengabarkan kepada kami [Ma'mar] dan meriwayatkan kepadanya [Salamah bin Rauh] dari ['Uqail]
chapter||Visiting the deceased person after he has been put in his shroud
hadith|1241,1242|
hadith|1243|Telah menceritakan kepada kami [Yahya bin Bukair] telah menceritakan kepada kami [Al Laits] dari ['Uqail] dari [Ibnu Syihab] berkata, telah mengabarkan kepada saya [Kharijah bin Zaid bin Tsabit] bahwa [Ummu Al 'Ala'] seorang wanita Kaum Anshar yang pernah berbai'at kepada Nabi shallallahu 'alaihi wasallam mengabarkannya bahwa; Ketika Beliau sedang mengundi pembagian sahabat Muhajirin (untuk tinggal di rumah-rumah sahabat Anshar sesampainya mereka di Madinah), maka 'Utsman bin Mazh'un mendapatkan bagiannya untuk tinggal bersama kami. Akhirnya dia kami bawa ke rumah-rumah kami. Namun kemudian dia menderita sakit yang membawa kepada kematianya. Setelah dia wafat, maka dia dimandikan dan dikafani dengan baju yang dikenakannya. Tak lama kemudian Rasulullah shallallahu 'alaihi wasallam datang lalu aku berkata, kepada Beliau: "Semoga rahmat Allah tercurah atasmu wahai Abu As-Sa'ib ('Utsman bin Mazh'un). Dan persaksianku atasmu bahwa Allah telah memuliakanmu". Maka Nabi shallallahu 'alaihi wasallam berkata: "Dari mana kamu tahu bahwa Allah telah memuliakannya?" Aku jawab: "Demi bapakku, wahai Rasulullah, siapakah seharusnya orang yang dimuliakan Allah itu?" Beliau menjawab: "Adapun dia, telah datang kepadanya Al Yaqin (kematian) dan aku berharap dia berada diatas kebaikan. Demi Allah meskipun aku ini Rasulullah, aku tidak tahu apa yang akan dilakukan-Nya terhadapku". Dia (Ummu Al 'Ala') berkata: "Demi Allah, tidak seorangpun yang aku anggap suci setelah peristiwa itu selamanya". Telah menceritakan kepada kami [Sa'id bin 'Uqair] telah menceritakan kepada kami [Al Laits] seperti ini. Dan berkata, [Nafi' bin Yazid] dari ['Uqail]: "Apa yang akan dilakukan-Nya terhadapnya". Dan dikuatkan oleh [Syu'aib] dan ['Amru bin Dinar] dan [Ma'mar]
hadith|1244|Telah menceritakan kepada kami [Muhammad bin Basysyar] telah menceritakan kepada kami [Ghundar] telah menceritakan kepada kami [Syu'bah] berkata; Aku mendengar [Muhammad bin Al Munkadir] berkata; Aku mendengar [Jabir bin 'Abdullah radliallahu 'anha] berkata: Ketika bapakku meninggal dunia aku menyingkap kain penutup wajahnya, maka aku menangis namun orang-orang melarangku menangis sedangkan Nabi shallallahu 'alaihi wasallam tidak melarangku. Hal ini membuat bibiku Fathimah ikut menangis. Maka Nabi shallallahu 'alaihi wasallam bersabda: "Dia menangis atau tidak menangis, malaikat senantiaa akan tetap menaunginya sampai kalian mengangkatnya". Hadits ini dperkuat pula oleh [Ibnu Juraij] telah mengabarkan kepada saya [Muhammad bin Al Munkadir] bahwa dia mendengar [Jabir radliallahu 'anha]
chapter||A man who informs the relatives of the deceased person (of his death) by himself
hadith|1245|Telah menceritakan kepada kami [Isma'il] berkata, telah menceritakan kepada saya [Malik] dari [Ibnu Syihab] dari [Sa'id bin Al Musayyab] dari [Abu Hurairah radliallahu 'anhu] bahwa Rasulullah shallallahu 'alaihi wasallam mengumumkan kematian An-Najasyi pada hari kematiannya kemudian Beliau keluar menuju tempat shalat lalu Beliau membariskan shaf kemudian takbir empat kali
hadith|1246|Telah menceritakan kepada kami [Abu Ma'mar] telah menceritakan kepada kami ['Abdul Warits] telah menceritakan kepada kami [Ayyub] dari [Humaid bin Hilal] dari [Anas bin Malik radliallahu 'anhu] berkata: Telah bersabda Nabi shallallahu 'alaihi wasallam: "Bendera perang dipegang oleh Zaid lalu dia terbunuh kemudian dipegang oleh Ja'far lalu dia terbunuh kemudian dipegang oleh 'Abdullah bin Rawahah namun diapun terbunuh, Dan nampak kedua mata Rasulullah shallallahu 'alaihi wasallam berlinang. Akhirnya bendera dipegang oleh Khalid bin Al Walid tanpa menunggu perintah, namun akhirnya kemenangan diraihnya
chapter||Conveying the news of funeral (procession)
chapter_intro||وَقَالَ أَبُو رَافِعٍ عَنْ أَبِي هُرَيْرَةَ رَضِيَ اللَّهُ عَنْهُ قَالَ: قَالَ النَّبِيُّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ: «أَلاَ آذَنْتُمُونِي».
hadith|1247|Telah menceritakan kepada kami [Muhammad] telah mengabarkan kepada kami [Abu Mu'awiyah] dari [Abu Ishaq Asy-Syaibaniy] dari [Asy-Sya'biy] dari [Ibnu 'Abbas radliallahu 'anhuma] berkata: "Bila ada orang yang meninggal dunia biasanya Rasulullah shallallahu 'alaihi wasallam melayatnya. Suatu hari ada seorang yang meninggal dunia di malam hari kemudian dikuburkan malam itu juga. Keesokan paginya orang-orang memberitahu Beliau. Maka Beliau bersabda: "Mengapa kalian tidak memberi tahu aku?" Mereka menjawab: "Kejadiannya malam hari, kami khawatir memberatkan anda". Maka kemudian Beliau mendatangi kuburan orang itu lalu mengerjakan shalat untuknya
chapter||The superiority of the person whose child dies
chapter_intro||وَقَالَ اللَّهُ عَزَّ وَجَلَّ: {وَبَشِّرِ الصَّابِرِينَ}
hadith|1248|Telah menceritakan kepada kami [Abu Ma'mar] telah menceritakan kepada kami ['Abdul Warits] telah menceritakan kepada kami ['Abdul 'Aziz] dari [Anas radliallahu 'anhu] berkata; Nabi shallallahu 'alaihi wasallam telah bersabda: "Tidak seorang muslim pun yang ditinggal wafat oleh tiga orang anaknya yang belum baligh kecuali akan Allah masukkan dia ke dalam surga karena limpahan rahmatNya kepada mereka
hadith|1249,1250|
hadith|1251|Telah menceritakan kepada kami ['Ali] telah menceritakan kepada kami [Sufyan] berkata; aku mendengar [Az Zuhriy] dari [Sa'id bin Al Musayyab] dari [Abu Hurairah radliallahu 'anhu] dari Nabi shallallahu 'alaihi wasallam bersabda: "Seorang muslim yang ditinggal wafat oleh tiga orang anaknya, tidak bakalan masuki neraka selain sebatas melakukan sumpah Allah". Berkata, Abu 'Abdullah: Maksudnya melakukan sumpah Allah yang tersebut dalam Firman-Nya yang artinya; "Tidaklah dari kalian melainkan pasti akan melewatinya (neraka) (QS. Maryam)
chapter||The saying of a man to a woman at the grave, "Be patient"
hadith|1252|Telah menceritakan kepada kami [Adam] telah menceritakan kepada kami [Syu'bah] telah menceritakan kepada kami [Tsabit] dari [Anas bin Malik radliallahu 'anhu] berkata: "Rasulullah shallallahu 'alaihi wasallam berjalan melewati seorang wanita yang sedang berada di kuburan dalam keadaan menangis. Maka Beliau berkata;: "Bertakwalah kamu kepada Allah dan bersabarlah
chapter||The bath of a dead and his ablution with water and Sidr
hadith|1253|Telah menceritakan kepada kami [Isma'il bin 'Abdullah] berkata, telah menceritakan kepada saya [Malik] dari [Ayyub As-Sakhtiyaniy] dari [Muhammad bin Sirin] dari [Ummu 'Athiyyah seorang wanita Anshar radliallahu 'anha] berkata: Rasulullah shallallahu 'alaihi wasallam menemui kami saat kematian puteri kami, lalu bersabda: "Mandikanlah dengan mengguyurkan air yang dicampur dengan daun bidara tiga kali, lima kali atau lebih dari itu jika kalian anggap perlu dan jadikanlah yang terakhirnya dengan kafur barus (wewangian) atau yang sejenis. Dan bila kalian telah selesai beritahu aku". Ketika kami telah selesai kami memberi tahu Beliau. Maka kemudian Beliau memberikan kain Beliau kepada kami seraya berkata: "Pakaikanlah ini kepadanya". Maksudnya pakaian Beliau
chapter||It is desirable to wash (the dead body) for an odd number of times
hadith|1254|Telah menceritakan kepada kami [Muhammad] telah menceritakan kepada saya ['Abdul Wahhab Ats-Tsaqafiy] dari [Ayyub] dari [Muhammad] dari [Ummu 'Athiyyah radliallahu 'anha] berkata: Rasulullah shallallahu 'alaihi wasallam menemui kami ketika kami akan memandikan puteri. Beliau lalu bersabda: "Mandikanlah dengan mengguyurkan air yang dicampur dengan daun bidara tiga kali, lima kali atau lebih dari itu jika kalian anggap perlu dan jadikanlah yang terakhirnya dengan kafur barus (wewangian). Dan bila kalian telah selesai beritahu aku". Ketika kami telah selesai kami memberi tahu Beliau. Maka kemudian Beliau memberikan kain Beliau kepada kami seraya berkata: "Pakaikanlah ini kepadanya". Berkata, [Ayyub] telah menceritakan kepada saya [Hafshah] seperti hadits Muhammad ini dimana pada hadits Hadshah berbunyi: "Mandikanlah dengan siraman air berjumlah ganjil". Pada hadits itu juga ada disebutkan: "Tiga, lima atau tujuh kali siraman". Dan juga didalamnya ada berbunyi: "Mulailah dengan anggota badan yang kanan dan badan anggota wudhu'". Pada hadits itu juga ada disebutkan bahwa Ummu 'Athiyyah berkata: "Kami menyisir rambut puteri Beliau dengan tiga kepang
chapter||To start from the right side while giving a bath to a dead body
hadith|1255|Telah menceritakan kepada kami ['Ali bin 'Abdullah] telah menceritakan kepada kami [Isma'il bin Ibrahim] telah menceritakan kepada kami [Khalid] dari [Hafshah binti Sirin] dari [Ummu 'Athiyyah] radliallahu 'anhu berkata; Telah bersabda Rasulullah shallallahu 'alaihi wasallam ketika pemandian puteri Beliau yang meninggal dunia: "Mulailah dengan anggota badan yang kanan dan anggota wudhu' dari badan
chapter||(To start with) the parts of the dead body which are washed in ablution
hadith|1256|Telah menceritakan kepada kami [Yahya bin Musa] telah menceritakan kepada kami [Waki'] dari [Sufyan] dari [Khalid Al Hadza`i] dari [Hafshah binti Sirin] dari [Ummu 'Athiyyah radliallahu 'anhu] berkata; Telah bersabda Rasulullah shallallahu 'alaihi wasallam berkenaan pemandian puteri Beliau yang meninggal dunia: "Mulailah dengan anggota badan yang kanan dan anggota wudhu' dari badan
chapter||Can a woman be shrouded in the waist-sheet of a man?
hadith|1257|Telah menceritakan kepada kami ['Abdurrahman bin Hammad] telah mengabarkan kepada kami [Ibnu 'Aun] dari [Muhammad] dari [Ummu 'Athiyyah radliallahu 'anhu] berkata: Ketika puteri Nabi shallallahu 'alaihi wasallam wafat Beliau berkata, kepada kami: "Mandikanlah ia (dengan mengguyurkan air) tiga kali, lima kali atau lebih dari itu jika kalian anggap perlu dan bila kalian telah selesai beritahu aku". Ketika kami telah selesai kami memberi tahu Beliau. Maka kemudian Beliau memberikan kain Beliau kepada kami seraya berkata: "Pakaikanlah ini kepadanya
chapter||To sprinkle camphor on the dead body
hadith|1258,1259|
chapter||To undo the hair of a (dead) female
chapter_intro||وَقَالَ ابْنُ سِيرِينَ لاَ بَأْسَ أَنْ يُنْقَضَ شَعَرُ الْمَيِّتِ.
hadith|1260|Telah menceritakan kepada kami [Ahmad] telah menceritakan kepada kami ['Abdullah bin Wahb] telah mengabarkan kepada kami [Ibnu Juraij] berkata, [Ayyub]; Aku mendengar [Hafshah binti Sirin] berkata, telah menceritakan kepada kami [Ummu 'Athiyyah radliallahu 'anha]; Bahwa mereka menjadikan (rambut) puteri Rasulullah shallallahu 'alaihi wasallam tiga ikatan kemudian mereka melepaskannya lalu aku membasuhnya kemudian mereka jadikan kembali menjadi tiga ikatan (kepang)
chapter||How to shroud a dead body
chapter_intro||وَقَالَ الْحَسَنُ الْخِرْقَةُ الْخَامِسَةُ تَشُدُّ بِهَا الْفَخِذَيْنِ وَالْوَرِكَيْنِ تَحْتَ الدِّرْعِ.
hadith|1261|Telah menceritakan kepada kami [Ahmad] telah menceritakan kepada kami ['Abdullah bin Wahb] telah mengabarkan kepada kami [Ibnu Juraij] bahwa [Ayyub] yang mengabarkan kepadanya berkata; Aku mendengar [Ibnu Sirin] berkata: Telah datang [Ummu 'Athiyyah radliallahu 'anha] seorang diantara wanita Anshar yang pernah berbai'at kepada Nabi shallallahu 'alaihi wasallam sekembalinya dari Bashrah untuk menemui anaknya disana, namun dia tidak menemukannya lalu dia menceritakan kepada kami, katanya: "Nabi shallallahu 'alaihi wasallam menemui kami saat kami sedang memandikan putri Beliau yang wafat lalu berkata: "Mandikanlah ia dengan mengguyurkan air yang dicampur dengan daun bidara tiga kali, lima kali atau lebih dari itu jika kalian anggap perlu dan jadikanlah yang terakhirnya dengan kafur barus dan bila kalian telah selesai beritahu aku". Berkata, Ummu 'Athiyyah radliallahu 'anha: "Ketika kami telah selesai, Beliau kemudian memberikan kain Beliau kepada kami seraya berkata: "Pakaikanlah ini kepadanya". Dan Beliau tidak memerintahkan lebih dari itu dan aku sendiri sudah tidak ingat puteri Beliau mana yang meninggal saat itu". Ayyub berpendapat memakaikan kain maksudnya adalah menutupi seluruh badan mayat perempuan. Dan begitu juga bahwa Ibnu Sirin memerintahkan agar untuk jenazah perempuan ditutupi selluruh bagian badannya bukan hanya bagian bawahnya
chapter||To entwine the head-hair of a (dead) woman in three braids
hadith|1262|Telah menceritakan kepada kami [Qabishah] telah menceritakan kepada kami [Sufyan] dari [Hisyam] dari [Ummu Al Hudzail] dari [Ummu 'Athiyyah radliallahu 'anha] berkata: "Kami menjalin (rambut) keala putri Nabi shallallahu 'alaihi wasallam menjadi tiga ikatan (kepang) ". Berkata, [Waki'] berkata, [Sufyan]: "Diikat kepang dan diketakkan di belakangnya
chapter||To make the hair of a (dead) woman fall at her back
hadith|1263|Telah menceritakan kepada kami [Musaddad] telah menceritakan kepada saya [Yahya bin Sa'id] dari [Hisyam bin Hassan] berkata, telah menceritakan kepada kami [Hafshah] dari [Ummu 'Athiyyah radliallahu 'anha] berkata: Ketika salah satu puteri Nabi shallallahu 'alaihi wasallam wafat, Nabi shallallahu 'alaihi wasallam mendatangi kami seraya berkata: "Mandikanlah menggunakan daun bidara dengan ganjil, tiga kali, lima kali atau lebih dari itu jika kalian anggap perlu dan jadikanlah yang terakhirnya dengan kafur barus (wewangian) atau yang sejenis dari kapur barus (kamper). Dan bila kalian telah selesai beritahu aku". Ketika kami telah selesai, kami memberi tahu Beliau, kemudian Beliau memberikan kain Beliau kepada kami. Maka kami menyisir (dan menguraikan lalu mengepangnya) rambut kepalanya menjadi tiga kepang dan kami letakkan di belakangnya
chapter||White cloth for the shroud
hadith|1264|Telah menceritakan kepada kami [Muhammad bin Muqatil] telah mengabarkan kepada kami ['Abdullah bin Al Mubarak] telah mengabarkan kepada kami [Hisyam bin 'Urwah] dari [bapaknya] dari ['Aisyah radliallahu 'anha] bahwa Rasulullah shallallahu 'alaihi wasallam (ketika wafat) dikafani jasadnya dengan tiga helai kain yang sangat putih terbuat dari katun dari negeri Yaman dan tidak dikenakan padanya baju dan serban (tutup kepala)
chapter||Shrouding in two pieces of cloth
hadith|1265|Telah menceritakan kepada kami [Abu An-Nu'man] telah menceritakan kepada kami [Hammad bin Zaid] dari [Ayyub] dari [Sa'id bin Jubair] dari [Ibnu 'Abbas radliallahu 'anhum] berkata; "Ada seorang laki-laki ketika sedang wukuf di 'Arafah terjatuh dari hewan tunggangannya sehingga ia terinjak" atau dia Ibnu 'Abbas radliallahu 'anhuma berkata: "Hingga orang itu mati seketika". Kemudian Nabi shallallahu 'alaihi wasallam berkata: "Mandikanlah dia dengan air yang dicampur daun bidara dan kafanilah dengan dua helai kain dan janganlah diberi wewangian dan jangan pula diberi tutup kepala (serban) karena dia nanti akan dibangkitkan pada hari qiyamat dalam keadaan bertalbiyyah
chapter||The perfuming of a dead body with Hanut
hadith|1266|Telah menceritakan kepada kami [Qutaibah] telah menceritakan kepada kami [Hammad] dari [Ayyub] dari [Sa'id bin Jubair] dari [Ibnu 'Abbas radliallahu 'anhuma] berkata; "Ada seorang laki-laki yang sedang wukuf di 'Arafah bersama Rasulullah shallallahu 'alaihi wasallam lalu dia terjatuh dari hewan tunggangannya sehingga ia terinjak" atau dia Ibnu 'Abbas radliallahu 'anhuma berkata: "Hingga orang itu mati seketika". Maka Rasulullah shallallahu 'alaihi wasallam berkata: "Mandikanlah dia dengan air yang dicampur daun bidara dan kafanilah dengan dua helai kain dan janganlah diberi wewangian dan jangan pula diberi tutup kepalanya (serban) karena dia nanti akan dibangkitkan pada hari qiyamat dalam keadaan bertalbiyyah
chapter||How to shroud a Muhrim
hadith|1267|Telah menceritakan kepada kami [Abu An-Nu'man] telah mengabarkan kepada kami [Abu 'Awanah] dari [Abu Bisyir] dari [Sa'id bin Jubair] dari [Ibnu 'Abbas Ram]; Bahwa ada seorang laki-laki yang sedang berihram dijatuhkan oleh untanya yang saat itu kami sedang bersama Nabi shallallahu 'alaihi wasallam. Maka Nabi shallallahu 'alaihi wasallam berkata: "Mandikanlah dia dengan air yang dicampur daun bidara dan kafanilah dengan dua helai kain dan janganlah diberi wewangian dan jangan pula diberi tutup kepala (serban) karena dia nanti akan dibangkitkan pada hari qiyamat dalam keadaan bertalbiyyah
hadith|1268|Telah menceritakan kepada kami [Musaddad] telah menceritakan kepada kami [Hammad bin Zaid] dari ['Amru] dan [Ayyub] dari [Sa'id bin Jubair] dari [Ibnu 'Abbas radliallahu 'anhu] berkata; "Ada seorang laki-laki ketika sedang wukuf bersama Nabi shallallahu 'alaihi wasallam di 'Arafah terjatuh dari hewan tunggangannya". Berkata, Ayyub: "Maka hewannya itu mematahkan lehernya". Dan berkata, 'Amru: "Maka hewannya itu menginjaknya". Lalu orang itu meninggal. Sehingga ia terinjak" atau dia Ibnu 'Abbas radliallahu 'anhuma berkata: "Hingga orang itu mati seketika". Maka Beliau shallallahu 'alaihi wasallam berkata: "Mandikanlah dia dengan air yang dicampur daun bidara dan kafanilah dengan dua helai kain dan janganlah diberi wewangian dan jangan pula diberi tutup kepala (serban) karena dia nanti akan dibangkitkan pada hari qiyamat…Menurut Ayyub berkata: "sedang membaca talbiyyah". Dan menurut 'Amru: "sebagai orang yang bertalbiyyah
chapter||To shroud one in a shirt, stitched or unstitched
hadith|1269|Telah menceritakan kepada kami [Musaddad] berkata, telah menceritakan kepada kami [Yahya bin Sa'id] dari ['Ubaidullah] berkata, telah menceritakan kepada saya [Nafi'] dari [Ibnu'Umar radliallahu 'anhuma] bahwa ketika 'Abdullah bin Ubay wafat, anaknya datang menemui Nabi shallallahu 'alaihi wasallam lalu berkata: "Wahai Rasulullah shallallahu 'alaihi wasallam: "Berikanlah kepadaku baju anda untuk aku gunakan mengafani (ayahku) dan shalatlah untuknya serta mohonkanlah ampunan baginya". Maka Nabi shallallahu 'alaihi wasallam memberikan bajunya kepadanya lalu berkata: "izinkanlah aku untuk menshalatkannya". Ketika Beliau hendak menshalatkannya tiba-tiba 'Umar bin Al Khaththab radliallahu 'anhu datang menarik Beliau seraya berkata: "Bukankah Allah telah melarang anda untuk menshalatkan orang munafiq?" Maka Beliau bersabda: "Aku berada pada dua pilihan dari firman Allah Ta'ala (QS. At-Taubah ayat 80, yang artinya): "Kamu mohonkan ampun buat mereka atau kamu tidak mohonkan ampun buat mereka (sama saja bagi mereka). Sekalipun kamu memohonkan ampun buat mereka sebanyak tujuh puluh kali, Allah sekali-kali tidak akan mengampuni mereka". Maka Beliau shallallahu 'alaihi wasallam menshalatkannya. Lalu turunlah ayat: (QS. At-Taubah ayat 84 yang artinya): "Janganlah kamu shalatkan seorangpun yang mati dari mereka selamanya dan janganlah kamu berdiri di atas kuburannya
hadith|1270|Telah menceritakan kepada kami [Malik bin Isma'il] telah menceritakan kepada kami [Ibnu 'Uyainah] dari ['Amru] bahwa dia mendengar [Jabir radliallahu 'anhu] berkata: "Nabi shallallahu 'alaihi wasallam mendatangi (jenazah) 'Abdullah bin Ubay setelah dimasukkan dalam kubur lalu Beliau mengeluarkannya, memberkahi dengan ludahnya dan memakaikan dengan baju Beliau kepadanya
chapter||To shroud (a dead) body without using a shirt
hadith|1271|Telah menceritakan kepada kami [Abu Nu'aim] telah menceritakan kepada kami [Sufyan] dari [Hisyam] dari ['Urwah] dari ['Aisyah radliallahu 'anha] berkata: Nabi shallallahu 'alaihi wasallam (ketika wafat) dikafani jasadnya dengan tiga helai kain yang sangat putih terbuat dari katun dari dan tidak dikenakan padanya baju dan serban (tutup kepala)
hadith|1272|Telah menceritakan kepada kami [Musaddad] telah menceritakan kepada kami [Yahya] dari [Hisyam] telah menceritakan kepadaku [bapaknya] dari ['Aisyah radliallahu 'anha] bahwa Rasulullah shallallahu 'alaihi wasallam (ketika wafat) dikafani jasadnya dengan tiga helai kain dan tidak dikenakan padanya baju dan serban (tutup kepala)
chapter||Using no turban in shrouding
hadith|1273|Telah menceritakan kepada kami [Isma'il] berkata, telah menceritakan kepada saya [Malik] dari [Hisyam bin 'Urwah] dari [Bapaknya] dari ['Aisyah radliallahu 'anha] bahwa Rasulullah shallallahu 'alaihi wasallam (ketika wafat) dikafani jasadnya dengan tiga helai kain yang sangat putih terbuat dari katun dan tidak dikenakan padanya baju dan serban (tutup kepala)
chapter||To shroud one with all of one's property
chapter_intro||وَبِهِ قَالَ عَطَاءٌ وَالزُّهْرِيُّ وَعَمْرُو بْنُ دِينَارٍ وَقَتَادَةُ. وَقَالَ عَمْرُو بْنُ دِينَارٍ الْحَنُوطُ مِنْ جَمِيعِ الْمَالِ. وَقَالَ إِبْرَاهِيمُ يُبْدَأُ بِالْكَفَنِ ثُمَّ بِالدَّيْنِ ثُمَّ بِالْوَصِيَّةِ. وَقَالَ سُفْيَانُ أَجْرُ الْقَبْرِ وَالْغَسْلِ هُوَ مِنَ الْكَفَنِ.
hadith|1274|Telah menceritakan kepada kami [Ahmad bin Muhammad Al Makkiy] telah menceritakan kepada kami [Ibrahim bin Sa'ad] dari [Saad] dari [bapaknya] ia berkata; Pada suatu hari ['Abdurrahman bin 'Auf] dihidangkan makanan kepadanya, lalu ia berkata, Mus'ab bin Umair telah terbunuh. Ia adalah orang yang lebih baik dariku, namun saat (hendak dikafani) tidak ada kain kafan yang bisa membungkusnya kecuali hanyalah burdah (kain bergaris). Dan Hamzah terbunuh atau orang lain yang lebih baik dariku lalu tidak ada kain yang bisa dijadikan kafan untuknya kecuali burdah. Aku khawatir jika kebaikan-kebakan kita disegerakan didunia ini. Lalu ia mulai menangis
chapter||If there is nothing except one piece of cloth (for shrouding)
hadith|1275|Telah menceritakan kepada kami [Muhammad bin Muqatil] telah mengabarkan kepada kami ['Abdullah] telah mengabarkan kepada kami [Syu'nah] dari [Sa'ad bin Ibrahim] dari bapaknya [Ibrahim] bahwa; "Pada suatu hari ['Abdurrahman bin 'Auf] dihidangkan makanan kepadanya saat itu ia sedang berpuasa. Lalu ia berkata, Mus'ab bin Umair telah terbunuh. Ia adalah orang yang lebih baik dariku, namun saat (hendak dikafani) tidak ada kain kafan yang bisa membungkusnya kecuali hanyalah burdah (kain bergaris) yang apabila kepalanya akan ditutup, kakinya terbuka (karena kain yang pendek) dan bila kakinya yang hendak ditutup kepalanyalah yang terbuka. Dan aku melihat dia berkata, pula; "Hamzah pun atau orang lain yang lebih baik dariku telah terbunuh. Kemudian setelah itu dunia telah dibukakan buat kami atau katanya kami telah diberi kenikmatan dunia dan sungguh kami khawatir bila kebaikan-kebaikan kami disegerakan balasannya buat kami (berupa kenikmatan dunia). Lalu ia pun mulai menangis
chapter||If sufficient cloth for the shroud is not available
hadith|1276|Telah menceritakan kepada kami ['Umar bin Hafsh bin Ghiyats] telah menceritakan kepada kami [bapakku] telah menceritakan kepada kami [Al A'masy] telah menceritakan kepada kami [Syaqiq] telah menceritakan kepada kami [Khabab radliallahu 'anhu] berkata; Kami berhijrah bersama Nabi shallallahu 'alaihi wasallam dengan hanya mengharapkan ridha Allah dan kami telah mendapatkan pahala di sisi Allah. Lalu diantara kami ada yang meninggal lebih dahulu sebelum menikmati pahalanya sedikitpun (di dunia ini), diantaranya adalah Mus'ab bin Umair. Dan diantara kami ada yang buah (perjuangannya) sudah masak lalu dia memetiknya dengan terbunuh sebagai syahid di medan Perang Uhud namun kami tidak mendapatkan kain untuk mengafaninya kecuali burdah (kain bergaris) yang kain tersebut bila kami gunakan untuk menutup kepalanya, kakinya terbuka dan bila kakinya yang hendak kami tutup kepalanyalah yang terbuka. Maka kemudian Nabi shallallahu 'alaihi wasallam memerintahkan kami untuk menutup kepalanya dengan kain tersebut sedangkan kakinya kami tutup dengan dedaunan
chapter||(if) somebody prepared his shroud (before his death)
hadith|1277|Telah menceritakan kepada kami ['Abdullah bin Maslamah] telah menceritakan kepada kami [Ibnu Abu Hazim] dari [bapaknya] dari [Sahal radliallahu 'anhu] bahwa ada seorang wanita mendatangi Nabi shallallahu 'alaihi wasallam dengan membawa burdah yang pinggirnya berjahit. (Sahal) berkata; "Tahukah kamu apa yang dimaksud dengan burdah?" Mereka menjawab: "Bukankah itu kain selimut?" Dia berkata: "Ya benar". Wanita itu berkata: "Aku menjahitnya dengan tanganku sendiri, dan aku datang untuk memakaikannya kepada anda". Maka Nabi shallallahu 'alaihi wasallam mengambilnya karena Beliau memerlukannya. Kemudian Beliau menemui kami dengan mengenakan kain tersebut. Diantara kami ada seseorang yang tertarik dengan kain tersebut lalu berkata: "Alangkah bagusnya kain ini". Orang-orang berkata, kepada orang itu: "Mengapa kamu memuji apa yang dipakai oleh Nabi shallallahu 'alaihi wasallam lalu kamu memintanya padahal kamu tahu bahwa Beliau tidak akan menolak (permintaan orang). Orang itu menjawab: "Demi Allah, sungguh aku tidak memintanya untuk aku pakai. Sesungguhnya aku memintanya untuk aku jadikan sebagai kain kafanku". Sahal berkata: "Akhirnya memang kain itu yang jadi kain kafannya
chapter||(Is it permissible for) woman to accompany the funeral procession
hadith|1278|Telah menceritakan kepada kami [Qabishah bin 'Uqbah] telah menceritakan kepada kami [Sufyan] dari [Khalid Al Hadza'] dari [Ummu AL Hudzail] dari [Ummu 'Athiyyah radliallahu 'anha] berkata: "Kami dilarang mengantar jenazah namun Beliau tidak menekankan hal tersebut kepada kami
chapter||The mooring of a woman for a dead person other than her husband
hadith|1279|Telah menceritakan kepada kami [Musaddad] telah menceritakan kepada kami [Bisyir bin Al Mufadhdhal] telah menceritakan kepada kami [Salamah bin 'Alqamah] dari [Muhammad bin Sirin] berkata: Telah wafat anak [Ummu 'Athiyyah] radliallahu 'anha. Pada hari ketiga (dari kematian anaknya) dia meminta wewangian, lalu memakainya kemudian berkata: "Kami dilarang berkabung melebihi tiga hari kecuali bila ditinggal mati suaminya
hadith|1280|Telah menceritakan kepada kami [Al Humaidiy] telah menceritakan kepada kami [Sufyan] telah menceritakan kepada kami [Ayyub bin Musa] berkata, telah mengabarkan kepada saya [Humaid bin Nafi'] dari [Zainab binti Abu Salamah] berkata; Ketika kabar kematian Abu Sufyan sampai dari negeri Syam, [Ummu Habibah] radliallahu 'anha meminta wewangian pada hari ketiga lalu memakainya untuk bagian sisi badannya dan lengannya dan berkata; Sungguh bagiku ini sudah cukup seandainya aku tidak mendengar Nabi Shallallahu'alaihiwasallam bersabda: "Tidak halal bagi wanita yang beriman kepada Allah dan Hari Akhir untuk berkabung melebihi tiga hari kecuali bila ditinggal mati suaminya yang saat itu dia boleh berkabung sampai empat bulan sepuluh hari
hadith|1281,1282|
chapter||Visiting the graves
