collection||Sahih al Bukhari
hadith|3872|ہم سے عبداللہ بن محمد جعفی نے بیان کیا، کہا ہم سے ہشام بن یوسف نے بیان کیا، انہیں معمر نے خبر دی، انہیں زہری نے کہا کہ ہم سے عروہ بن زبیر نے بیان کیا، انہیں عبیداللہ بن عدی بن خیار نے خبر دی، انہیں مسور بن مخرمہ اور عبدالرحمٰن بن اسود بن عبدیغوث ان دونوں نے عبیداللہ بن عدی بن خیار سے کہا کہ تم اپنے ماموں ( امیرالمؤمنین ) عثمان رضی اللہ عنہ سے ان کے بھائی ولید بن عقبہ بن ابی معیط کے باب میں گفتگو کیوں نہیں کرتے ( ہوا یہ تھا کہ لوگوں نے اس پر بہت اعتراض کیا تھا جو عثمان نے ولید کے ساتھ کیا تھا ) ۔ عبیداللہ نے بیان کیا کہ جب عثمان رضی اللہ عنہ نماز پڑھنے نکلے تو میں ان کے راستے میں کھڑا ہو گیا اور میں نے عرض کیا کہ مجھے آپ سے ایک ضرورت ہے، آپ کو ایک خیر خواہانہ مشورہ دینا ہے۔ اس پر انہوں نے کہا کہ بھلے آدمی! تم سے تو میں اللہ کی پناہ مانگتا ہوں۔ یہ سن کر میں وہاں سے واپس چلا آیا۔ نماز سے فارغ ہونے کے بعد میں مسور بن مخرمہ اور ابن عبدیغوث کی خدمت میں حاضر ہوا اور عثمان رضی اللہ عنہ سے جو کچھ میں نے کہا تھا اور انہوں نے اس کا جواب مجھے جو دیا تھا، سب میں نے بیان کر دیا۔ ان لوگوں نے کہا تم نے اپنا حق ادا کر دیا۔ ابھی میں اس مجلس میں بیٹھا تھا کہ عثمان رضی اللہ عنہ کا آدمی میرے پاس ( بلانے کے لیے ) آیا۔ ان لوگوں نے مجھ سے کہا تمہیں اللہ تعالیٰ نے امتحان میں ڈالا ہے۔ آخر میں وہاں سے چلا اور عثمان رضی اللہ عنہ کی خدمت میں حاضر ہوا۔ آپ نے دریافت کیا تم ابھی جس خیر خواہی کا ذکر کر رہے تھے وہ کیا تھی؟ انہوں نے بیان کیا کہ پھر میں نے کہا اللہ گواہ ہے پھر میں نے کہا اللہ تعالیٰ نے محمد صلی اللہ علیہ وسلم کو مبعوث فرمایا اور ان پر اپنی کتاب نازل فرمائی، آپ ان لوگوں میں سے تھے جنہوں نے نبی کریم صلی اللہ علیہ وسلم کی دعوت پر لبیک کہا تھا۔ آپ نبی کریم صلی اللہ علیہ وسلم پر ایمان لائے دو ہجرتیں کیں ( ایک حبشہ کو اور دوسری مدینہ کو ) آپ رسول اللہ صلی اللہ علیہ وسلم کی صحبت سے فیض یاب ہیں اور نبی کریم صلی اللہ علیہ وسلم کے طریقوں کو دیکھا ہے۔ بات یہ ہے کہ ولید بن عقبہ کے بارے میں لوگوں میں اب بہت چرچا ہونے لگا ہے۔ اس لیے آپ کے لیے ضروری ہے کہ اس پر ( شراب نوشی کی ) حد قائم کریں۔ عثمان رضی اللہ عنہ نے فرمایا میرے بھتیجے یا میرے بھانجے کیا تم نے بھی رسول اللہ صلی اللہ علیہ وسلم کو دیکھا ہے؟ میں نے عرض کیا کہ نہیں۔ لیکن آپ صلی اللہ علیہ وسلم کے دین کی باتیں اس طرح میں نے حاصل کی تھیں جو ایک کنواری لڑکی کو بھی اپنے پردے میں معلوم ہو چکی ہیں۔ انہوں نے بیان کیا کہ یہ سن کر پھر عثمان رضی اللہ عنہ نے بھی اللہ کو گواہ کر کے فرمایا: بلاشبہ اللہ تعالیٰ نے محمد صلی اللہ علیہ وسلم کو حق کے ساتھ مبعوث کیا اور آپ پر اپنی کتاب نازل کی تھی اور یہ بھی ٹھیک ہے کہ میں ان لوگوں میں سے تھا جنہوں نے اللہ اور اس کے رسول کی دعوت پر ( ابتداء ہی میں ) لبیک کہا تھا۔ نبی کریم صلی اللہ علیہ وسلم جو شریعت لے کر آئے تھے میں اس پر ایمان لایا اور جیسا کہ تم نے کہا میں نے دو ہجرتیں کیں۔ میں نبی کریم صلی اللہ علیہ وسلم کی صحبت سے فیض یاب ہوا اور آپ صلی اللہ علیہ وسلم سے بیعت بھی کی۔ اللہ کی قسم! میں نے آپ کی نافرمانی نہیں کی اور نہ کبھی خیانت کی۔ آخر اللہ تعالیٰ نے آپ صلی اللہ علیہ وسلم کو وفات دے دی اور ابوبکر رضی اللہ عنہ خلیفہ منتحب ہوئے۔ اللہ کی قسم! میں نے ان کی بھی کبھی نافرمانی نہیں کی اور نہ ان کے کسی معاملہ میں کوئی خیانت کی۔ ان کے بعد عمر رضی اللہ عنہ خلیفہ ہوئے میں نے ان کی بھی کبھی نافرمانی نہیں کی اور نہ کبھی خیانت کی۔ اس کے بعد میں خلیفہ ہوا۔ کیا اب میرا تم لوگوں پر وہی حق نہیں ہے جو ان کا مجھ پر تھا؟ عبیداللہ نے عرض کیا یقیناً آپ کا حق ہے پھر انہوں نے کہا پھر ان باتوں کی کیا حقیقت ہے جو تم لوگوں کی طرف سے پہنچ رہی ہیں؟ جہاں تک تم نے ولید بن عقبہ کے بارے میں ذکر کیا ہے تو ہم ان شاءاللہ اس معاملے میں اس کی گرفت حق کے ساتھ کریں گے۔ راوی نے بیان کیا کہ آخر ( گواہی کے بعد ) ولید بن عقبہ کو چالیس کوڑے لگوائے گئے اور علی رضی اللہ عنہ کو حکم دیا کہ کوڑے لگائیں۔ علی رضی اللہ عنہ ہی نے اس کو کوڑے مارے تھے۔ اس حدیث کو یونس اور زہری کے بھتیجے نے بھی زہری سے روایت کیا اس میں عثمان رضی اللہ عنہ کا قول اس طرح بیان کیا، کیا تم لوگوں پر میرا وہی حق نہیں ہے جو ان لوگوں کا تم پر تھا۔
hadith|3873|مجھ سے محمد بن مثنیٰ نے بیان کیا، انہوں نے کہا ہم سے یحییٰ بن سعید قطان نے بیان کیا، ان سے ہشام بن عروہ نے بیان کیا، کہا ہم سے ہمارے والد (عروہ بن زبیر) نے بیان کیا اور ان سے عائشہ رضی اللہ عنہا نے بیان کیا کہ ام حبیبہ رضی اللہ عنہا اور ام سلمہ رضی اللہ عنہا نے ایک گرجے کا ذکر کیا جسے انہوں نے حبشہ میں دیکھا تھا اس کے اندر تصویریں تھیں۔ انہوں نے اس کا ذکر نبی کریم صلی اللہ علیہ وسلم کے سامنے کیا تو آپ صلی اللہ علیہ وسلم نے فرمایا ”جب ان میں کوئی نیک مرد ہوتا اور اس کی وفات ہو جاتی تو اس کی قبر کو وہ لوگ مسجد بناتے اور پھر اس میں اس کی تصویریں رکھتے۔ یہ لوگ قیامت کے دن اللہ تعالیٰ کی بارگاہ میں بدترین مخلوق ہوں گے۔“
hadith|3874|ہم سے حمیدی نے بیان کیا، انہوں نے کہا ہم سے سفیان بن عیینہ نے بیان کیا، انہوں نے کہا ہم سے اسحاق بن سعید سعیدی نے بیان کیا۔ ان سے ان کے والد سعید بن عمرو بن سعید بن عاص نے، ان سے ام خالد بنت خالد رضی اللہ عنہا نے بیان کیا کہ میں جب حبشہ سے آئی تو بہت کم عمر تھی۔ مجھے رسول اللہ صلی اللہ علیہ وسلم نے ایک دھاری دار چادر عنایت فرمائی اور پھر آپ نے اس کی دھاریوں پر اپنا ہاتھ پھیر کر فرمایا «سناه،‏‏‏‏‏‏‏‏ سناه‏ ‏‏.‏» ۔ حمیدی نے بیان کیا کہ «سناه،‏‏‏‏‏‏‏‏ سناه‏ ‏‏.‏» حبشی زبان کا لفظ ہے یعنی اچھا اچھا۔
hadith|3875|ہم سے یحییٰ بن حماد نے بیان کیا، کہا ہم سے ابوعوانہ نے بیان کیا، ان سے سلیمان نے، ان سے ابراہیم نے، ان سے علقمہ نے اور ان سے عبداللہ نے بیان کیا کہ ( ابتداء اسلام میں ) نبی کریم صلی اللہ علیہ وسلم نماز پڑھتے ہوتے اور ہم آپ کو سلام کرتے تو آپ نماز ہی میں جواب عنایت فرماتے تھے۔ لیکن جب ہم نجاشی کے ملک حبشہ سے واپس ( مدینہ ) آئے اور ہم نے ( نماز پڑھتے میں ) آپ کو سلام کیا تو آپ نے جواب نہیں دیا۔ نماز کے بعد ہم نے عرض کیا: یا رسول اللہ! ہم پہلے آپ کو سلام کرتے تھے تو آپ نماز ہی میں جواب عنایت فرمایا کرتے تھے؟ نبی کریم صلی اللہ علیہ وسلم نے اس پر فرمایا کہ ہاں نماز میں آدمی کو دوسرا شغل ہوتا ہے۔ سلیمان اعمش نے بیان کیا کہ میں نے ابراہیم نخعی سے پوچھا ایسے موقعہ پر آپ کیا کرتے ہیں؟ انہوں نے کہا کہ میں دل میں جواب دے دیتا ہوں۔
hadith|3876|ہم سے محمد بن علاء نے بیان کیا، ہم سے ابواسامہ نے بیان کیا، کہا ہم سے برید بن عبداللہ نے بیان کیا، ان سے ابوبردہ نے اور ان سے ابوموسیٰ رضی اللہ عنہ نے بیان کیا کہ جب ہمیں رسول اللہ صلی اللہ علیہ وسلم کی ہجرت مدینہ کی اطلاع ملی تو ہم یمن میں تھے۔ پھر ہم کشتی پر سوار ہوئے لیکن اتفاق سے ہوا نے ہماری کشتی کا رخ نجاشی کے ملک حبشہ کی طرف کر دیا۔ ہماری ملاقات وہاں جعفر بن ابی طالب رضی اللہ عنہ سے ہوئی ( جو ہجرت کر کے وہاں موجود تھے ) ہم انہیں کے ساتھ وہاں ٹھہرے رہے، پھر مدینہ کا رخ کیا اور نبی کریم صلی اللہ علیہ وسلم سے اس وقت ملاقات ہوئی جب آپ خیبر فتح کر چکے تھے۔ نبی کریم صلی اللہ علیہ وسلم نے فرمایا کہ تم نے اے کشتی والو! دو ہجرتیں کی ہیں۔
chapter||The death of An-Najashi (the Negus)
hadith|3877|ہم سے ابوربیع سلیمان بن داؤد نے بیان کیا، کہا ہم سے سفیان بن عیینہ نے بیان کیا، ان سے ابن جریج نے، ان سے عطاء بن ابی رباح نے اور ان سے جابر رضی اللہ عنہ نے بیان کیا کہ جس دن نجاشی ( حبشہ کے بادشاہ ) کی وفات ہوئی تو نبی کریم صلی اللہ علیہ وسلم نے فرمایا ”آج ایک مرد صالح اس دنیا سے چلا گیا، اٹھو اور اپنے بھائی اصحمہ کی نماز جنازہ پڑھ لو۔“
hadith|3878|ہم سے عبدالاعلیٰ بن حماد نے بیان کیا، انہوں نے کہا ہم سے یزید بن زریع نے بیان کیا، انہوں نے کہا ہم سے سعید بن ابی عروبہ نے بیان کیا، انہوں نے کہا ہم سے قتادہ نے بیان کیا، ان سے عطاء بن ابی رباح نے بیان کیا اور ان سے جابر بن عبداللہ انصاری رضی اللہ عنہما نے کہ نبی کریم صلی اللہ علیہ وسلم نے نجاشی کے جنازہ کی نماز پڑھی تھی اور ہم صف باندھ کر آپ کے پیچھے کھڑے ہوئے۔ میں دوسری یا تیسری صف میں تھا۔
hadith|3879|مجھ سے عبداللہ بن ابی شیبہ نے بیان کیا، کہا ہم سے یزید بن ہارون نے بیان کیا، ان سے سلیم بن حیان نے، کہا ہم سے سعید بن میناء نے بیان کیا، ان سے جابر بن عبداللہ رضی اللہ عنہما نے کہ نبی کریم صلی اللہ علیہ وسلم نے اصحمہ نجاشی کی نماز جنازہ پڑھی اور چار مرتبہ آپ صلی اللہ علیہ وسلم نے نماز میں تکبیر کہی۔ یزید بن ہارون کے ساتھ اس حدیث کو عبدالصمد بن عبدالوارث نے بھی ( سلیم بن حیان ) سے روایت کیا ہے۔
hadith|3880|ہم سے زہیر بن حرب نے بیان کیا، کہا ہم سے یعقوب بن ابراہیم نے بیان کیا، کہا ہم سے ہمارے والد (ابراہیم بن سعد) نے بیان کیا، ان سے صالح بن کیسان نے، ان سے ابن شہاب نے بیان کیا، ان سے ابوسلمہ بن عبدالرحمٰن اور سعید بن مسیب نے بیان کیا اور انہیں ابوہریرہ رضی اللہ عنہ نے خبر دی کہ رسول اللہ صلی اللہ علیہ وسلم نے حبشہ کے بادشاہ نجاشی کی موت کی خبر اسی دن دے دی تھی جس دن ان کا انتقال ہوا تھا اور آپ صلی اللہ علیہ وسلم نے فرمایا تھا کہ اپنے بھائی کی مغفرت کے لیے دعا کرو۔
hadith|3881|اور صالح سے روایت ہے کہ ابن شہاب نے بیان کیا، ان سے سعید بن مسیب نے بیان کیا اور انہیں ابوہریرہ رضی اللہ عنہ نے خبر دی کہ نبی کریم صلی اللہ علیہ وسلم نے ( نماز جنازہ کے لیے ) عیدگاہ میں صحابہ رضی اللہ عنہم کو صف بستہ کھڑا کیا اور اس کی نماز جنازہ پڑھی آپ صلی اللہ علیہ وسلم نے چار مرتبہ تکبیر کہی تھی۔
chapter||Oath taken by the Mushrikun against the Prophet (ﷺ)
hadith|3882|ہم سے عبدالعزیز بن عبداللہ اویسی نے بیان کیا، انہوں نے کہا مجھ سے ابراہیم بن سعد نے بیان کیا، انہوں نے کہا کہ ہم سے ابن شہاب نے بیان کیا، ان سے سلمہ بن عبدالرحمٰن نے اور ان سے ابوہریرہ رضی اللہ عنہ نے بیان کیا کہ نبی کریم صلی اللہ علیہ وسلم نے جنگ حنین کا قصد کیا تو فرمایا ”ان شاءاللہ کل ہمارا قیام خیف بنی کنانہ میں ہو گا۔“ جہاں مشرکین نے کافر ہی رہنے کے لیے عہد و پیمان کیا تھا۔
chapter||The story of Abu Talib
hadith|3883|ہم سے مسدد نے بیان کیا، کہا ہم سے یحییٰ بن سعید قطان نے، ان سے سفیان ثوری نے، کہا ہم سے عبدالملک بن عمیر نے، ان سے عبداللہ بن حارث نے بیان کیا ان سے عباس بن عبدالمطلب رضی اللہ عنہ نے بیان کیا کہ انہوں نے نبی کریم صلی اللہ علیہ وسلم سے پوچھا آپ اپنے چچا ( ابوطالب ) کے کیا کام آئے کہ وہ آپ کی حمایت کیا کرتے تھے اور آپ صلی اللہ علیہ وسلم کے لیے غصہ ہوتے تھے؟ آپ صلی اللہ علیہ وسلم نے فرمایا ” ( اسی وجہ سے ) وہ صرف ٹخنوں تک جہنم میں ہیں اگر میں ان کی سفارش نہ کرتا تو وہ دوزخ کی تہ میں بالکل نیچے ہوتے۔“
hadith|3884|ہم سے محمود بن غیلان نے بیان کیا، کہا ہم سے عبدالرزق نے بیان کیا، انہیں معمر نے خبر دی، انہیں زہری نے، انہیں سعید بن مسیب نے اور انہیں ان کے والد مسیب بن حزن صحابی رضی اللہ عنہ نے کہ جب ابوطالب کی وفات کا وقت قریب ہوا تو نبی کریم صلی اللہ علیہ وسلم ان کے پاس تشریف لے گئے۔ اس وقت وہاں ابوجہل بھی بیٹھا ہوا تھا۔ نبی کریم صلی اللہ علیہ وسلم نے فرمایا ”چچا! کلمہ لا الہٰ الا اللہ ایک مرتبہ کہہ دو، اللہ کی بارگاہ میں ( آپ کی بخشش کے لیے ) ایک یہی دلیل میرے ہاتھ آ جائے گی۔“ اس پر ابوجہل اور عبداللہ بن ابی امیہ نے کہا: اے ابوطالب! کیا عبدالمطلب کے دین سے تم پھر جاؤ گے! یہ دونوں ان ہی پر زور دیتے رہے اور آخری کلمہ جو ان کی زبان سے نکلا، وہ یہ تھا کہ میں عبدالمطلب کے دین پر قائم ہوں۔ پھر نبی کریم صلی اللہ علیہ وسلم نے فرمایا کہ میں ان کے لیے اس وقت تک مغفرت طلب کرتا رہوں گا جب تک مجھے اس سے منع نہ کر دیا جائے گا۔ چنانچہ ( سورۃ براۃ میں ) یہ آیت نازل ہوئی «ما كان للنبي والذين آمنوا أن يستغفروا للمشركين ولو كانوا أولي قربى من بعد ما تبين لهم أنهم أصحاب الجحيم‏» ”نبی کے لیے اور مسلمانوں کے لیے مناسب نہیں ہے کہ مشرکین کے لیے دعا مغفرت کریں خواہ وہ ان کے ناطے والے ہی کیوں نہ ہوں جب کہ ان کے سامنے یہ بات واضح ہو گئی کہ وہ دوزخی ہیں۔“ اور سورۃ قصص میں یہ آیت نازل ہوئی «إنك لا تهدي من أحببت‏» ”بیشک جسے آپ چاہیں ہدایت نہیں کر سکتے۔“
hadith|3885|ہم سے عبداللہ بن یوسف نے بیان کیا، کہا ہم سے لیث بن سعد نے بیان کیا، کہا ہم سے یزید بن عبداللہ ابن الہاد نے، ان سے عبداللہ بن خباب نے اور ان سے ابو سعید خدری رضی اللہ عنہ نے کہ انہوں نے نبی کریم صلی اللہ علیہ وسلم سے سنا، آپ صلی اللہ علیہ وسلم کی مجلس میں آپ کے چچا کا ذکر ہو رہا تھا تو آپ صلی اللہ علیہ وسلم نے فرمایا ”شاید قیامت کے دن انہیں میری شفاعت کام آ جائے اور انہیں صرف ٹخنوں تک جہنم میں رکھا جائے جس سے ان کا دماغ کھولے گا۔“ ہم سے ابراہیم بن حمزہ نے بیان کیا، کہا ہم سے ابن ابوحازم اور درا وردی نے بیان کیا یزید سے اسی مذکورہ حدیث کی طرح، البتہ اس روایت میں یہ بھی ہے کہ ابوطالب کے دماغ کا بھیجہ اس سے کھولے گا۔
chapter||The narration about Al-Isra (Journey by Night)
chapter_intro||وَقَوْلِ اللَّهِ تَعَالَى: {سُبْحَانَ الَّذِي أَسْرَى بِعَبْدِهِ لَيْلاً مِنَ الْمَسْجِدِ الْحَرَامِ إِلَى الْمَسْجِدِ الأَقْصَى}.
hadith|3886|ہم سے یحییٰ بن بکیر نے بیان کیا، کہا ہم سے لیث نے بیان کیا، ان سے عقیل نے، ان سے ابن شہاب نے، کہ مجھ سے کہا ابوسلمہ بن عبدالرحمٰن نے کہ میں نے جابر بن عبداللہ رضی اللہ عنہما سے سنا اور انہوں نے رسول اللہ صلی اللہ علیہ وسلم سے سنا آپ صلی اللہ علیہ وسلم نے فرمایا تھا کہ جب قریش نے ( معراج کے واقعہ کے سلسلے میں ) مجھ کو جھٹلایا تو میں حطیم میں کھڑا ہو گیا اور اللہ تعالیٰ نے میرے لیے بیت المقدس کو روشن کر دیا اور میں نے اسے دیکھ کر قریش سے اس کے پتے اور نشان بیان کرنا شروع کر دیئے۔
chapter||Al-Mi’raj
