collection||Sharh Ma'āni Al-Āthār
hadith|463|مَا حَدَّثَنَا أَبُو بَكْرَةَ قَالَ: ثنا أَبُو دَاوُدَ , قَالَ: ثنا شُعْبَةُ قَالَ: أَنْبَأَنِي الْحَكَمُ , قَالَ: سَمِعْتُ مُصْعَبَ بْنَ سَعْدِ بْنِ أَبِي وَقَّاصٍ يَقُولُ: «كُنْتُ أُمْسِكُ الْمُصْحَفَ عَلَى أَبِي فَمَسَسْتُ فَرْجِي , فَأَمَرَنِي أَنْ أَتَوَضَّأَ»
hadith|464|حَدَّثَنَا سُلَيْمَانُ بْنُ شُعَيْبٍ، قَالَ: ثنا عَبْدُ الرَّحْمَنِ بْنُ زِيَادٍ، قَالَ: ثنا شُعْبَةُ، عَنْ قَتَادَةَ، قَالَ: " كَانَ ابْنُ عُمَرَ , وَابْنُ عَبَّاسٍ , يَقُولَانِ فِي الرَّجُلِ يَمَسُّ ذَكَرَهُ؟ قَالَا: يَتَوَضَّأُ. قَالَ شُعْبَةُ: فَقُلْتُ لِقَتَادَةَ: عَمَّنْ هَذَا؟ فَقَالَ: عَنْ عَطَاءِ بْنِ أَبِي رَبَاحٍ
hadith|465|حَدَّثَنَا يُونُسُ، قَالَ: ثنا سُفْيَانُ، عَنِ الزُّهْرِيِّ، عَنْ سَالِمٍ، عَنْ أَبِيهِ: أَنَّهُ رَآهُ صَلَّى صَلَاةً لَمْ يَكُنْ يُصَلِّيهَا. قَالَ: فَقُلْتُ لَهُ: مَا هَذِهِ الصَّلَاةُ؟ قَالَ: «إِنِّي مَسَسْتُ فَرْجِي , فَنَسِيتُ أَنْ أَتَوَضَّأَ»
hadith|466|حَدَّثَنَا ابْنُ خُزَيْمَةَ، قَالَ: ثنا حَجَّاجٌ، قَالَ: ثنا حَمَّادٌ، عَنْ أَيُّوبَ، عَنْ نَافِعٍ، عَنِ ابْنِ عُمَرَ، مِثْلَهُ
hadith|467|حَدَّثَنَا ابْنُ خُزَيْمَةَ، قَالَ: ثنا حَجَّاجٌ، قَالَ: ثنا أَبُو عَوَانَةَ، عَنْ إِبْرَاهِيمَ بْنِ الْمُهَاجِرِ، عَنْ مُجَاهِدٍ، قَالَ: " صَلَّيْنَا مَعَ ابْنِ عُمَرَ , أَوْ صَلَّى بِنَا ابْنُ عُمَرَ , ثُمَّ سَارَ , ثُمَّ أَنَاخَ جَمَلَهُ. فَقُلْتُ: يَا أَبَا عَبْدِ الرَّحْمَنِ , إِنَّا قَدْ صَلَّيْنَا فَقَالَ: إِنَّ أَبَا عَبْدِ الرَّحْمَنِ قَدْ عَرَفَ ذَلِكَ , وَلَكِنِّي مَسَسْتُ ذَكَرِي قَالَ: فَتَوَضَّأَ وَأَعَادَ الصَّلَاةَ " قِيلَ لَهُمْ: أَمَّا مَا رَوَيْتُمُوهُ عَنْ مُصْعَبِ بْنِ سَعْدِ بْنِ أَبِي وَقَّاصٍ , فَإِنَّهُ قَدْ رُوِيَ عَنْ مُصْعَبِ بْنِ سَعْدٍ عَنْ أَبِيهِ , خِلَافُ مَا رَوَاهُ عَنْهُ الْحَكَمُ
hadith|468|حَدَّثَنَا إِبْرَاهِيمُ بْنُ مَرْزُوقٍ، قَالَ: ثنا أَبُو عَامِرٍ، قَالَ: ثنا عَبْدُ اللهِ بْنُ جَعْفَرٍ، عَنْ إِسْمَاعِيلَ بْنِ مُحَمَّدٍ، عَنْ مُصْعَبِ بْنِ سَعْدٍ قَالَ: " كُنْتُ آخُذُ عَلَى أَبِي الْمُصْحَفَ , فَاحْتَكَكْتُ فَأَصَبْتُ فَرْجِي فَقَالَ: أَصَبْتَ فَرْجَكَ؟ قُلْتُ: نَعَمِ احْتَكَكْتُ فَقَالَ: اغْمِسْ يَدَكَ فِي التُّرَابِ , وَلَمْ يَأْمُرْنِي أَنْ أَتَوَضَّأَ " وَرُوِيَ عَنْ مُصْعَبٍ أَيْضًا أَنَّ أَبَاهُ أَمَرَهُ بِغَسْلِ يَدِهِ
hadith|469|حَدَّثَنَا مُحَمَّدُ بْنُ خُزَيْمَةَ، قَالَ: ثنا عَبْدُ اللهِ بْنُ رَجَاءٍ، قَالَ: وَحَدَّثَنَا زَائِدَةُ، عَنْ إِسْمَاعِيلَ بْنِ أَبِي خَالِدٍ، عَنِ الزُّبَيْرِ بْنِ عَدِيٍّ، عَنْ مُصْعَبِ بْنِ سَعْدٍ، مِثْلَهُ , غَيْرَ أَنَّهُ قَالَ: «قُمْ فَاغْسِلْ يَدَكَ» . فَقَدْ يَجُوزُ أَنْ يَكُونَ الْوُضُوءُ الَّذِي رَوَاهُ الْحَاكِمُ فِي حَدِيثِهِ , عَنْ مُصْعَبٍ , هُوَ غَسْلُ الْيَدِ , عَلَى مَا بَيَّنَهُ عَنْهُ الزُّبَيْرُ بْنُ عَدِيٍّ , حَتَّى لَا يَتَضَادَّ الرِّوَايَتَانِ. وَقَدْ رُوِيَ عَنْ سَعْدٍ مِنْ قَوْلِهِ «إِنَّهُ لَا وُضُوءَ فِي ذَلِكَ»
hadith|470|حَدَّثَنَا مُحَمَّدُ بْنُ خُزَيْمَةَ، قَالَ: ثنا عَبْدُ اللهِ بْنُ رَجَاءٍ، قَالَ: أنا زَائِدَةُ، عَنْ إِسْمَاعِيلَ بْنِ أَبِي خَالِدٍ، عَنْ قَيْسِ بْنِ أَبِي حَازِمٍ، قَالَ: سُئِلَ سَعْدٌ عَنْ مَسِّ الذَّكَرِ، فَقَالَ: «إِنْ كَانَ نَجِسًا فَاقْطَعْهُ لَا بَأْسَ بِهِ»
hadith|471|حَدَّثَنَا صَالِحُ بْنُ عَبْدِ الرَّحْمَنِ قَالَ: ثنا سَعِيدُ بْنُ مَنْصُورٍ قَالَ: أنا هُشَيْمٌ , قَالَ: ثنا إِسْمَاعِيلُ بْنُ أَبِي خَالِدٍ , عَنْ قَيْسِ بْنِ أَبِي حَازِمٍ قَالَ: قَالَ رَجُلٌ لِسَعْدٍ: إِنَّهُ مَسَّ ذَكَرَهُ , وَهُوَ فِي الصَّلَاةِ , فَقَالَ: «اقْطَعْهُ إِنَّمَا هُوَ بِضْعَةٌ مِنْكَ» فَهَذَا سَعْدٌ , لَمَّا كُشِفَتِ الرِّوَايَاتُ عَنْهُ , ثَبَتَ عَنْهُ أَنَّهُ لَا وُضُوءَ فِي مَسِّ الذَّكَرِ. وَأَمَّا مَا رُوِيَ عَنِ ابْنِ عَبَّاسٍ فِي إِيجَابِ الْوُضُوءِ فِيهِ , فَإِنَّهُ قَدْ رُوِيَ عَنْهُ خِلَافُ ذَلِكَ
hadith|472|حَدَّثَنَا أَبُو بَكْرَةَ، قَالَ: ثنا يَعْقُوبُ بْنُ إِسْحَاقَ، قَالَ: ثنا عِكْرِمَةُ بْنُ عَمَّارٍ، قَالَ: ثنا عَطَاءٌ، عَنِ ابْنِ عَبَّاسٍ، رَضِيَ اللهُ عَنْهُ قَالَ: «مَا أُبَالِي إِيَّاهُ مَسَسْتُ أَوْ أَنْفِي»
hadith|473|حَدَّثَنَا أَبُو بَكْرَةَ، قَالَ: ثنا أَبُو عَامِرٍ، قَالَ: ثنا ابْنُ أَبِي ذِئْبٍ، عَنْ شُعْبَةَ، مَوْلَى ابْنِ عَبَّاسٍ , عَنِ ابْنِ عَبَّاسٍ، رَضِيَ اللهُ عَنْهُ مِثْلَهُ
hadith|474|حَدَّثَنَا صَالِحُ بْنُ عَبْدِ الرَّحْمَنِ، قَالَ: ثنا سَعِيدُ بْنُ مَنْصُورٍ، قَالَ: ثنا هُشَيْمٌ، قَالَ: أنا الْأَعْمَشُ، عَنْ حَبِيبِ بْنِ أَبِي ثَابِتٍ، عَنْ سَعِيدِ بْنِ جُبَيْرٍ، عَنِ ابْنِ عَبَّاسٍ، رَضِيَ اللهُ عَنْهُ «أَنَّهُ كَانَ لَا يَرَى فِي مَسِّ الذَّكَرِ وُضُوءًا» ⦗٧٨⦘ فَهَذَا ابْنُ عَبَّاسٍ , قَدْ رُوِيَ عَنْهُ غَيْرُ مَا رَوَاهُ قَتَادَةُ , عَنْ عَطَاءٍ عَنْهُ. فَلَمْ نَعْلَمْ أَحَدًا مِنْ أَصْحَابِ رَسُولِ اللهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ أَفْتَى بِالْوُضُوءِ مِنْهُ , غَيْرَ ابْنِ عُمَرَ. وَقَدْ خَالَفَهُ فِي ذَلِكَ أَكْثَرُ أَصْحَابِ رَسُولِ اللهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ
hadith|475|حَدَّثَنَا مُحَمَّدُ بْنُ الْعَبَّاسِ، رَضِيَ اللهُ عَنْهُ قَالَ: ثنا عَبْدُ اللهِ بْنُ مُحَمَّدِ بْنِ الْمُغِيرَةِ، قَالَ: أنا مِسْعَرٌ، عَنْ قَابُوسٍ، عَنْ أَبِي ظَبْيَانَ، عَنْ عَلِيٍّ، رَضِيَ اللهُ عَنْهُ أَنَّهُ قَالَ: «مَا أُبَالِي أَنْفِي مَسَسْتُ أَوْ أُذُنِي أَوْ ذَكَرِي»
hadith|476|حَدَّثَنَا أَبُو بَكْرَةَ، قَالَ: ثنا يَحْيَى بْنُ حَمَّادٍ، قَالَ: ثنا أَبُو عَوَانَةَ، عَنْ سُلَيْمَانَ، عَنِ الْمِنْهَالِ بْنِ عَمْرٍو، عَنْ قَيْسِ بْنِ السَّكَنِ، قَالَ: قَالَ عَبْدُ اللهِ بْنُ مَسْعُودٍ: «مَا أُبَالِي ذَكَرِي مَسَسْتُ فِي الصَّلَاةِ أَوْ أُذُنِي أَوْ أَنْفِي»
hadith|477|حَدَّثَنَا بَكْرُ بْنُ إِدْرِيسَ، قَالَ: ثنا آدَمُ بْنُ أَبِي إِيَاسٍ، قَالَ: ثنا شُعْبَةُ، قَالَ: ثنا أَبُو قَيْسٍ، قَالَ: سَمِعْتُ هُزَيْلًا، يُحَدِّثُ عَنْ عَبْدِ اللهِ، نَحْوَهُ
hadith|478|حَدَّثَنَا صَالِحٌ، قَالَ: ثنا سَعِيدٌ، قَالَ: أنا هُشَيْمٌ، قَالَ: أنا الْأَعْمَشُ، عَنِ الْمِنْهَالِ بْنِ عَمْرٍو، عَنْ قَيْسِ بْنِ السَّكَنِ، عَنْ عَبْدِ اللهِ، مِثْلَهُ
hadith|479|حَدَّثَنَا صَالِحٌ، قَالَ: ثنا سَعِيدٌ، قَالَ: ثنا هُشَيْمٌ، قَالَ: أنا سُلَيْمَانُ الشَّيْبَانِيُّ، عَنْ أَبِي قَيْسٍ، فَذَكَرَ بِإِسْنَادِهِ مِثْلَهُ
hadith|480|أَخْبَرَنَا أَبُو بَكْرَةَ، قَالَ: ثنا أَبُو أَحْمَدَ الزُّبَيْرِيُّ، قَالَ: ثنا مِسْعَرٌ، عَنْ عُمَيْرِ بْنِ سَعِيدٍ، ح
hadith|481|وَحَدَّثَنَا فَهْدٌ، قَالَ: ثنا أَبُو نُعَيْمٍ، قَالَ: ثنا مِسْعَرٌ، عَنْ عُمَيْرِ بْنِ سَعِيدٍ، قَالَ: كُنْتُ فِي مَجْلِسٍ فِيهِ عَمَّارُ بْنُ يَاسِرٍ فَذُكِرَ مَسُّ الذَّكَرِ فَقَالَ: «إِنَّمَا هُوَ بِضْعَةٌ مِنْكَ , مِثْلُ أَنْفِي أَوْ أَنْفِكَ. وَإِنَّ لِكَفِّكَ مَوْضِعًا غَيْرَهُ»
hadith|482|أَخْبَرَنا أَبُو بَكْرَةَ قَالَ: ثنا أَبُو عَامِرٍ قَالَ: ثنا سُفْيَانُ عَنْ إِيَادِ بْنِ لَقِيطٍ، عَنِ الْبَرَاءِ بْنِ قَيْسٍ ح
hadith|483|وَحَدَّثَنَا أَبُو بَكْرَةَ قَالَ: ثنا أَبُو دَاوُدَ قَالَ: ثنا شُعْبَةَ , عَنْ مَنْصُورٍ قَالَ: سَمِعْتُ سَدُوسِيًّا يُحَدِّثُ عَنِ الْبَرَاءِ بْنِ قَيْسٍ ح
hadith|484|وَحَدَّثَنَا أَبُو بَكْرَةَ قَالَ: ثنا أَبُو دَاوُدَ قَالَ: ثنا عُبَيْدِ اللهِ بْنُ إِيَادِ بْنِ لَقِيطٍ عَنْ أَبِيهِ عَنِ الْبَرَاءِ بْنِ قَيْسٍ قَالَ: سَمِعْتُ حُذَيْفَةَ يَقُولُ: «مَا أُبَالِي إِيَّاهُ مَسَسْتُ أَوْ أَنْفِي»
hadith|485|حَدَّثَنَا مُحَمَّدُ بْنُ خُزَيْمَةَ، قَالَ: ثنا حَجَّاجٌ، قَالَ: ثنا حَمَّادٌ، ح
hadith|486|وَحَدَّثَنَا سُلَيْمَانُ بْنُ شُعَيْبٍ، قَالَ: ثنا الْخَصِيبُ، قَالَ: ثنا هَمَّامٌ، عَنْ قَتَادَةَ، عَنِ الْمُخَارِقِ بْنِ أَحْمَدَ، عَنْ حُذَيْفَةَ، رَضِيَ اللهُ عَنْهُ نَحْوَهُ
hadith|487|حَدَّثَنَا ابْنُ مَرْزُوقٍ، قَالَ: ثنا عَمْرُو بْنُ أَبِي رَزِينٍ، قَالَ: ثنا هِشَامُ بْنُ حَسَّانَ، عَنِ الْحَسَنِ، عَنْ خَمْسَةٍ، مِنْ أَصْحَابِ رَسُولِ اللهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ , مِنْهُمْ عَلِيُّ بْنُ أَبِي طَالِبٍ , وَعَبْدُ اللهِ بْنُ مَسْعُودٍ , وَحُذَيْفَةُ بْنُ الْيَمَانِ , وَعِمْرَانُ بْنُ حُصَيْنٍ , وَرَجُلٌ آخَرُ «أَنَّهُمْ كَانُوا لَا يَرَوْنَ فِي مَسِّ الذَّكَرِ وُضُوءًا»
hadith|488|حَدَّثَنَا ابْنُ خُزَيْمَةَ، قَالَ: ثنا حَجَّاجٌ، قَالَ: ثنا حَمَّادٌ، ح. ⦗٧٩⦘
hadith|489|وَحَدَّثَنَا سُلَيْمَانُ بْنُ شُعَيْبٍ، قَالَ: ثنا عَبْدُ الرَّحْمَنِ، قَالَ: ثنا شُعْبَةُ، عَنْ قَتَادَةَ، عَنِ الْحَسَنِ، عَنْ عِمْرَانَ بْنِ حُصَيْنٍ، نَحْوَهُ
hadith|490|حَدَّثَنَا صَالِحٌ، قَالَ: ثنا سَعِيدٌ، قَالَ: ثنا هُشَيْمٌ، قَالَ: أنا حُمَيْدٌ الطَّوِيلُ، عَنِ الْحَسَنِ، عَنْ عِمْرَانَ بْنِ حُصَيْنٍ، مِثْلَهُ فَإِنْ كَانَ يَجِبُ فِي مِثْلِ هَذَا تَقْلِيدُ ابْنِ عُمَرَ , فَتَقْلِيدُ مَنْ ذَكَرْنَا , أَوْلَى مِنْ تَقْلِيدِ ابْنِ عُمَرَ. وَقَدْ رُوِيَ ذَلِكَ , عَنْ سَعِيدِ بْنِ الْمُسَيِّبِ وَالْحَسَنِ
hadith|490|حَدَّثَنَا عَبْدُ اللهِ بْنُ مُحَمَّدِ بْنِ خُشَيْشٍ، قَالَ: ثنا مُسْلِمُ بْنُ إِبْرَاهِيمَ، قَالَ: ثنا هِشَامٌ، قَالَ: ثنا قَتَادَةُ، عَنْ سَعِيدِ بْنِ الْمُسَيِّبِ «أَنَّهُ كَانَ لَا يَرَى فِي مَسِّ الذَّكَرِ وُضُوءًا»
hadith|491|حَدَّثَنَا أَبُو بَكْرَةَ، قَالَ: ثنا أَبُو دَاوُدَ، قَالَ: ثنا هِشَامٌ، عَنْ قَتَادَةَ، عَنِ الْحَسَنِ، مِثْلَهُ
hadith|492|حَدَّثَنَا أَبُو بَكْرَةَ، قَالَ: ثنا عَبْدُ اللهِ بْنُ حُمْرَانَ قَالَ: ثنا أَشْعَثُ، عَنِ الْحَسَنِ «أَنَّهُ كَانَ يَكْرَهُ مَسَّ الْفَرْجِ , فَإِنْ فَعَلَهُ , لَمْ يَرَ عَلَيْهِ وُضُوءًا»
hadith|493|حَدَّثَنَا صَالِحٌ، قَالَ: ثنا سَعِيدٌ، قَالَ: ثنا هُشَيْمٌ، قَالَ: أنا يُونُسُ، عَنِ الْحَسَنِ «أَنَّهُ كَانَ لَا يَرَى فِي مَسِّ الذَّكَرِ وُضُوءًا» فَبِهَذَا نَأْخُذُ , وَهُوَ قَوْلُ أَبِي حَنِيفَةَ , وَأَبِي يُوسُفَ , وَمُحَمَّدِ بْنِ الْحَسَنِ , رَحِمَهُمُ اللهُ تَعَالَى
hadith|494|حَدَّثَنَا ابْنُ أَبِي دَاوُدَ، قَالَ: ثنا ابْنُ أَبِي مَرْيَمَ، قَالَ: أنا يَحْيَى بْنُ أَيُّوبَ، قَالَ: حَدَّثَنِي عَبْدُ الرَّحْمَنِ بْنُ رَزِينٍ، عَنْ مُحَمَّدِ بْنِ يَزِيدَ بْنِ أَبِي زِيَادٍ، عَنْ عُبَادَةَ بْنِ نُسَيٍّ، عَنْ أُبَيِّ بْنِ عَمَّارٍ وَصَلَّى مَعَ رَسُولِ اللهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ عُمَارَةُ الْقِبْلَتَيْنِ أَنَّهُ قَالَ: يَا رَسُولَ اللهِ أَمْسَحُ عَلَى الْخُفَّيْنِ؟ قَالَ: «نَعَمْ» قَالَ: يَوْمًا يَا رَسُولَ اللهِ , قَالَ: «نَعَمْ» , وَيَوْمَيْنِ. قَالَ: وَيَوْمَيْنِ يَا رَسُولَ اللهِ , قَالَ: «نَعَمْ» , وَثَلَاثًا. قَالَ: وَثَلَاثًا يَا رَسُولَ اللهِ , قَالَ: «نَعَمْ» , حَتَّى بَلَغَ سَبْعًا ثُمَّ قَالَ: «امْسَحْ مَا بَدَا لَكَ»
hadith|495|حَدَّثَنَا ابْنُ أَبِي دَاوُدَ، قَالَ: ثنا سَعِيدُ بْنُ عُفَيْرٍ، قَالَ: أنا يَحْيَى بْنُ أَيُّوبَ، عَنْ عَبْدِ الرَّحْمَنِ بْنِ رَزِينٍ، أَنَّهُ أَخْبَرَهُ عَنْ مُحَمَّدِ بْنِ يَزِيدَ، عَنْ أَيُّوبَ بْنِ قَطَنٍ، عَنْ عُبَادَةَ، عَنْ أُبَيِّ بْنِ عِمَارَةَ، قَالَ: وَكَانَ مِمَّنْ صَلَّى مَعَ رَسُولِ اللهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ الْقِبْلَتَيْنِ عَنْ رَسُولِ اللهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ نَحْوَهُ
hadith|496|حَدَّثَنَا رَوْحُ بْنُ الْفَرَجِ، قَالَ: ثنا ابْنُ عُفَيْرٍ، قَالَ: ثنا يَحْيَى بْنُ أَيُّوبَ، عَنْ عَبْدِ الرَّحْمَنِ بْنِ رَزِينٍ، عَنْ مُحَمَّدِ بْنِ يَزِيدَ بْنِ أَبِي زِيَادٍ، عَنْ أَيُّوبَ بْنِ قَطَنٍ، عَنْ عُبَادَةَ، عَنْ أُبَيِّ بْنِ عِمَارَةَ، عَنْ رَسُولِ اللهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ نَحْوَهُ. فَذَهَبَ قَوْمٌ إِلَى هَذَا فَقَالُوا: لَا وَقْتَ لِلْمَسْحِ عَلَى الْخُفَّيْنِ , فِي السَّفَرِ وَلَا فِي الْحَضَرِ. ⦗٨٠⦘ قَالُوا: وَقَدْ شَذَّ ذَلِكَ مَا رُوِيَ عَنْ عُمَرَ بْنِ الْخَطَّابِ رَضِيَ اللهُ عَنْهُ أَيْضًا فَذَكَرُوا مَا
hadith|497|حَدَّثَنَا سُلَيْمَانُ بْنُ شُعَيْبٍ قَالَ: ثنا بِشْرُ بْنُ بَكْرٍ قَالَ: ثنا مُوسَى بْنُ عَلِيٍّ , عَنْ أَبِيهِ عَنْ عُقْبَةَ بْنِ عَامِرٍ قَالَ: " ارْتَدَدْتُ مِنَ الشَّامِ إِلَى عُمَرَ بْنِ الْخَطَّابِ رَضِيَ اللهُ عَنْهُ فَخَرَجْتُ مِنَ الشَّامِ يَوْمَ الْجُمُعَةِ , وَدَخَلْتُ الْمَدِينَةَ يَوْمَ الْجُمُعَةِ. فَدَخَلْتُ عَلَى عُمَرَ , وَعَلَيَّ خُفَّانِ مُجَرْمَقَانِيَانِ , فَقَالَ لِي: مَتَى عَهْدُكَ يَا عُقْبَةُ بِخَلْعِ خُفَّيْكَ؟ فَقُلْتُ: لَبِسْتُهُمَا يَوْمَ الْجُمُعَةِ وَهَذَا الْجُمُعَةَ فَقَالَ: لِي: أَصَبْتَ السُّنَّةَ
hadith|498|حَدَّثَنَا أَبُو بَكْرَةَ، قَالَ: ثنا إِبْرَاهِيمُ بْنُ أَبِي الْوَزِيرِ، قَالَ: ثنا الْمُفَضَّلُ بْنُ فَضَالَةَ، قَاضِي أَهْلِ مِصْرَ عَنْ يَزِيدَ بْنِ أَبِي حَبِيبٍ، عَنْ عَبْدِ اللهِ بْنِ الْحَكَمِ الْبَلَوِيِّ، عَنْ عُقْبَةَ بْنِ عَامِرٍ، بِمِثْلِهِ
hadith|499|حَدَّثَنَا يُونُسُ، قَالَ: أنا ابْنُ وَهْبٍ، قَالَ: أَخْبَرَنِي عَمْرٌو، وَابْنُ لَهِيعَةَ , وَاللَّيْثُ , عَنْ يَزِيدَ بْنِ أَبِي حَبِيبٍ، عَنْ عَبْدِ اللهِ بْنِ الْحَكَمِ الْبَلَوِيِّ، أَنَّهُ سَمِعَ عَلِيَّ بْنَ رَبَاحٍ اللَّخْمِيَّ، يُخْبِرُ عَنْ عُقْبَةَ بْنِ عَامِرٍ، فَذَكَرَ مِثْلَهُ , غَيْرَ أَنَّهُ قَالَ: فَقَالَ: «أَصَبْتَ» وَلَمْ يَقُلْ «السُّنَّةَ» قَالُوا: فَفِي قَوْلِ عُمَرَ هَذَا , لِعُقْبَةَ «أَصَبْتَ السُّنَّةَ» يَدُلُّ أَنَّ ذَلِكَ عِنْدَهُ , عَنِ النَّبِيِّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ , لِأَنَّ السُّنَّةَ لَا تَكُونُ إِلَّا عَنْهُ. وَخَالَفَهُمْ فِي ذَلِكَ آخَرُونَ فَقَالُوا: بَلْ يَمْسَحُ الْمُقِيمُ عَلَى خُفَّيْهِ , يَوْمًا وَلَيْلَةً , وَالْمُسَافِرُ ثَلَاثَةَ أَيَّامٍ وَلَيَالِيهِنَّ. وَقَالُوا: أَمَّا مَا رَوَيْتُمُوهُ عَنْ عُمَرَ مِنْ قَوْلِهِ: أَصَبْتَ السُّنَّةَ فَلَيْسَ فِي ذَلِكَ دَلِيلٌ عَلَى أَنَّهُ عِنْدَهُ عَنِ النَّبِيِّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ لِأَنَّ السُّنَّةَ قَدْ تَكُونُ مِنْهُ وَقَدْ تَكُونُ مِنْ خُلَفَائِهِقَالَ رَسُولُ اللهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ: «عَلَيْكُمْ بِسُنَّتِي , وَسُنَّةِ الْخُلَفَاءِ الرَّاشِدِينَ الْمَهْدِيِّينَ»
hadith|500|حَدَّثَنَا بِهِ أَبُو أُمَيَّةَ، قَالَ: ثنا أَبُو عَاصِمٍ، عَنْ ثَوْرِ بْنِ يَزِيدَ، عَنْ خَالِدِ بْنِ مَعْدَانَ، عَنْ عَبْدِ الرَّحْمَنِ بْنِ عَبْدِ السَّلَامِ، عَنِ الْعِرْبَاضِ بْنِ سَارِيَةَ، عَنِ النَّبِيِّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ وَقَدْ قَالَ سَعِيدُ بْنُ الْمُسَيِّبِ لرَبِيعَةَ فِي أُرُوشِ أَصَابِعِ الْمَرْأَةِ: يَا ابْنَ أَخِي , إِنَّهَا السُّنَّةُ , يُرِيدُ قَوْلَ زَيْدِ بْنِ ثَابِتٍ فَقَدْ يَجُوزُ أَنْ يَكُونَ عُمَرُ رَأَى مَا قَالَ لِعُقْبَةَ , وَهُوَ مِنَ الْخُلَفَاءِ الرَّاشِدِينَ الْمَهْدِيِّينَ , فَسَمَّى رَأْيَهُ ذَلِكَ سُنَّةً , مَعَ أَنَّهُ قَدْ جَاءَتِ الْآثَارُ الْمُتَوَاتِرَةُ عَنْ رَسُولِ اللهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ فِي ذَلِكَ , بِتَوْقِيتِ الْمَسْحِ لِلْمُسَافِرِ وَالْمُقِيمِ , بِخِلَافِ مَا جَاءَ بِهِ حَدِيثُ أُبَيِّ بْنِ عِمَارَةَ
hadith|501|فَمِمَّا رُوِيَ عَنْهُ فِي ذَلِكَ مَا حَدَّثَنَا حُسَيْنُ بْنُ نَصْرٍ قَالَ: ثنا الْفِرْيَابِيُّ , قَالَ: ثنا سُفْيَانُ , عَنْ عَمْرِو بْنِ قَيْسٍ , عَنِ الْحَكَمِ بْنِ عُتَيْبَةَ , عَنِ الْقَاسِمِ بْنِ مُخَيْمِرَةَ , عَنْ شُرَيْحِ بْنِ هَانِئٍ , عَنْ عَلِيٍّ رَضِيَ اللهُ عَنْهُ قَالَ: «جَعَلَ رَسُولُ اللهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ ثَلَاثَةَ أَيَّامٍ وَلَيَالِيهِنَّ لِلْمُسَافِرِ , وَيَوْمًا وَلَيْلَةً لِلْمُقِيمِ» يَعْنِي الْمَسْحَ عَلَى الْخُفَّيْنِ
hadith|502|حَدَّثَنَا رَوْحُ بْنُ الْفَرَجِ، قَالَ: ثنا يُوسُفُ بْنُ عَدِيٍّ، قَالَ: ثنا أَبُو الْأَحْوَصِ، عَنْ أَبِي إِسْحَاقَ، عَنِ الْقَاسِمِ بْنِ مُخَيْمِرَةَ، عَنْ شُرَيْحِ بْنِ هَانِئٍ، قَالَ: رَأَيْتُ عَلِيًّا فَسَأَلْتُهُ عَنِ الْمَسْحِ، عَلَى الْخُفَّيْنِ فَقَالَ: «كُنَّا نُؤْمَرُ , إِذَا كُنَّا سَفْرًا أَنْ نَمْسَحَ ثَلَاثَةَ أَيَّامٍ وَلَيَالِيهِنَّ , وَإِذَا كُنَّا مُقِيمِينَ فَيَوْمًا وَلَيْلَةً»
hadith|503|حَدَّثَنَا رَبِيعٌ الْمُؤَذِّنُ، قَالَ: ثنا أَسَدٌ، قَالَ: ثنا مُحَمَّدُ بْنُ طَلْحَةَ، عَنْ زُبَيْدٍ، عَنِ الْحَكَمِ بْنِ عُتَيْبَةَ، عَنْ شُرَيْحِ بْنِ هَانِئٍ، قَالَ: أَتَيْتُ عَائِشَةَ رَضِيَ اللهُ عَنْهَا فَقُلْتُ: يَا أُمَّ الْمُؤْمِنِينَ مَا تَرَيْنَ فِي الْمَسْحِ عَلَى الْخُفَّيْنِ؟ فَقَالَتْ: إِيتِ عَلِيًّا رَضِيَ اللهُ عَنْهُ فَهُوَ أَعْلَمُ بِذَلِكَ مِنِّي , كَانَ يُسَافِرُ مَعَ رَسُولِ اللهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ فَسَأَلْتُهُ فَقَالَ: «كُنَّا إِذَا كُنَّا سَفْرًا مَعَ رَسُولِ اللهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ أُمِرْنَا أَنْ لَا نَنْزِعَ خِفَافَنَا ثَلَاثَةَ أَيَّامٍ , وَثَلَاثَ لَيَالٍ»
