collection||مصنف ابن أبي شيبة
hadith|6003|حدثنا هشيم عن الأعمش عن سليمان بن مسهر عن خرشة بن الحر عن عمر أنه كره أن يصلي بعد المكتوبة مثلها
chapter||463 ) القرب من المسجد أفضل أم البعد
hadith|6004|حدثنا أبو بكر قال حدثنا وكيع عن بن أبي ذئب عن عبد الرحمن بن مهران عن عبد الرحمن بن سعد عن أبي هريرة قال قال رسول الله صلى الله عليه وسلم الأبعد فالأبعد من المسجد أعظم أجرا
hadith|6005|حدثنا وكيع عن بن أبي ذئب عن الأسود بن العلاء بن جارية ( ( ( حارثة ) ) ) عن أبي سلمة عن أبي هريرة قال قال رسول الله صلى الله عليه وسلم من حين يخرج أحدكم من بيته إلى مسجده فرجل تكتب حسنة والأخرى تحط سيئة
hadith|6006|حدثنا وكيع عن موسى بن عبيدة عن أخيه عن جابر قال كانت منازلنا قاصية فأردنا أن نتقرب من مسجد رسول الله صلى الله عليه وسلم فذكرنا ذلك له فقال لا تفعلوها إئتوها كما كنتم ما من مؤمن يتوضأ فيحسن الوضوء ثم يخرج إلى المسجد إلا كتب الله له بكل خطوة حسنة وحط عنه بها سيئة
hadith|6007|حدثنا يزيد بن هارون قال انا حميد الطويل عن أنس بن مالك أن بني سلمة ارادوا أن يتحولوا عن منازلهم قريبا من المسجد فكره رسول الله صلى الله عليه وسلم أن تعرى المدينة فقال يا بني سلمة ألا تحتسبون آثاركم قالوا بلى فثبتوا
hadith|6008|حدثنا بن علية عن يونس عن الحسن أن بني سلمة كانت دورهم قاصية عن المسجد فهموا أن يتحولوا قريبا من المسجد فيشهدون ( ( ( فيشهدوا ) ) ) الصلاة مع النبي صلى الله عليه وسلم فقال لهم النبي صلى الله عليه وسلم ألا تحتسبون آثاركم يا بني سلمة فثبتوا في ديارهم
hadith|6009|حدثنا يزيد بن هارون عن التيمي عن أبي عثمان النهدي عن أبي بن كعب قال كان رجل بالمدينة ما أعلم أحدا من أهل المدينة ممن يصلي القبلة ابعد منزلا من المسجد منه فكان يشهد الصلاة مع رسول الله صلى الله عليه وسلم فقيل له لو ابتغيت حمارا تركبه في الرمضاء والظلمة فقال والله ما يسرني أن منزلي يلزق المسجد فذكر ذلك للنبي صلى الله عليه وسلم فقال يا رسول الله كيما يكتب خطاي وإقبالي وإدباري ورجوعي إلى أهلي فقال رسول الله صلى الله عليه ( ( ( أبطأك ) ) ) وسلم أنطاك ذلك وأعطاك ما احتسبت أجمع أو كما قال رسول الله صلى الله عليه وسلم
hadith|6010|حدثنا علي بن هاشم قال سالت بن أبي ليلى فقلت بنو سلمة ارادوا أن يتحولوا قريبا من المسجد فذكر عن أبي الزبير عن جابر قال قال رسول الله صلى الله عليه وسلم فإن بكل خطوة حسنة
chapter||( 464 ) في الرجل يقضي صلاته يتطوع في مكانه
hadith|6011|حدثنا أبو بكر قال حدثنا إسماعيل بن إبراهيم عن ليث عن الحجاج بن عبيد عن إبراهيم بن إسماعيل عن أبي هريرة عن النبي صلى الله عليه وسلم قال أيعجز أحدكم إذا صلى أن يتقدم أو يتأخر أو عن يمينه أو عن شماله يعني السبحة
hadith|6012|حدثنا بن علية عن أيوب عن عطاء أن بن عباس وبن الزبير وأبا سعيد وبن عمر كانوا يقولون لا يتطوع حتى يتحول من مكانه الذي صلى فيه الفريضة
hadith|6013|حدثنا بن إدريس عن حصين عن عامر قال لا يتطوع حتى ينهض خطوة أو خطوتين
hadith|6014|حدثنا حاتم بن إسماعيل عن هشام قال كان أبي إذا صلى المكتوبة مال عن مكانه فسبح
chapter||465 ) من رخص أن يتطوع في مكانه
hadith|6015|حدثنا أبو بكر قال حدثنا وكيع عن سفيان عن بن أبجر ( ( ( بحر ) ) ) عن شيخ قال سئل بن مسعود عن الرجل يصلي في مكانه الذي صلى فيه الفريضة قال لا بأس به
hadith|6016|حدثنا بن علية عن أيوب عن نافع عن بن عمر أنه كان يصلي سبحته مكانه
hadith|6017|حدثنا معتمر عن عبيد الله بن عمر قال رأيت القاسم وسالما يصليان الفريضة ثم يتطوعان في مكانهما قال وأنبأني نافع أن بن عمر كان لا يرى به بأسا
hadith|6018|حدثنا وكيع عن مسعر قال سألت عطاء عن الرجل يتطوع في مكانه فقال لا باس به
hadith|6019|حدثنا عبد الأعلى عن هشام عن الحسن ومحمد أنهما كانا يصليان التطوع في مكانهما الذي يصليان فيه الفريضة
hadith|6020|حدثنا وكيع عن هشام عن قتادة عن سعيد بن المسيب قال غير الإمام إن شاء لم يتحول
chapter||466 ) من كره للإمام أن يتطوع في مكانه
hadith|6021|حدثنا أبو بكر قال حدثنا شريك عن ميسرة بن المنهال عن عمار بن عبد الله عن علي قال إذا سلم الإمام لم يتطوع حتى يتحول من مكانه أو يفصل بينهما بكلام
hadith|6022|حدثنا أبو خالد الأحمر عن حجاج عن أبي إسحاق عن الشعبي عن بن عمر أنه كره إذا صلى الإمام أن يتطوع في مكانه ولم ير به لغير الإمام بأسا
hadith|6023|حدثنا أبو معاوية عن حجاج عن إبراهيم بن مهاجر عن مجاهد عن عبد الله بن عمرو أنه كره للإمام أن يصلي في مكانه الذي صلى فيه الفريضة
hadith|6024|حدثنا حفص عن حجاج عن الحكم عن بن أبي ليلى أنه كان يستحب للإمام إذا صلى أن لا يتطوع في مكانه الذي صلى فيه أو قال كان يكرهه
hadith|6025|حدثنا علي بن مسهر عن بن أبي عروبة عن قتادة عن سعيد بن المسيب والحسن أنهما كانا يعجبهما إذا سلم الإمام أن يتقدم
hadith|6026|حدثنا وكيع عن سفيان عن منصور عن إبراهيم أنه يكره للإمام أن يتطوع في مكانه الذي صلى فيه الفريضة
hadith|6027|حدثنا وكيع عن سفيان عن ميسرة عن المنهال بن عمرو عن عباد بن عبد الله عن علي قال لا يتطوع الإمام في المكان الذي أم فيه القوم حتى يتحول أو يفصل بكلام
hadith|6028|حدثنا وكيع عن هشام الدستوائي عن قتادة عن سعيد بن المسيب قال الإمام يتحول
hadith|6029|حدثنا جرير عن منصور عن إبراهيم قال إذا صلى الإمام المكتوبة ثم أراد أن يصلي التطوع تنحى من مكانه الذي صلى فيه الفريضة
chapter||467 ) من كان يستحب أن يتقدم ولا يتأخر في الصلاة
hadith|6030|حدثنا أبو بكر قال حدثنا عبد الأعلى عن خالد عن أبي قلابة قال كانوا يستحبون أن يتقدموا في الصلاة ولا يتأخروا
hadith|6031|حدثنا محمد بن أبي عدي عن بن عون قال قلت لمحمد الرجل يتقدم إلى الصف في الصلاة قال لا أعلم بأسا أن يتقدم خطوة أو خطوتين وقال في الذي يصل ( ( ( يصلي ) ) ) الصف معترضا لا أدري ما هو
hadith|6032|حدثنا هشيم عن عبد الملك عن عطاء في الرجل يكون معه الشيء فيضعه فيصلي ثم يبدو له أن يتقدم قال لا بأس أن يأخذه ثم يتقدم
hadith|6033|حدثنا وكيع عن مسعر وسفيان عن سعد بن إبراهيم عن عروة قال كان يقال تقدموا تقدموا
hadith|6034|حدثنا هشيم عن إسماعيل بن سالم قال سألت الشعبي عن رجل كان يصلي وبين يديه قوم يصلون فانصرفوا قال يتقدم إلى الحائط بين يديه قال قلت أفيقرأ وهو يمشي قال لا حتى ينتهي إلى المكان الذي يقوم فيه
chapter||468 ) في الرجل يصلي فيمر بآية رحمة أو آية عذاب
hadith|6035|حدثنا أبو بكر قال حدثنا علي بن هاشم عن بن أبي ليلى عن ثابت البناني عن بن أبي ليلى عن أبيه قال صليت إلى جنب النبي صلى الله عليه وسلم وهو يصلي بالليل تطوعا فمر بآية فقال أعوذ بالله من النار وويل لأهل النار
hadith|6036|حدثنا وكيع قال حدثنا الأعمش عن أبي الضحى عن مسروق عن عائشة أنها مرت بهذه الآية فمن الله علينا ووقانا عذاب السموم 1 فقالت اللهم من علينا وقنا عذاب السموم إنك أنت البر الرحيم فقيل للأعمش في الصلاة فقال في الصلاة
hadith|6037|حدثنا عبدة عن هشام بن عروة عن عبد الوهاب بن يحيى عن عباد بن حمزة قال دخلت على أسماء وهي تقرأ فمن الله علينا ووقانا عذاب السموم قال فوقفت عليها فجعلت تستعيذ وتدعو قال عباد فذهبت إلى السوق فقضيت حاجتي ثم رجعت وهي فيها بعد تستعيذ وتدعو
hadith|6038|حدثنا وكيع عن عيسى عن الشعبي قال قال عبد الله إذا مر أحدكم في الصلاة بذكر النار فليستعذ بالله من النار وإذا مر بذكر الجنة فليسأل الله الجنة
hadith|6039|حدثنا أبو أسامة عن هشام عن الحسن أنه كان لا يرى بأسا إذا مر بآية أن يسال وأن بن سيرين كرهه
hadith|6040|حدثنا أبو معاوية وبن نمير عن الأعمش عن سعيد بن عبيدة عن المستورد بن الأحنف عن صلة ( ( ( صلت ) ) ) عن حذيفة قال صليت مع النبي صلى الله عليه وسلم فكان إذا مر بآية فيها تسبيح سبح وإذا مر بسؤال سأل وإذا مر بتعوذ تعوذ
chapter||469 ) في الرجل يصلي فيمر بالصلاة على النبي صلى الله عليه وسلم
hadith|6041|حدثنا أبو بكر قال حدثنا هشيم عن مغيرة قال قلت لإبراهيم أسمع الرجل وأنا أصلي يقول إن الله وملائكته يصلون على النبي أأصلي عليه قال نعم إن شئت
hadith|6042|حدثنا يزيد بن هارون عن هشام عن الحسن قال إذا قال الرجل في الصلاة إن الله وملائكته يصلون على النبي يا أيها الذين آمنوا صلوا عليه 1 فليصل عليه قال وقال بن سيرين كانوا إذا قرؤوا القرآن لم يخلطوا به ما ليس منه ويمضون كما هم
hadith|6043|حدثنا وكيع عن سفيان عن جابر عن عامر قال قلت له الرجل يمر بهذه الآية في الصلاة إن الله وملائكته يصلون على النبي أيصلي عليه قال يمر
chapter||470 ) في الحامل ترى الدم أتصلي أم لا
hadith|6044|حدثنا أبو بكر قال حدثنا خالد بن الحارث وعبدة بن سليمان عن سعيد عن فطر ( ( ( قطن ) ) ) عن عطاء عن عائشة في الحامل ترى الدم لا يمنعها ذلك من الصلاة
hadith|6045|حدثنا وكيع عن سفيان عن جامع بن أبي راشد عن عطاء في الحامل ترى الدم قال توضأ ( ( ( تتوضأ ) ) ) وتصلي
hadith|6046|حدثنا إسرائيل عن أيوب قال كتبت إلى نافع أسأله عن الحامل ترى الدم فكتب إلي سألت سليمان بن يسار عن المرأة ترى الدم في غير حيض ولا نفاس فقال تغتسل وتستثفر بثوب وتصلي
hadith|6047|حدثنا حفص بن غياث عن ليث عن الشعبي وعطاء في الحبلى ترى الدم عبيطا تغتسل وتصلي
hadith|6048|حدثنا بن علية عن يونس عن الحسن في الحامل ترى الدم قال تصنع كما تصنع المستحاضة
hadith|6049|حدثنا عباد بن العوام عن هشام عن الحسن في الحامل ترى الدم قال إن كانت تراه كما كانت تراه قبل ذلك في أقرائها تركت الصلاة وإن كان إنما هو في اليوم واليومين لم تدع الصلاة
hadith|6050|حدثنا بن فضيل عن الحسن بن الحكم عن الحكم عن إبراهيم قال إذا رأته وهي حبلى فلتوضأ ( ( ( فلتتوضأ ) ) ) ولتصل فإنه ليس بشيء
hadith|6051|حدثنا عبد الله بن نمير عن شعبة عن الحكم في الحامل ترى الدم قال ليس بشيء وقال حماد هي بمنزلة المستحاضة
hadith|6052|حدثنا بن مهدي عن حبيب عن عمرو بن هرم قال سئل جابر بن زيد عن الحامل ترى الدم أيمنعها ذلك من الصلاة فقال إنما يمنع من الصلاة والصوم الحيض وهذا الفيض
hadith|6053|حدثنا زيد بن حباب ( ( ( الحباب ) ) ) عن مالك بن أنس قال سألت الزهري عن الحامل ترى الدم قال ذا الدم يكف عن الصلاة
hadith|6054|حدثنا حميد بن عبد الرحمن عن مندل عن بن أبي إسحاق عن عكرمة والحكم وحماد قالوا لا يجتمع حبل وحيض فإذا رأت الحامل الدم فلتصل
chapter||471 ) ما فيه إذا رأته وهي تطلق
hadith|6055|حدثنا أبو بكر قال حدثنا هشيم عن يونس عن الحسن أنه كان يقول إذا رأت الدم على الولد أمسكت عن الصلاة
hadith|6056|حدثنا بن مبارك عن بن جريج عن عطاء في المرأة ترى الدم وهي تطلق قال تصنع ما تصنع المستحاضة
hadith|6057|حدثنا بن فضيل عن الحسن بن الحكم عن الحكم عن إبراهيم في المرأة ترى الدم وهي تمخض قال هي حيض لا تصلي
hadith|6058|حدثنا عباد بن العوام عن همام عن الحسن قال إذا رأت الدم على رأس الولد أمسكت عن الصلاة
chapter||472 ) في إمامة الأعمى من رخص فيه
hadith|6059|حدثنا أبو بكر قال حدثنا أبو أسامة قال أخبرنا مجالد عن الشعبي قال خرج رسول الله صلى الله عليه وسلم إلى بدر فاستخلف بن أم مكتوم على المدينة فكان يؤمهم وهو أعمى
hadith|6060|حدثنا وكيع عن يونس عن أبي إسحاق عن الشعبي أن النبي صلى الله عليه وسلم استخلف بن أم مكتوم فكان يؤم الناس وهو أعمى
hadith|6061|حدثنا عبد الأعلى عن معمر عن الزهري أن أناسا من أصحاب النبي صلى ( ( ( كانوا ) ) ) الله عليه وسلم كان يؤمون وهم عميان منهم عتبان بن مالك ومعاذ بن عفراء وبن أم مكتوم
hadith|6062|حدثنا وكيع عن بن أبي ذئب عن الزهري قال كان ناس من أهل بدر يؤمون في مساجدهم بعد ما ذهبت أبصارهم
hadith|6063|حدثنا حاتم بن إسماعيل عن جعفر عن أبيه قال دخلنا على جابر بن عبد الله وهو أعمى فجاء وقت الصلاة فقام في نساجة ملتحفا كلما وضعها على منكبيه رجع طرفاها إليه من صغرها ورداؤه إلى جنبه على المشجب فصلى بنا
hadith|6064|حدثنا يحيى بن سعيد عن أبي عامر أن رجلا سأل الحسن أؤم ( ( ( أأم ) ) ) قومي وأنا أعمى قال نعم
hadith|6065|حدثنا روح بن عبادة عن بن جريج عن عطاء سئل عن الأعمى يؤم قال فقال إذاكان أفقههم
hadith|6066|حدثنا وكيع عن سفيان عن حماد عن إبراهيم قال لا باس أن يؤم الأعمى
hadith|6067|حدثنا محمد بن الحسن قال نا شريك عن أبي إسحاق عن سعيد بن جبير قال أمنا بن عباس وهو أعمى
hadith|6068|حدثنا عبدة عن هشام بن عروة عن بن لعمر عن أبيه ان رجلا أعمى كان يؤم بني خطمة في زمن عمر
hadith|6069|حدثنا محمد بن الحسن قال حدثنا شريك عن مهاجر قال كان البراء ( ( ( البراؤ ) ) ) يصلي بنا وهو أعمى
hadith|6070|حدثنا عبد الأعلى عن معمر عن الزهري عن محمود بن الربيع عن عتبان بن مالك أنه كان يؤم قومه وهو أعمى
hadith|6071|حدثنا خالد بن مخلد قال حدثنا مالك بن أنس عن بن شهاب عن محمود بن الربيع عن عتبان بن مالك أنه كان يؤم قومه وهو أعمى
hadith|6072|حدثنا أبو بكر قال حدثنا وكيع قال حدثنا هشام عن أبيه قال كان إمام بني خطمة أعمى
hadith|6073|حدثنا وكيع قال حدثنا حماد بن زيد عن عمرو عن أبي جعفر قال أمنا جابر بعد ما ذهب بصره
hadith|6074|حدثنا محمد بن فضيل عن يحيى بن سعيد قال سأل الحكم بن عتيبة القاسم عن الأعمى يؤم وتجوز شهادته فقال ما يمنعه أن يؤم وتجوز شهادته
hadith|6075|حدثنا بن مهدي عن عمرو بن عطية قال أمنا المسيب وهو أعمى
hadith|6076|حدثنا الفضل بن دكين عن حسن بن صالح عن شيخ يكنى أبا عبد الله أن بن أبي أوفى امهم وهو أعمى
chapter||473 ) من كره إمامة الأعمى
hadith|6077|حدثنا وكيع عن سفيان عن عبد الأعلى عن سعيد بن جبير عن بن عباس قال كيف أؤمهم وهم يعدلوني إلى القبلة
hadith|6078|حدثنا الفضل بن دكين عن حسن بن أبي الحسناء عن زياد النميري قال سالت أنسا عن الأعمى يؤم فقال ما أفقركم إلى ذلك
hadith|6079|حدثنا وكيع قال حدثنا سفيان عن واصل الأحدب عن قبيصة بن برمة الأسدي قال قال عبد الله ما أحب أن يكون مؤذنوكم عميانكم قال أحسبه قال ولا قراؤكم
hadith|6080|حدثنا زيد بن حباب ( ( ( الحباب ) ) ) عن إسرائيل عن مرزوق عن سعيد بن جبير أنه قال الأعمى لا يؤم
chapter||474 ) في الإمام الأعرابي
hadith|6081|حدثنا أبو بكر قال حدثنا أبو داود الطيالسي عن شعبة عن أبي إسحاق عن رجل من طي ان بن مسعود حج فصلى خلف أعرابي
hadith|6082|حدثنا معتمر عن كهمس عن العباس الجريري أن أبا مجلز كره إمامة الأعرابي وأن الحسن لم ير بذلك بأسا
hadith|6083|حدثنا عبد الصمد بن عبد الوارث عن دارم قال سالت سالما أيؤم الأعرابي المهاجر قال وما عليك إذا كان رجلا صالحا
hadith|6084|حدثنا هشيم قال انا مغيرة عن إبراهيم أنه سئل عن إمامة العبد والأعرابي فقال العبد إذا فقه أحب إلي
hadith|6085|حدثنا وكيع قال حدثنا سفيان عن حماد عن إبراهيم قال لا بأس أن يؤم الأعرابي
hadith|6086|حدثنا سفيان بن عيينة عن بن أبي نجيح عن مجاهد ان بن مسعود صلى خلف أعرابي
chapter||475 ) من رخص في إمامة ولد الزنى
hadith|6087|حدثنا أبو بكر قال حدثنا وكيع قال حدثنا سفيان عن برد أبي العلاء عن الزهري قال كان أئمة من ذلك العمل يعني من أولاد الزنى
hadith|6088|حدثنا وكيع قال حدثنا سفيان عن حماد عن إبراهيم قال لا باس أن يؤم ولد الزنى
hadith|6089|حدثنا وكيع قال حدثنا سفيان عن زهير بن أبي ثابت العبسي قال سمعت الشعبي يقول تجوز شهادته ويؤم
hadith|6090|حدثنا هشيم عن مطرف عن الشعبي أنه سئل عن إمامة ولد الزنى فقال ان لنا إماما ما نعرف له أبا
hadith|6091|حدثنا أبو بكر بن أبي شيبة قال حدثنا أبو بكر بن عياش عن الأعمش عن إبراهيم قال لا بأس أن يؤم ولد الزنى
hadith|6092|حدثنا وكيع قال حدثنا أبو حنيفة قال سألت عطاء عن ولد الزنى يؤم القوم فقال لا باس به اليس منهم من هو أكثر صوما وصلاة منا
hadith|6093|حدثنا بن فضيل عن مطرف عن حماد عن إبراهيم قال لا بأس أن يؤم ولد الزنى
hadith|6094|حدثنا وكيع عن سفيان عن يونس عن الحسن قال ولد الزنى وغيره سواء
hadith|6095|حدثنا زيد بن الحباب عن الربيع بن المنذر الثوري قال سألت الحارث العكلي عن ولد الزنى يؤم قال نعم
hadith|6096|حدثنا وكيع قال نا هشام بن عروة عن أبيه عن عائشة أنها كانت إذا سئلت عن ولد الزنى قالت ليس عليه من خطيئة ابويه شيء ولا تزر وازرة وزر أخرى
chapter||476 ) من كره ذلك
hadith|6097|حدثنا أبو بكر قال حدثنا عبد الوهاب الثقفي عن يحيى بن سعيد قال بلغني أن عمر بن عبد العزيز قال لرجل كان يؤم قوما بالعقيق لا يعرف من ولده فنهاه أن يؤمهم
hadith|6098|حدثنا بن فضيل عن ليث عن مجاهد أنه كره أن يؤم ولد زنا وصاحب نميمة
chapter||477 ) في المحدود يؤم
hadith|6099|حدثنا وكيع قال حدثنا داود بن عبد الرحمن قال حدثني عمرو بن يحيى المازني أن رجلا حد في قرية فكان يؤم أصحابه فسالوا عمر بن عبد العزيز فقال كيف رايتموه قالوا قد كان منه ما كان فأثنوا عليه خيرا فأمره أن يؤمهم
chapter||478 ) في إمامة العبد
hadith|6100|حدثنا أبو بكر قال حدثنا إبن إدريس عن شعبة عن أبي عمران الجوني عن عبد الله بن الصامت عن أبي ذر أنه قدم على الربذة عبد حبشي فأقيمت الصلاة فقال تقدم
hadith|6101|حدثنا يزيد عن بن سيرين أن أبا ذر قدم مملوكا
hadith|6102|حدثنا بن فضيل عن أشعث عن بن سيرين عن أبي ذر أنه صلى خلف عبد حبشي
hadith|6103|حدثنا وكيع قال حدثنا هشام بن عروة عن أبي بكر بن أبي مليكة عن عائشة أنها كان يؤمها مدبر لها
hadith|6104|حدثنا محمد بن فضيل عن داود بن أبي هند عن أبي نضرة عن أبي سعيد مولى أبي أسيد قال تزوجت وأنا عبد مملوك فدعوت أناسا من أصحاب رسول الله صلى الله عليه وسلم فيهم أبو ذر وأبو مسعود وأبو حذيفة فأقيمت الصلاة فتقدم أبو ذر فقال وراءك فالتفت إلى أصحابه فقال كذلك قال نعم قال فقدموني فصليت بهم وأنا عبد مملوك
hadith|6105|حدثنا عبد الرحمن بن مهدي عن إبراهيم بن أبي حبيبة عن داود بن الحصين عن أبي سفيان أنه كان يؤم بني عبد الأشهل وهو مكاتب وفيهم رجال من أصحاب النبي صلى الله عليه وسلم منهم محمد بن مسلمة وسلمة ( ( ( ومسلمة ) ) ) بن سلامة فارادوا تأخيره فلما سمعا قراءته قالا مثل هذا لا يؤخر
hadith|6106|حدثنا عبد الله بن إدريس عن هشام عن الحسن وبن سيرين قالا لا بأس أن يؤم العبد
hadith|6107|حدثنا بن فضيل عن الحسن بن عبيد الله عن إبراهيم أنه كان لا يرى بأسا أن يؤم العبد
hadith|6108|حدثنا يحيى بن سعيد عن سفيان عن بيان عن عامر قال لا بأس أن يؤم العبد
hadith|6109|حدثنا بن إدريس عن ليث عن شهر قال لا بأس أن يؤم العبد إذا كان أفقههم
hadith|6110|حدثنا بن مهدي عن زياد مولى أم الحسن قال صلى خلفي سالم بن عبد الله وأنا عبد
hadith|6111|حدثنا معتمر عن كهمس عن العباس الجريري أن أبا مجلز كره إمامة العبد وأن الحسن لم ير به بأسا
hadith|6112|حدثنا روح بن عبادة قال أخبرني بن جريج عن عبد الله بن عبيد الله بن أبي مليكة أنهم كانوا يأتون عائشة وأبوه وعبيد بن عمير والمسور بن مخرمة وأناس كثير فيؤمهم أبو عمرو مولى لعائشة وابو عمرو حينئذ غلام لم يعتق
hadith|6113|حدثنا روح بن عبادة عن شعبة عن الحكم قال كان يؤمنا في مسجدنا هذا عبد أربعين سنة مسجد كان يصلي فيه شريح
hadith|6114|حدثنا أبو معاوية عن بشار بن كدام السلمي عن عمرو بن ميسرة عن الحسن بن علي أنه صلى خلف مملوك في حائط من حيطانه وناس من أهل بيته
hadith|6115|حدثنا وكيع قال حدثنا بشير بن سليمان ( ( ( سلمان ) ) ) عن يحيى بن بسطام التميمي عن الضحاك قال لا يؤم المملوك وفيهم حر ولا يؤم من لم يحج وفيهم من قد حج
hadith|6116|حدثنا زيد بن حباب ( ( ( الحباب ) ) ) قال حدثني إبراهيم بن أبي حبيبة قال حدثني عبد الله بن أبي سفيان عن أبيه قال خرجنا مع عبد الله بن جعفر وحسين بن علي وبن أبي أحمر إلى ينبع فحضرت الصلاة فقدموني فصليت بهم
chapter||479 ) في الرجل يؤم اباه
hadith|6117|حدثنا وكيع قال حدثنا عبد الرحمن بن سليمان بن الغسيل قال حدثني المنذر بن أبي أسيد الأنصاري قال كان أبي يصلي خلفي فربما قال لي يا بني طولت بنا اليوم
hadith|6118|حدثنا وكيع قال أخبرنا إبراهيم بن يزيد المكي عن عطاء قال لا يؤم الرجل أباه
chapter||480 ) من قال إذا زار القوم فلا يؤمهم
hadith|6119|حدثنا وكيع قال حدثنا أبان بن يزيد العطار عن بديل بن ميسرة العقيلي عن أبي عطية رجل منهم قال كان مالك بن الحويرث يأتينا في مصلانا هذا نتحدث فحضرت الصلاة فقلنا له تقدم فقال لا يتقدم بعضكم حتى أحدثكم لم لا أتقدم سمعت رسول الله صلى الله عليه وسلم يقول من زار قوما فلا يؤمهم وليؤمهم رجل منهم
chapter||481 ) من رخص في التربع في الصلاة
hadith|6120|حدثنا أبو بكر قال حدثنا جرير وهشيم عن مغيرة عن سماك بن سلمة الضبي قال رايت بن عمر وبن عباس وهما متربعان في الصلاة
hadith|6121|حدثنا حفص عن عقبة قال رايت أنسا يصلي متربعا
hadith|6122|حدثنا وكيع عن سعيد بن عبيد الطائي عن أخيه قال رأيت أنسا يصلي متربعا
hadith|6123|حدثنا وكيع قال حدثنا سفيان عن عمر الأنصاري قال رأيت أنسا يصلي متربعا على طنفسة
hadith|6124|حدثنا وكيع عن سفيان عن محمد بن جحادة قال رأيت سالما يصلي متربعا ومتكئا
hadith|6125|حدثنا وكيع عن سفيان عن منصور عن رجاء عن مجاهد قال يصلي متربعا
hadith|6126|حدثنا معاذ بن معاذ عن حميد قال رأيت أبا بكر يصلي متربعا ومتكئا
hadith|6127|حدثنا وكيع عن إسماعيل بن عبد الملك قال رأيت عطاء يصلي متربعا
hadith|6128|حدثنا وكيع قال نا جرير بن حازم قال رأيت بن سيرين يصلي متربعا
hadith|6129|حدثنا عبيد الله بن موسى عن إسرائيل عن جابر عن أبي جعفر أنه كان يجلس في الصلاة متربعا
hadith|6130|حدثنا وكيع عن الفضل بن دلهم عن الحسن قال لا بأس أن يصلي في التطوع متربعا
chapter||482 ) من كره ذلك
hadith|6131|حدثنا أبو بكر قال حدثنا محمد بن فضيل عن حصين عن الهيثم بن شهاب أنه رأى رجلا من قومه وهو يصلي قاعدا متربعا فنهاه فأبى أن يطيعه فقال الهيثم سمعت عبد الله بن مسعود لأن أقعد على رضفتين أحب إلي من أن أقعد متربعا في الصلاة
hadith|6132|حدثنا وكيع قال حدثنا شعبة قال سألت الحكم عن التربع في الصلاة فكأنه كرهه قال وأحسبه قال كرهه بن عباس
hadith|6133|حدثنا أبو خالد الأحمر عن حجاج عن حماد عن إبراهيم أنه كره أن يصلي متربعا وقال اجلس غير جلستك للحديث
hadith|6134|حدثنا أبو بكر قال حدثنا سفيان عن الزبير بن عدي عن إبراهيم أنه كره أن يجلس في الصلاة جلسة الرجل يحدث أصحابه
hadith|6135|حدثنا أبو بكر قال حدثنا جرير بن حازم عن المغيرة بن حكيم الصغاني ( ( ( الصنعاني ) ) ) قال رأيت بن عمر متربعا في آخر صلاته حين رفع رأسه من السجدة الأخيرة فلما صلى قلت له فقال إني اشتكى رجلي
hadith|6136|حدثنا بن علية عن أيوب عن نافع ان بن عمر صلى متربعا من وجع
hadith|6137|حدثنا الثقفي عن أيوب عن محمد قال كان يكره أن يتربع الرجل في صلاته حتى يتشهد
hadith|6138|حدثنا بن علية عن أيوب عن بن سيرين نبئت أن بن عمر صلى متربعا وقال أنه ليس بسنة إنما أفعله من وجع
hadith|6139|حدثنا بن إدريس عن ليث عن طاوس أنه كره التربع وقال جلسة مملكة
chapter||483 ) من قال إذا صلى وهو جالس جعل قيامه متربعا
hadith|6140|حدثنا أبو بكر قال حدثنا وكيع قال حدثنا سفيان عن حماد عن إبراهيم قال إذا صلى قاعدا جعل قيامه متربعا
hadith|6141|حدثنا أسباط بن محمد عن مطرف عن سليمان بن بزيع قال دخلت على سالم وهو يصلي جالسا جعل قيامه متربعا فإذا اراد أن يركع ركع وهو متربع وإذا أراد أن يسجد ثنى رجله
hadith|6142|حدثنا وكيع قال كان سفيان إذا صلى جالسا جعل قيامه متربعا فإذا أراد أن يركع ركع وهو متربع فإذا أراد أن يسجد ثنى رجله
chapter||484 ) من قال إذا صلى متربعا فيثني رجله
hadith|6143|حدثنا وكيع قال حدثنا مسعر عن حماد عن مجاهد عن سعيد بن جبير قال إذا صلى متربعا قال مسعر أو كما قال يجلس فإذا أراد أن يركع أو يسجد ثنى رجله
hadith|6144|حدثنا وكيع قال حدثنا سفيان عن هشام عن بن سيرين قال يصلي متربعا فإذا اراد أن يركع ثنى رجله
hadith|6145|حدثنا وكيع قال حدثنا حسن عن أبي حفص قال رأيت أنسا يصلي متربعا فإذا أراد أن يركع ثنى رجله
chapter||455 ) إذا جاء وقد تم الصف
hadith|6146|حدثنا أبو بكر قال حدثنا عباد بن العوام عن عبد الملك عن عطاء في الرجل يدخل المسجد وقد تم الصف قال ان استطاع أن يدخل في الصف دخل وإلا أخذ بيد رجل فأقامه معه ولم يقم وحده
hadith|6147|حدثنا حفص بن غياث عن عمرو بن ميمون قال قلت لإبراهيم أجيء ( ( ( أجيؤ ) ) ) إلى الصف وقد امتلآ قال مر رجلا فأقمه معك فإن صليت وحدك فأعد
chapter||486 ) في الرجل يؤم النساء
