collection||Sahih Muslim
hadith|612f|Rapporté par ‘Abdullah, d’après son père Yahya : On n’acquiert pas la connaissance en étant paresseux
hadith|613a|
hadith|613b|Rapporté par Buraida, d’après son père : Un homme vint voir le Prophète ﷺ et lui demanda les horaires de la prière. Il lui dit : « Viens prier avec nous. » Il ordonna à Bilal de faire l’appel à la prière dans l’obscurité précédant l’aube, puis il accomplit la prière du matin à l’apparition de l’aube. Il lui demanda ensuite de faire l’appel à la prière du midi quand le soleil déclina du zénith, puis pour la prière de l’après-midi quand le soleil était encore haut. Il lui demanda de faire l’appel pour la prière du coucher du soleil quand le soleil se coucha, puis pour la prière du soir quand le crépuscule disparut. Le lendemain, il lui demanda de faire l’appel à la prière du matin quand il faisait clair, puis pour la prière du midi quand la forte chaleur était passée, puis pour la prière de l’après-midi quand le soleil était encore brillant et sans teinte jaune. Il lui demanda ensuite d’accomplir la prière du coucher du soleil, puis la prière du soir quand un tiers de la nuit était passé ou un peu moins. Harami, le rapporteur, doutait de la partie concernant la nuit. Quand l’aube arriva, le Prophète ﷺ dit : « Où est celui qui a demandé les horaires de la prière ? » et ajouta : « Entre ces deux extrêmes se trouve le temps de la prière. »
hadith|614a|
hadith|614b|Rapporté par Abu Moussa, d’après son père : Un homme vint voir le Prophète ﷺ et lui demanda les horaires des prières. Le reste du hadith est identique au précédent, sauf pour ces mots : « Le deuxième jour, le Prophète ﷺ accomplit la prière du coucher du soleil avant la disparition du crépuscule. »
chapter||
hadith|615a|
hadith|615b|Rapporté par Abu Huraira رضي الله عنه : Un autre hadith semblable a été rapporté par Abu Huraira
hadith|615c|Rapporté par Abu Huraira رضي الله عنه : Le Messager d’Allah ﷺ a dit : « Quand il fait très chaud, retardez la prière jusqu’à ce que la forte chaleur soit passée, car l’intensité de la chaleur vient du souffle de l’Enfer. » Abu Huraira رضي الله عنه a rapporté que le Messager d’Allah ﷺ a dit : « Ne faites pas la prière du midi tant que la forte chaleur n’est pas passée, car l’intensité de la chaleur vient du souffle de l’Enfer. » Abu Huraira رضي الله عنه a aussi rapporté ce hadith du Messager d’Allah ﷺ par une autre chaîne de transmetteurs
hadith|615d|Rapporté par Abu Huraira رضي الله عنه : Le Messager d’Allah ﷺ a dit : « Cette chaleur vient du souffle du Feu de l’Enfer, alors retardez la prière jusqu’à ce qu’il fasse plus frais. »
hadith|615e|Rapporté par Hammam b. Munabbih : Voici ce qu’Abu Huraira nous a rapporté du Prophète ﷺ, et il a transmis plusieurs hadiths – l’un d’eux était que le Messager d’Allah ﷺ a dit : « Attendez que la chaleur diminue avant de prier, car l’intensité de la chaleur vient du souffle de l’Enfer. »
hadith|616|Rapporté par Abu Dharr : Le muezzin du Messager d’Allah ﷺ a appelé à la prière du midi. À ce moment-là, le Messager d’Allah ﷺ a dit : « Laissez refroidir, laissez refroidir », ou il a dit : « Attendez, attendez, car l’intensité de la chaleur vient du souffle de l’Enfer. Quand la chaleur est forte, retardez la prière jusqu’à ce qu’il fasse plus frais. » Abu Dharr a dit : (Nous avons attendu) jusqu’à ce que nous voyions l’ombre des buttes
hadith|617a|
hadith|617b|Rapporté par Abu Huraira : Le Messager d’Allah ﷺ a dit : « Quand il fait chaud, retardez la prière du midi jusqu’à ce qu’il fasse plus frais, car l’intensité de la chaleur vient du souffle de l’Enfer. » Il a aussi mentionné que l’Enfer s’est plaint auprès du Seigneur (à cause de l’atmosphère étouffante), et il lui a été permis de souffler deux fois dans l’année : une fois en hiver et une fois en été
hadith|617c|Rapporté par Abu Huraira : Le Messager d’Allah ﷺ a dit : « Le Feu a dit au Seigneur : “Ô Seigneur ! Certaines de mes parties ont consumé les autres, permets-moi donc de souffler (pour soulager cette congestion).” Il lui a été permis de souffler deux fois : une fois en hiver et une fois en été. Ce que vous ressentez comme un froid intense ou douloureux vient du souffle de l’Enfer. Et ce que vous ressentez comme une chaleur extrême ou brûlante vient aussi du souffle de l’Enfer. »
chapter||
hadith|618|Rapporté par Jabir b. Samura : Le Messager d’Allah ﷺ avait l’habitude de faire la prière du midi quand le soleil commençait à décliner
hadith|619a|
hadith|619b|Rapporté par Khabbab : Nous sommes venus voir le Messager d’Allah ﷺ et nous nous sommes plaints auprès de lui de la difficulté de prier sur le sol extrêmement chaud, mais il ne nous a pas écoutés. Zuhair a dit : J’ai demandé à Abu Ishaq si cela concernait la prière du midi. Il a répondu : Oui. J’ai demandé si c’était au sujet de l’accomplissement de la prière du midi plus tôt. Il a répondu : Oui. J’ai dit : Est-ce que cela concernait le fait de la faire rapidement ? Il a répondu : Oui
hadith|620|Rapporté par Anas b. Malik : Nous faisions la prière du midi avec le Messager d’Allah ﷺ sous une chaleur intense, et quand l’un d’entre nous avait du mal à poser son front par terre, il étendait son vêtement et se prosternait dessus
chapter||
hadith|621a|
hadith|621b|Rapporté par Anas b. Malik : Ce hadith, selon lequel le Messager d’Allah ﷺ faisait la prière de l’après-midi comme mentionné précédemment, a été transmis par Anas b. Malik par une autre chaîne de rapporteurs
hadith|621c|Rapporté par Anas b. Malik : Nous faisions la prière de l’‘Asr, puis l’un de nous allait à Quba’ et y arrivait alors que le soleil était encore haut
hadith|621d|Rapporté par Anas b. Malik : Nous faisions la prière de l’après-midi à un moment tel qu’une personne pouvait aller chez Bani ‘Amr b. Auf et les trouvait en train de faire la prière de l’après-midi
hadith|622|Rapporté par ‘Ala’ b. ‘Abd al-Rahman : Nous sommes venus à la maison d’Anas b. Malik à Bassora après avoir fait la prière du midi. Sa maison était à côté de la mosquée. En lui rendant visite, il nous a dit : « Avez-vous fait la prière de l’après-midi ? » Nous lui avons répondu : « Nous venons juste de finir la prière du midi. » Il a dit : « Faites la prière de l’après-midi. » Alors nous nous sommes levés et avons prié. Quand nous avons terminé, il a dit : « J’ai entendu le Messager d’Allah ﷺ dire : “C’est ainsi que prie l’hypocrite : il reste assis à regarder le soleil, et quand il est entre les cornes du diable, il se lève et frappe le sol quatre fois (à la hâte), en mentionnant peu Allah pendant cette prière.” »
hadith|623|Rapporté par Abu Umama b. Sahl : Nous avons fait la prière du midi avec Omar b. ‘Abd al-‘Aziz. Ensuite, nous sommes partis jusqu’à arriver chez Anas b. Malik et nous l’avons trouvé en train de faire la prière de l’après-midi. Je lui ai dit : « Ô oncle ! Quelle est cette prière que tu fais ? » Il a répondu : « C’est la prière de l’après-midi, et c’est la prière du Messager d’Allah ﷺ que nous faisions avec lui. »
hadith|624|Rapporté par Anas b. Malik : Le Messager d’Allah ﷺ nous a dirigés dans la prière de l’après-midi. Lorsqu’il a terminé, une personne de Bani Salama est venue lui dire : « Messager d’Allah, nous voulons égorger notre chameau et nous aimerions que tu sois présent. » Il a répondu : « Oui. » Cette personne est partie, et nous l’avons suivie. Nous avons vu que le chameau n’avait pas encore été égorgé. Ensuite, il a été abattu, découpé, puis une partie a été cuisinée, et nous en avons mangé avant le coucher du soleil. Ce hadith a aussi été rapporté par une autre chaîne de transmetteurs
hadith|625a|
hadith|625b|Rapporté par ‘Auza’i avec la même chaîne de transmetteurs : Nous abattions le chameau du vivant du Messager d’Allah ﷺ après la prière de l’‘Asr, mais il n’a pas mentionné : « Nous priions avec lui. »
chapter||
hadith|626a|
hadith|626b|Ce hadith a été rapporté comme Marfu par une autre chaîne de transmetteurs
hadith|626c|Rapporté par Abdullah d’après son père : Celui qui manque la prière de l’après-midi, c’est comme s’il était privé de sa famille et de ses biens
hadith|627a|
hadith|627b|Ce hadith a été rapporté par Hisham avec la même chaîne de transmetteurs
chapter||
hadith|627c|Rapporté par Ali رضي الله عنه : Le Messager d’Allah ﷺ a dit : « Le jour de la bataille des Coalisés, nous avons été empêchés de faire la prière du milieu jusqu’au coucher du soleil. Qu’Allah remplisse de feu leurs tombes ou leurs maisons, ou leurs ventres. » Le rapporteur hésite entre « maisons » et « ventres »
hadith|627d|Ce hadith a été rapporté par Qatada avec la même chaîne de transmetteurs. Il a dit : « Leurs maisons et leurs tombes (soient remplies de feu) », sans exprimer de doute sur les mots « maisons » et « tombes »
hadith|627e|Rapporté par Yahya, qui a entendu Ali رضي الله عنه dire que le Messager d’Allah ﷺ a dit le jour de la bataille des Coalisés, alors qu’il était assis dans l’une des ouvertures de la tranchée : « Ils (les ennemis) nous ont empêchés de faire la prière du milieu jusqu’au coucher du soleil. Qu’Allah remplisse leurs tombes et leurs maisons de feu, ou bien leurs tombes et leurs ventres de feu. »
hadith|627f|Rapporté par Ali رضي الله عنه : Le Messager d’Allah ﷺ a dit le jour de la bataille des Coalisés : « Ils nous ont empêchés de faire la prière du milieu, c’est-à-dire la prière de l’Asr. Qu’Allah remplisse leurs maisons et leurs tombes de feu. » Ensuite, il a accompli cette prière entre la prière du Maghrib et celle du Isha
hadith|628|Rapporté par Abdullah ibn Mas’ud رضي الله عنه : Les polythéistes ont retenu le Messager d’Allah ﷺ et l’ont empêché de faire la prière de l’après-midi jusqu’à ce que le soleil devienne rouge ou jaune. À ce sujet, le Messager d’Allah ﷺ a dit : « Ils nous ont empêchés de faire la prière du milieu, c’est-à-dire la prière de l’Asr. Qu’Allah remplisse leurs ventres et leurs tombes de feu, ou bien : Qu’Allah remplisse leurs ventres et leurs tombes de feu. »
hadith|629|Rapporté par Abu Yunus, l’esclave affranchi de Aïcha رضي الله عنها : Aïcha m’a demandé de lui recopier un exemplaire du Coran et m’a dit : « Quand tu arrives à ce verset : “Préservez les prières et la prière du milieu” (2:238), préviens-moi. » Quand je suis arrivé à ce verset, je l’ai informée et elle m’a dicté ainsi : « Préservez les prières, la prière du milieu et la prière de l’après-midi, et tenez-vous debout devant Allah avec obéissance. » Aïcha رضي الله عنها a dit : « C’est ainsi que je l’ai entendu du Messager d’Allah ﷺ. »
hadith|630|
hadith|631a|
hadith|631b|Rapporté par Yahya ibn Abd Kathir : Ce hadith a été rapporté avec la même chaîne de transmetteurs
chapter||
hadith|632a|
hadith|632b|Rapporté par Abu Huraira رضي الله عنه : Le Messager d’Allah ﷺ a dit : « Des anges se relaient parmi vous la nuit et le jour », et le reste du hadith est identique
hadith|633a|
hadith|633b|Rapporté par Waki’ : Ce hadith a été rapporté avec la même chaîne de transmetteurs : « Vous serez bientôt présentés devant votre Seigneur, et vous Le verrez comme vous voyez cette lune », puis il a récité le verset mentionné plus haut. Mais dans ce hadith, Jarir n’est pas mentionné
hadith|634a|
hadith|634b|Rapporté par Umara ibn Ruwaiba, d’après son père رضي الله عنه : Le Messager d’Allah ﷺ a dit : « Celui qui accomplit la prière avant le lever du soleil et avant son coucher n’entrera pas dans le Feu. » Un homme de Bassora, assis à côté de lui, lui a demandé : « L’as-tu entendu du Messager d’Allah ﷺ ? » Il a répondu : « Oui, j’en témoigne. » L’homme de Bassora a dit : « Je témoigne que je l’ai entendu du Messager d’Allah ﷺ, exactement comme tu l’as entendu. »
hadith|635a|
hadith|635b|Rapporté par Hammam : Ce hadith a été rapporté par la même chaîne de transmetteurs, et il a précisé qu’Abu Bakr était Ibn Abu Musa
chapter||
hadith|636|Rapporté par Salama ibn al-Akwa’ رضي الله عنه : Le Messager d’Allah ﷺ avait l’habitude de faire la prière du Maghrib lorsque le soleil était couché et avait complètement disparu derrière l’horizon
hadith|637a|
hadith|637b|Rapporté par Rafi’ ibn Khadij رضي الله عنه : Un hadith semblable, à savoir : « Nous faisions la prière du Maghrib… », a été rapporté par une autre chaîne de transmetteurs
chapter||
hadith|638a|
hadith|638b|Rapporté par Ibn Shihab : Un hadith similaire a été rapporté avec la même chaîne de transmetteurs, mais sans mentionner les paroles d’al-Zuhri : « Il m’a été rapporté », ni ce qui suit
hadith|638c|Rapporté par Aïcha رضي الله عنها : Une nuit, le Messager d’Allah ﷺ a retardé la prière du Isha jusqu’à ce qu’une grande partie de la nuit soit passée et que les gens dans la mosquée se soient endormis. Il est alors sorti, a accompli la prière et a dit : « C’est le moment idéal pour cette prière ; si cela ne représentait pas une difficulté pour ma communauté, je la ferais toujours à cette heure. » Dans la version transmise par Abd al-Razzaq, il est dit : « Si cela ne représentait pas une charge pour ma communauté. »
hadith|639a|
hadith|639b|Rapporté par Abdullah ibn Umar رضي الله عنه : Une nuit, le Messager d’Allah ﷺ était occupé (par quelque chose) et il a retardé la prière du Isha jusqu’à ce que nous nous endormions dans la mosquée. Nous nous sommes ensuite réveillés, puis rendormis, puis réveillés à nouveau. Le Messager d’Allah ﷺ est alors venu et a dit : « Personne parmi les gens de la terre n’attend la prière la nuit, sauf vous. »
hadith|640a|
hadith|640b|Rapporté par Anas ibn Malik رضي الله عنه : Nous avons attendu le Messager d’Allah ﷺ une nuit, jusqu’à ce que la nuit soit presque à la moitié. Il est venu, a accompli la prière, puis s’est tourné vers nous, et c’est comme si je voyais la brillance de la bague en argent à son doigt
hadith|640c|Rapporté par Qurra : Ce hadith a été rapporté avec la même chaîne de transmetteurs, mais il n’a pas mentionné : « Il s’est tourné vers nous. »
hadith|641|Rapporté par Abu Musa رضي الله عنه : Mes compagnons et moi, qui avions voyagé en bateau, avons débarqué avec moi dans la vallée de Buthan pendant que le Messager d’Allah ﷺ était à Médine. Un groupe parmi eux allait voir le Messager d’Allah ﷺ chaque nuit, à tour de rôle, à l’heure de la prière de ‘Isha. Abu Musa a dit : (Une nuit) nous sommes allés, mes compagnons et moi, voir le Messager d’Allah ﷺ, et il était occupé par une affaire, si bien qu’il y a eu un retard dans la prière, jusqu’à ce que la moitié de la nuit soit passée. Ensuite, le Messager d’Allah ﷺ est sorti et a dirigé la prière pour eux (les compagnons de Musa). Après avoir accompli la prière, il a dit à ceux qui étaient présents : « Restez calmes, je vais vous donner une bonne nouvelle : c’est une bénédiction d’Allah pour vous, car il n’y a personne parmi les gens, à part vous, qui prie à cette heure de la nuit », ou il a dit : « Personne d’autre que vous n’a accompli la prière à cette heure tardive. » (Le narrateur dit : Je ne sais pas laquelle de ces deux phrases il a réellement dite.) Abu Musa a ajouté : Nous sommes repartis heureux de ce que nous avions entendu du Messager d’Allah ﷺ
hadith|642|Rapporté par Ibn Juraij : J’ai demandé à Ata’ : « À quelle heure me conseilles-tu de faire la prière de ‘Isha, que ce soit comme imam ou seul, à l’heure que les gens appellent ‘Atama ? » Il a répondu : « J’ai entendu Ibn ‘Abbas dire : Le Messager d’Allah ﷺ a un soir retardé la prière de ‘Isha jusqu’à ce que les gens s’endorment. Ils se sont réveillés, se sont rendormis, puis se sont réveillés encore. Alors ‘Umar ibn Khattab s’est levé et a dit à voix haute : “La prière !” » Ata’ a aussi rapporté qu’Ibn ‘Abbas a dit : « Le Messager d’Allah ﷺ est sorti, et c’est comme si je le voyais encore avec de l’eau coulant de sa tête, la main posée sur le côté de sa tête, et il a dit : “Si cela n’était pas difficile pour ma communauté, je leur aurais ordonné de faire cette prière à cette heure-là (c’est-à-dire tard).” » J’ai demandé à Ata’ comment le Messager d’Allah ﷺ avait posé sa main sur sa tête, comme l’avait raconté Ibn ‘Abbas. Ata’ a alors écarté un peu ses doigts et a posé le bout de ses doigts sur le côté de sa tête, puis il les a déplacés ainsi sur sa tête jusqu’à ce que le pouce touche la partie de l’oreille près du visage, puis le lobe de l’oreille et la barbe. La main n’a rien attrapé, mais c’est ainsi qu’elle a glissé. J’ai demandé à Ata’ : « T’a-t-on dit (par Ibn ‘Abbas) combien de temps le Prophète ﷺ avait retardé la prière cette nuit-là ? » Il a répondu : « Je ne sais pas (je ne peux pas donner l’heure exacte). » Ali a dit : « J’aime faire la prière, que je sois imam ou seul, à une heure tardive comme le Messager d’Allah ﷺ l’a fait cette nuit-là. Mais si cela est difficile pour toi ou pour les gens en groupe et que tu es leur imam, alors fais la prière (‘Isha) à une heure moyenne, ni trop tôt ni trop tard. »
hadith|643a|
hadith|643b|Rapporté par Jabir ibn Samura : Le Messager d’Allah ﷺ faisait les prières comme vous les faites, mais il retardait un peu la prière après la tombée de la nuit par rapport à l’heure à laquelle vous la faites, et il la raccourcissait
hadith|644a|
hadith|644b|Rapporté par Ibn ‘Umar : Le Messager d’Allah ﷺ a dit : « Ne laissez pas les bédouins l’emporter sur vous au sujet du nom de votre prière, c’est-à-dire la prière de la nuit, car elle est appelée ‘Isha dans le Livre d’Allah (le Coran). (Les bédouins l’appellent ‘Atama parce qu’ils retardent la traite de leurs chamelles.) »
chapter||
hadith|645a|
hadith|645b|Rapporté par Aïcha, l’épouse du Messager d’Allah ﷺ رضي الله عنها : Les femmes croyantes faisaient la prière du matin avec le Messager d’Allah ﷺ, enveloppées dans leurs manteaux. Ensuite, elles retournaient chez elles et on ne pouvait pas les reconnaître, car le Messager d’Allah ﷺ priait dans l’obscurité avant l’aube
hadith|645c|Rapporté par Aïcha رضي الله عنها : Le Messager d’Allah ﷺ faisait la prière du matin, et les femmes repartaient enveloppées dans leurs manteaux, sans être reconnues à cause de l’obscurité avant l’aube. (Ishaq ibn Musa al-Ansari, un des transmetteurs de cette chaîne, a seulement mentionné « enveloppées » dans son récit, sans parler des manteaux)
hadith|646a|
hadith|646b|Rapporté par Muhammad ibn ‘Amr al-Hasan ibn ‘Ali : Hajjaj avait l’habitude de retarder les prières, alors nous avons interrogé Jabir ibn Abdullah, et le reste du hadith est identique
hadith|647a|
hadith|647b|Rapporté par Sayyar ibn Salama : J’ai entendu Abu Barza dire que le Messager d’Allah ﷺ ne voyait pas d’inconvénient à retarder la prière de ‘Isha jusqu’à minuit, mais il n’aimait pas dormir avant de l’avoir faite, ni parler après. Shu’ba a dit : Je l’ai revu une deuxième fois et il a dit : Même jusqu’au tiers de la nuit
hadith|647c|Rapporté par Abu Barza al-Aslami : Le Messager d’Allah ﷺ a retardé la prière de la nuit jusqu’à ce qu’un tiers de la nuit soit passé. Il n’aimait pas dormir avant la prière, ni parler après. Il récitait entre cent et soixante versets dans la prière du matin, et la finissait à un moment où nous pouvions reconnaître les visages les uns des autres
chapter||
hadith|648a|
hadith|648b|Rapporté par Abu Dharr رضي الله عنه : Le Messager d’Allah ﷺ m’a dit : « Ô Abu Dharr, tu verras bientôt après moi des dirigeants qui délaisseront leur prière. Tu dois faire la prière à son heure prescrite. Si tu la fais à son heure, ce sera une prière surérogatoire pour toi, sinon tu auras accompli ta prière. »
hadith|648c|Rapporté par Abu Dharr رضي الله عنه : Mon ami (le Prophète ﷺ) m’a ordonné d’écouter et d’obéir (au dirigeant), même s’il s’agit d’un esclave dont les pieds et les bras sont coupés, et de faire la prière à son heure prescrite. (Il a aussi dit) : « Si tu trouves des gens qui ont déjà fait la prière, tu as accompli ta prière, sinon (si tu pries avec eux) ce sera une prière surérogatoire pour toi. »
hadith|648d|Rapporté par Abu Dharr رضي الله عنه : Le Messager d’Allah ﷺ a frappé ma cuisse et a dit : « Que feras-tu si tu vis parmi des gens qui retardent la prière au-delà de son heure prescrite ? » J’ai demandé : « Que me recommandes-tu dans ce cas ? » Il (le Prophète ﷺ) a dit : « Fais la prière à son heure, puis vaque à tes occupations, et si l’Iqama est prononcée et que tu es présent à la mosquée, alors fais la prière avec le groupe. »
hadith|648e|Rapporté par Abu’l-‘Aliyat al-Bara’ : Ibn Ziyad a retardé la prière. ‘Abdullah ibn Samit est venu me voir, je lui ai mis une chaise et il s’est assis dessus. Je lui ai parlé de ce qu’avait fait Ibn Ziyad. Il a mordu ses lèvres (signe de grande colère) et a frappé ma cuisse en disant : « J’ai posé la même question à Abu Dharr que tu viens de me poser, et il a frappé ma cuisse comme je viens de le faire, et il a dit : J’ai posé la même question au Messager d’Allah ﷺ, et il a frappé ma cuisse comme je viens de le faire, et il (le Prophète ﷺ) a dit : “Fais la prière à son heure, et si tu peux la faire avec eux, fais-le, mais ne dis pas : ‘J’ai déjà prié, donc je ne prierai pas.’” »
hadith|648f|Rapporté par Abu Dharr رضي الله عنه : Le Messager d’Allah ﷺ a dit : « Que feras-tu si tu vis parmi des gens qui retardent la prière au-delà de son heure prescrite ? » (Le narrateur a dit : Allah et Son Messager savent mieux.) Il a alors dit : « Fais la prière à son heure, mais si l’Iqama est prononcée pour la prière en groupe, alors fais-la avec eux, car il y a là un surplus de mérite. »
hadith|648g|Rapporté par Abu’l-‘Aliyat al-Bara’ : J’ai dit à ‘Abdullah ibn Samit : « Nous faisons la prière du vendredi derrière des dirigeants qui la retardent. » (‘Abdullah ibn Samit) a frappé ma cuisse si fort que j’ai eu mal et a dit : « J’ai posé la question à Abu Dharr à ce sujet, il a frappé ma cuisse et a dit : J’ai posé la question au Messager d’Allah ﷺ à ce sujet. Il a répondu : “Fais la prière à son heure, et considère la prière avec eux (avec ces imams qui retardent la prière) comme une prière surérogatoire.” » ‘Abdullah a dit : On m’a rapporté que le Messager d’Allah ﷺ avait frappé la cuisse d’Abu Dharr
chapter||
hadith|649a|
hadith|649b|Rapporté par Abu Huraira رضي الله عنه : Le Messager d’Allah ﷺ a dit : « La prière faite en groupe a vingt-cinq fois plus de valeur que la prière faite seul. » (Abu Huraira a ajouté :) Les anges de la nuit et les anges du jour se rencontrent. Abu Huraira a dit : « Récitez si vous voulez : “La récitation du Coran à l’aube est bien observée” (Coran, 17:78). »
hadith|649c|Rapporté par Abu Huraira رضي الله عنه : Un hadith semblable a été rapporté par Abu Huraira avec une autre chaîne de transmetteurs, avec de très légères différences de mots
hadith|649d|Rapporté par Abu Huraira رضي الله عنه : Le Messager d’Allah ﷺ a dit : « La prière faite en groupe équivaut à vingt-cinq prières par rapport à celle faite seul. »
hadith|649e|Rapporté par Abu Huraira رضي الله عنه : Le Messager d’Allah ﷺ a dit : « Prier avec l’imam vaut vingt-cinq fois plus que prier seul. »
hadith|650a|
hadith|650b|Rapporté par Ibn 'Umar رضي الله عنه : Le Messager d’Allah ﷺ a dit : « La prière en groupe est vingt-sept fois supérieure à la prière faite seul. »
hadith|650c|Rapporté par Ibn Numair d’après son père : Il a rapporté une préférence de plus de vingt degrés, et Abu Bakr dans sa version a mentionné vingt-sept degrés
hadith|650d|Rapporté par Ibn 'Umar رضي الله عنه : Le Messager d’Allah ﷺ a parlé de « plus de vingt degrés »
hadith|651a|
hadith|651b|Rapporté par Abu Huraira رضي الله عنه : Le Messager d’Allah ﷺ a dit : « Les prières les plus difficiles pour les hypocrites sont la prière du soir et celle du matin. S’ils connaissaient les récompenses qui s’y trouvent, ils viendraient même en rampant. J’ai pensé ordonner que la prière commence, demander à quelqu’un de diriger la prière, puis aller avec des gens portant des fagots de bois vers ceux qui n’assistent pas à la prière en groupe et brûler leurs maisons. »
hadith|651c|Rapporté par Hammam b. Munabbih : Voici ce qu’Abu Huraira رضي الله عنه nous a rapporté du Messager d’Allah ﷺ, et il a cité plusieurs hadiths, dont celui-ci : Le Messager d’Allah ﷺ a dit : « J’ai l’intention d’ordonner à mes jeunes hommes de rassembler des fagots de bois pour moi, puis de demander à quelqu’un de diriger la prière, et de brûler les maisons de ceux qui n’ont pas rejoint la prière en groupe. »
hadith|651d|Rapporté par Abu Huraira رضي الله عنه : Un hadith similaire a été rapporté par Abu Huraira
hadith|652|Rapporté par 'Abdullah رضي الله عنه : Le Messager d’Allah ﷺ a dit au sujet des gens qui s’absentent de la prière du vendredi : « J’ai l’intention d’ordonner à quelqu’un de diriger la prière, puis de brûler dans leurs maisons ceux qui s’absentent de la prière du vendredi. »
chapter||
hadith|653|Rapporté par Abu Huraira رضي الله عنه : Un homme aveugle est venu voir le Messager d’Allah ﷺ et a dit : « Messager d’Allah, je n’ai personne pour me guider jusqu’à la mosquée. » Il a donc demandé la permission de prier chez lui. Le Messager d’Allah ﷺ lui a accordé la permission. Mais alors que l’homme s’en allait, il l’a rappelé et lui a dit : « Entends-tu l’appel à la prière ? » Il a répondu : « Oui. » Le Prophète ﷺ a alors dit : « Réponds-y. »
chapter||
hadith|654a|
hadith|654b|Rapporté par Abdullah b. Mas'ud رضي الله عنه : Celui qui veut rencontrer Allah demain en tant que musulman doit préserver ces prières quand l’appel est lancé, car Allah a établi pour votre Prophète les voies de la bonne direction, et ces prières en font partie. Si vous priez chez vous comme le fait cet homme qui reste à la maison, vous abandonnerez la pratique de votre Prophète, et si vous l’abandonnez, vous vous égarerez. Aucun homme ne se purifie, le fait bien, puis se rend dans une de ces mosquées sans qu’Allah ne lui accorde une bénédiction pour chaque pas : il élève son rang et efface un de ses péchés. J’ai connu une époque où personne ne s’en écartait, sauf un hypocrite dont l’hypocrisie était bien connue, alors qu’on amenait un homme chancelant entre deux autres jusqu’à ce qu’on le place dans le rang
chapter||
hadith|655a|
hadith|655b|Rapporté par Abu Sha'tha' al-Muharibi d’après son père : J’ai entendu Abu Huraira رضي الله عنه dire qu’il a vu une personne sortir de la mosquée après l’appel à la prière. Il a alors dit : « Cet homme a désobéi à Abu al-Qasim ﷺ. »
chapter||
hadith|656a|
hadith|656b|Rapporté par Abu Sahl 'Uthman b. Hakim : Ce hadith a été rapporté par la même chaîne de transmetteurs
hadith|657a|
hadith|657b|Rapporté par Anas b. Sirin : J’ai entendu Jundab b. Qasri dire que le Messager d’Allah ﷺ a dit : « Celui qui accomplit la prière du matin en groupe est sous la protection d’Allah, et il n’arrive jamais qu’Allah réclame quelque chose à propos de cette protection sans l’obtenir ; sinon, Il le jetterait directement en Enfer. »
hadith|657c|Rapporté par Jundab b. Sufyan رضي الله عنه : Ce hadith a été rapporté du Messager d’Allah ﷺ par la même chaîne de transmetteurs, mais sans la mention : « Il le jetterait dans le feu. »
chapter||
hadith|33c|Rapporté par Mahmud b. al-Rabi' : 'Itban b. Malik, qui était un des compagnons du Messager d’Allah ﷺ, ayant participé à la bataille de Badr et faisant partie des Ansar, a raconté qu’il est venu voir le Messager d’Allah ﷺ et lui a dit : « Messager d’Allah, j’ai perdu la vue et je dirige la prière pour mon peuple. Quand il pleut fort, un courant d’eau se forme dans la vallée entre eux et moi, et je ne peux pas aller à leur mosquée pour diriger la prière. Je te demande donc de venir prier dans un coin de ma maison pour que je puisse en faire mon lieu de prière. » Le Messager d’Allah ﷺ a répondu : « Si Allah le veut, je le ferai bientôt. » 'Itban a dit : Le lendemain, à l’aube, le Messager d’Allah ﷺ est venu avec Abu Bakr as-Siddiq. Il a demandé la permission d’entrer, je la lui ai donnée, et il n’a pas attendu pour s’asseoir. Il a dit : « Où veux-tu que je prie dans ta maison ? » J’ai montré un coin. Le Messager d’Allah ﷺ s’est levé, a prononcé « Allahou Akbar » pour commencer la prière, nous nous sommes mis derrière lui, il a prié deux unités puis a salué. Nous l’avons retenu pour le repas que nous avions préparé. Les voisins sont venus, il y a eu une bonne assemblée. L’un d’eux a dit : « Où est Malik b. Dukhshun ? » Quelqu’un a répondu : « C’est un hypocrite, il n’aime pas Allah et Son Messager. » Le Messager d’Allah ﷺ a dit : « Ne dites pas cela de lui. Ne voyez-vous pas qu’il dit : “La ilaha ill-Allah” et cherche par cela l’agrément d’Allah ? » Ils ont dit : « Allah et Son Messager savent mieux. » Un autre a dit : « Nous voyons qu’il aime et soutient seulement les hypocrites. » Le Messager d’Allah ﷺ a répété : « En vérité, Allah a interdit le Feu à celui qui dit : “Il n’y a de dieu qu’Allah” en cherchant l’agrément d’Allah. » Ibn Shihab a dit : J’ai demandé à Husain b. Muhammad al-Ansari à propos de ce hadith, et il l’a confirmé
